,ROP,JOP,COP,Special,Total
500.perlbench_r,4835,871,1720,81,7507
505.mcf_r,177,7,76,3,263
508.namd_r,1738,94,32,14,1878
510.parest_r
511.povray_r,4482,391,963,43,5879
519.lbm_r,128,9,0,1,138
520.omnetpp_r,6218,2016,10840,394,19468
523.xalancbmk_r,11759,3716,28197,820,44492
525.x264_r,1757,141,2062,44,4004
526.blender_r
531.deepsjeng_r,407,59,5,1,472
538.imagick_r
541.leela_r,754,58,12,1,825
544.nab_r,796,110,42,8,956
557.xz_r,896,180,877,41,1994
ROP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,4835,4748,1.799379524301969,4687,3.061013443640121,4713.5,2.5129265770423928
505.mcf_r,177,170,3.9548022598870034,60,66.10169491525423,89.2,49.6045197740113
508.namd_r,1738,1730,0.46029919447640566,1712,1.4959723820483362,1718.2857142857142,1.134308729245447
510.parest_r
511.povray_r,4482,4482,0.0,4061,9.393128067826865,4201.333333333333,6.262085378551248
519.lbm_r,128,128,0.0,81,36.71875,95.1,25.703125
520.omnetpp_r,6218,6060,2.5410099710517784,6034,2.959150852364104,6047.0,2.750080411707941
523.xalancbmk_r,11759,11118,5.4511438047453,11025,6.242027383280885,11101.7,5.589761034101542
525.x264_r,1757,1613,8.195788275469553,935,46.78429140580535,994.3469387755102,43.406548732184966
526.blender_r
531.deepsjeng_r,407,389,4.422604422604422,69,83.04668304668304,108.17647058823529,73.42101459748518
538.imagick_r
541.leela_r,754,696,7.692307692307693,388,48.54111405835544,490.6666666666667,34.92484526967284
544.nab_r,796,490,38.44221105527638,313,60.678391959798994,360.9166666666667,54.658710217755434
557.xz_r,896,793,11.495535714285708,666,25.66964285714286,719.1111111111111,19.742063492063494
JOP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,871,866,0.5740528128587812,860,1.2629161882893243,861.5,1.0907003444316814
505.mcf_r,7,7,0.0,7,0.0,7.0,0.0
508.namd_r,94,94,0.0,94,0.0,94.0,0.0
510.parest_r
511.povray_r,391,391,0.0,375,4.092071611253203,380.3333333333333,2.7280477408354784
519.lbm_r,9,9,0.0,4,55.55555555555556,5.5,38.888888888888886
520.omnetpp_r,2016,1975,2.0337301587301653,1972,2.1825396825396837,1973.5,2.1081349206349245
523.xalancbmk_r,3716,3665,1.3724434876210978,3659,1.5339074273412336,3662.3,1.4451022604951618
525.x264_r,141,132,6.38297872340425,34,75.88652482269504,40.0,71.63120567375887
526.blender_r
531.deepsjeng_r,59,54,8.474576271186436,1,98.30508474576271,6.0,89.83050847457628
538.imagick_r
541.leela_r,58,50,13.793103448275858,2,96.55172413793103,18.0,68.9655172413793
544.nab_r,110,87,20.909090909090907,64,41.81818181818182,67.91666666666667,38.25757575757576
557.xz_r,180,175,2.7777777777777715,153,15.0,161.0,10.555555555555557
COP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,1720,1718,0.11627906976744384,1666,3.139534883720927,1677.3333333333333,2.480620155038764
505.mcf_r,76,76,0.0,0,100.0,18.0,76.3157894736842
508.namd_r,32,32,0.0,32,0.0,32.0,0.0
510.parest_r
511.povray_r,963,963,0.0,895,7.061266874350991,917.6666666666666,4.707511249567332
519.lbm_r,0,0,100.0,0,100.0,0.0,100.0
520.omnetpp_r,10840,10547,2.70295202952029,10518,2.970479704797043,10532.5,2.8367158671586736
523.xalancbmk_r,28197,27122,3.8124623186863857,27026,4.1529240699365175,27061.7,4.026314856190382
525.x264_r,2062,2054,0.3879728419010604,286,86.12997090203686,369.734693877551,82.0691225083632
526.blender_r
531.deepsjeng_r,5,5,0.0,0,100.0,0.8235294117647058,83.52941176470588
538.imagick_r
541.leela_r,12,11,8.333333333333329,9,25.0,9.666666666666666,19.444444444444443
544.nab_r,42,34,19.04761904761905,32,23.80952380952381,32.75,22.02380952380952
557.xz_r,877,846,3.534777651083232,834,4.903078677309011,838.8888888888889,4.345622703661476
Special,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,81,81,0.0,80,1.2345679012345698,80.16666666666667,1.0288065843621297
505.mcf_r,3,3,0.0,1,66.66666666666666,1.4,53.333333333333336
508.namd_r,14,14,0.0,14,0.0,14.0,0.0
510.parest_r
511.povray_r,43,43,0.0,40,6.976744186046517,41.0,4.6511627906976685
519.lbm_r,1,1,0.0,0,100.0,0.3,70.0
520.omnetpp_r,394,388,1.5228426395939039,388,1.5228426395939039,388.0,1.5228426395939039
523.xalancbmk_r,820,795,3.0487804878048763,795,3.0487804878048763,795.0,3.0487804878048763
525.x264_r,44,44,0.0,17,61.36363636363637,18.877551020408163,57.09647495361781
526.blender_r
531.deepsjeng_r,1,1,0.0,0,100.0,0.058823529411764705,94.11764705882354
538.imagick_r
541.leela_r,1,1,0.0,0,100.0,0.3333333333333333,66.66666666666667
544.nab_r,8,5,37.5,4,50.0,4.083333333333333,48.958333333333336
557.xz_r,41,40,2.439024390243901,37,9.756097560975604,37.666666666666664,8.130081300813018
Total,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,7507,7410,1.2921273478087159,7293,2.850672705474892,7332.5,2.3244971360064
