Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,10 of 11,35 of 35,17 of 17
Original,8 (2),24 (11),10 (7)
Original,8 (2),23 (12),10 (7)
Original,8 (2),24 (11),10 (7)
Original,8 (2),24 (11),10 (7)
Original,8 (2),27 (8),10 (7)
Original,8 (2),27 (8),10 (7)
Original,8 (2),28 (7),10 (7)
Original,7 (3),28 (7),10 (7)
Original,7 (3),28 (7),10 (7)
Original,7 (3),28 (7),10 (7)
Original,7 (3),28 (7),10 (7)
Original,7 (3),28 (7),9 (8)
Original,7 (3),28 (7),9 (8)
Original,7 (3),28 (7),10 (7)
Original,8 (2),29 (6),9 (8)
Original,7 (3),28 (7),9 (8)
Original,7 (3),29 (6),9 (8)
Original,7 (3),28 (7),10 (7)
Original,7 (3),28 (7),10 (7)
Original,7 (3),30 (5),11 (6)
Original,7 (3),29 (6),10 (7)
Original,7 (3),30 (5),10 (7)
Original,7 (3),30 (5),10 (7)
Original,8 (2),32 (3),13 (4)
Original,8 (2),32 (3),13 (4)
Original,8 (2),31 (4),12 (5)
Original,8 (2),31 (4),12 (5)
Original,8 (2),31 (4),12 (5)
Original,8 (2),31 (4),12 (5)
Original,8 (2),31 (4),12 (5)
Original,7 (3),30 (5),11 (6)
Original,7 (3),30 (5),11 (6)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),31 (4),13 (4)
Original,7 (3),31 (4),13 (4)
Original,7 (3),31 (4),13 (4)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),14 (3)
Original,7 (3),30 (5),14 (3)
Original,7 (3),30 (5),14 (3)
Original,8 (2),30 (5),12 (5)
Original,8 (2),30 (5),12 (5)
Original,8 (2),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),31 (4),13 (4)
Original,7 (3),31 (4),13 (4)
Original,7 (3),31 (4),13 (4)
Original,8 (2),32 (3),14 (3)
Original,7 (3),31 (4),13 (4)
Original,7 (3),30 (5),13 (4)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),12 (5)
Original,7 (3),30 (5),13 (4)
Original,7 (3),30 (5),13 (4)
Original,7 (3),30 (5),13 (4)
Original,8 (2),31 (4),14 (3)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,8 (2),31 (4),13 (4)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,10 (0),32 (3),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,10 (0),32 (3),13 (4)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),33 (2),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),31 (4),13 (4)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),33 (2),15 (2)
Original,9 (1),34 (1),15 (2)
Original,9 (1),33 (2),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),32 (3),14 (3)
Original,9 (1),33 (2),16 (1)
Original,9 (1),33 (2),16 (1)
Original,9 (1),33 (2),16 (1)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),32 (3),15 (2)
Original,9 (1),33 (2),16 (1)
Original,9 (1),33 (2),16 (1)
Original,9 (1),33 (2),16 (1)
Original,9 (1),33 (2),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),17 (0)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
