Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,5275,1.7588625592417062,2348,1.7350936967632027,3190,1.6379310344827587
Original,479 (4796),2.9478079331941545 (-1.1889453739524483),1539 (809),2.9278752436647175 (-1.1927815469015148),1479 (1711),2.9215686274509802 (-1.2836375929682216)
Original,491 (4784),4.35030549898167 (-2.591442939739964),1539 (809),4.391812865497076 (-2.656719168733873),1483 (1707),4.3813216453135535 (-2.7433906108307946)
Original,516 (4759),5.587209302325581 (-3.828346743083875),1539 (809),5.855750487329435 (-4.120656790566232),1483 (1707),5.843560350640593 (-4.205629316157834)
Original,519 (4756),7.010597302504817 (-5.251734743263111),1540 (808),7.316233766233767 (-5.581140069470564),1502 (1688),7.265312916111851 (-5.627381881629092)
Original,546 (4729),8.092490842490843 (-6.333628283249137),1540 (808),8.77987012987013 (-7.044776433106927),1532 (1658),8.6233681462141 (-6.985437111731341)
Original,561 (4714),9.325311942959003 (-7.566449383717297),1540 (808),10.243506493506494 (-8.508412796743292),1538 (1652),10.084200260078024 (-8.446269225595266)
Original,574 (4701),10.57404181184669 (-8.815179252604985),1540 (808),11.707142857142857 (-9.972049160379655),1538 (1652),11.565669700910274 (-9.927738666427516)
Original,580 (4695),11.899137931034483 (-10.140275371792777),1545 (803),13.151456310679611 (-11.416362613916409),1538 (1652),13.047139141742523 (-11.409208107259765)
Original,585 (4690),13.23162393162393 (-11.472761372382225),1545 (803),14.62200647249191 (-12.886912775728707),1538 (1652),14.528608582574773 (-12.890677548092015)
Original,588 (4687),14.585034013605442 (-12.826171454363736),1545 (803),16.092556634304206 (-14.357462937541003),1538 (1652),16.010078023407022 (-14.372146988924264)
Original,606 (4669),15.632838283828383 (-13.873975724586677),1545 (803),17.563106796116504 (-15.828013099353301),1538 (1652),17.49154746423927 (-15.853616429756514)
Original,613 (4662),16.888254486133768 (-15.129391926892062),1552 (796),18.968427835051546 (-17.233334138288342),1538 (1652),18.97301690507152 (-17.335085870588763)
Original,619 (4656),18.147819063004846 (-16.38895650376314),1555 (793),20.42057877813505 (-18.685485081371844),1542 (1648),20.414396887159533 (-18.776465852676775)
Original,643 (4632),18.92768273716952 (-17.168820177927813),1555 (793),21.90064308681672 (-20.16554939005352),1550 (1640),21.798387096774192 (-20.160456062291434)
Original,661 (4614),19.894856278366113 (-18.135993719124407),1555 (793),23.38070739549839 (-21.64561369873519),1550 (1640),23.281290322580645 (-21.643359288097887)
Original,669 (4606),21.1390134529148 (-19.380150893673093),1555 (793),24.860771704180063 (-23.12567800741686),1550 (1640),24.764193548387098 (-23.12626251390434)
Original,679 (4596),22.31296023564065 (-20.554097676398943),1555 (793),26.340836012861736 (-24.605742316098535),1550 (1640),26.247096774193547 (-24.60916573971079)
Original,689 (4586),23.4644412191582 (-21.705578659916494),1555 (793),27.82090032154341 (-26.085806624780204),1554 (1636),27.663770913770914 (-26.025839879288156)
Original,699 (4576),24.628040057224606 (-22.8691774979829),1556 (792),29.282133676092545 (-27.54703997932934),1554 (1636),29.148005148005147 (-27.51007411352239)
Original,760 (4515),24.227631578947367 (-22.46876901970566),1563 (785),30.649072296865004 (-28.9139786001018),1554 (1636),30.632239382239383 (-28.994308347756625)
Original,783 (4492),25.051724137931036 (-23.29286157868933),1563 (785),32.134357005758154 (-30.399263308994954),1566 (1624),31.88314176245211 (-30.24521072796935)
Original,840 (4435),24.932738095238093 (-23.173875535996387),1565 (783),33.58690095846645 (-31.85180726170325),1641 (1549),31.934491163924438 (-30.29656012944168)
Original,860 (4415),25.848837209302324 (-24.08997465006062),1565 (783),35.07539936102236 (-33.34030566425916),1641 (1549),33.39457647775747 (-31.75664544327471)
Original,922 (4353),25.668655097613883 (-23.909792538372177),1565 (783),36.563897763578275 (-34.828804066815074),1641 (1549),34.854661791590495 (-33.21673075710773)
Original,962 (4313),26.157484407484407 (-24.3986218482427),1565 (783),38.05239616613419 (-36.317302469370986),1641 (1549),36.31474710542352 (-34.67681607094076)
Original,999 (4276),26.76026026026026 (-25.001397701018554),1574 (774),39.337674714104196 (-37.602581017340995),1641 (1549),37.77483241925655 (-36.136901384773786)
Original,1013 (4262),27.90177690029615 (-26.142914341054443),1580 (768),40.70253164556962 (-38.96743794880642),1641 (1549),39.23491773308958 (-37.59698669860682)
Original,1019 (4256),29.190873405299314 (-27.432010846057608),1586 (762),42.05201765447667 (-40.31692395771347),1643 (1547),40.65520389531345 (-39.01727286083069)
Original,1025 (4250),30.516585365853658 (-28.75772280661195),1589 (759),43.47545626179988 (-41.740362565036676),1643 (1547),42.11838101034693 (-40.48044997586417)
Original,1043 (4232),31.51581975071908 (-29.756957191477373),1591 (757),44.929918290383405 (-43.194824593620204),1647 (1543),43.495142683667275 (-41.857211649184514)
Original,1052 (4223),32.761882129277566 (-31.00301957003586),1602 (746),46.15262172284644 (-44.41752802608324),1647 (1543),44.96448087431694 (-43.32654983983418)
Original,1065 (4210),33.88169014084507 (-32.12282758160337),1618 (730),47.254326328800985 (-45.519232632037784),1647 (1543),46.433819064966606 (-44.795888030483844)
Original,1079 (4196),34.96617238183503 (-33.207309822593324),1624 (724),48.60960591133005 (-46.87451221456685),1658 (1532),47.59740651387214 (-45.959475479389376)
Original,1081 (4194),36.40703052728955 (-34.648167968047844),1625 (723),50.106153846153845 (-48.371060149390644),1658 (1532),49.06302774427021 (-47.42509670978745)
Original,1082 (4193),37.87476894639556 (-36.115906387153856),1627 (721),51.56914566687154 (-49.83405197010834),1660 (1530),50.477409638554214 (-48.83947860407145)
Original,1085 (4190),39.27465437788018 (-37.515791818638476),1629 (719),53.033149171270715 (-51.298055474507514),1660 (1530),51.9460843373494 (-50.308153302866636)
Original,1096 (4179),40.40054744525548 (-38.64168488601377),1630 (718),54.53312883435583 (-52.79803513759263),1662 (1528),53.36371841155235 (-51.72578737706959)
