Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,10996,5275,2348,3190,183
Original,3602 (7394; 67.2%),479 (4796; 90.9%),1539 (809; 34.5%),1479 (1711; 53.6%),105 (78; 42.6%)
Original,3618 (7378; 67.1%),491 (4784; 90.7%),1539 (809; 34.5%),1483 (1707; 53.5%),105 (78; 42.6%)
Original,3643 (7353; 66.9%),516 (4759; 90.2%),1539 (809; 34.5%),1483 (1707; 53.5%),105 (78; 42.6%)
Original,3667 (7329; 66.7%),519 (4756; 90.2%),1540 (808; 34.4%),1502 (1688; 52.9%),106 (77; 42.1%)
Original,3725 (7271; 66.1%),546 (4729; 89.6%),1540 (808; 34.4%),1532 (1658; 52.0%),107 (76; 41.5%)
Original,3746 (7250; 65.9%),561 (4714; 89.4%),1540 (808; 34.4%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3759 (7237; 65.8%),574 (4701; 89.1%),1540 (808; 34.4%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3770 (7226; 65.7%),580 (4695; 89.0%),1545 (803; 34.2%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3775 (7221; 65.7%),585 (4690; 88.9%),1545 (803; 34.2%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3778 (7218; 65.6%),588 (4687; 88.9%),1545 (803; 34.2%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3796 (7200; 65.5%),606 (4669; 88.5%),1545 (803; 34.2%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3810 (7186; 65.4%),613 (4662; 88.4%),1552 (796; 33.9%),1538 (1652; 51.8%),107 (76; 41.5%)
Original,3823 (7173; 65.2%),619 (4656; 88.3%),1555 (793; 33.8%),1542 (1648; 51.7%),107 (76; 41.5%)
Original,3855 (7141; 64.9%),643 (4632; 87.8%),1555 (793; 33.8%),1550 (1640; 51.4%),107 (76; 41.5%)
Original,3873 (7123; 64.8%),661 (4614; 87.5%),1555 (793; 33.8%),1550 (1640; 51.4%),107 (76; 41.5%)
Original,3881 (7115; 64.7%),669 (4606; 87.3%),1555 (793; 33.8%),1550 (1640; 51.4%),107 (76; 41.5%)
Original,3891 (7105; 64.6%),679 (4596; 87.1%),1555 (793; 33.8%),1550 (1640; 51.4%),107 (76; 41.5%)
Original,3905 (7091; 64.5%),689 (4586; 86.9%),1555 (793; 33.8%),1554 (1636; 51.3%),107 (76; 41.5%)
Original,3916 (7080; 64.4%),699 (4576; 86.7%),1556 (792; 33.7%),1554 (1636; 51.3%),107 (76; 41.5%)
Original,3985 (7011; 63.8%),760 (4515; 85.6%),1563 (785; 33.4%),1554 (1636; 51.3%),108 (75; 41.0%)
Original,4020 (6976; 63.4%),783 (4492; 85.2%),1563 (785; 33.4%),1566 (1624; 50.9%),108 (75; 41.0%)
Original,4154 (6842; 62.2%),840 (4435; 84.1%),1565 (783; 33.3%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4174 (6822; 62.0%),860 (4415; 83.7%),1565 (783; 33.3%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4236 (6760; 61.5%),922 (4353; 82.5%),1565 (783; 33.3%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4276 (6720; 61.1%),962 (4313; 81.8%),1565 (783; 33.3%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4322 (6674; 60.7%),999 (4276; 81.1%),1574 (774; 33.0%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4342 (6654; 60.5%),1013 (4262; 80.8%),1580 (768; 32.7%),1641 (1549; 48.6%),108 (75; 41.0%)
Original,4356 (6640; 60.4%),1019 (4256; 80.7%),1586 (762; 32.5%),1643 (1547; 48.5%),108 (75; 41.0%)
Original,4365 (6631; 60.3%),1025 (4250; 80.6%),1589 (759; 32.3%),1643 (1547; 48.5%),108 (75; 41.0%)
