Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,10996, ,5275, ,2348, ,3190
Original,3602,0.0%,479,0.0%,1539,0.0%,1479,0.0%
Original,3618,0.0%,491,0.0%,1539,0.0%,1483,0.0%
Original,3643,0.0%,516,0.0%,1539,0.0%,1483,0.0%
Original,3667,0.2%,519,0.0%,1540,0.0%,1502,0.4%
Original,3725,0.2%,546,0.0%,1540,0.0%,1532,0.4%
Original,3746,0.2%,561,0.0%,1540,0.0%,1538,0.4%
Original,3759,0.2%,574,0.0%,1540,0.0%,1538,0.4%
Original,3770,0.2%,580,0.0%,1545,0.0%,1538,0.4%
Original,3775,0.2%,585,0.0%,1545,0.0%,1538,0.4%
Original,3778,0.2%,588,0.0%,1545,0.0%,1538,0.4%
Original,3796,0.2%,606,0.0%,1545,0.0%,1538,0.4%
Original,3810,0.2%,613,0.0%,1552,0.0%,1538,0.4%
Original,3823,0.2%,619,0.0%,1555,0.0%,1542,0.4%
Original,3855,0.2%,643,0.0%,1555,0.0%,1550,0.4%
Original,3873,0.3%,661,0.9%,1555,0.0%,1550,0.4%
Original,3881,0.3%,669,0.9%,1555,0.0%,1550,0.4%
Original,3891,0.3%,679,0.9%,1555,0.0%,1550,0.4%
Original,3905,0.4%,689,0.9%,1555,0.0%,1554,0.5%
Original,3916,0.4%,699,0.9%,1556,0.0%,1554,0.5%
Original,3985,0.4%,760,0.8%,1563,0.0%,1554,0.5%
Original,4020,0.3%,783,0.8%,1563,0.0%,1566,0.5%
Original,4154,0.3%,840,0.7%,1565,0.0%,1641,0.5%
Original,4174,0.3%,860,0.7%,1565,0.0%,1641,0.5%
Original,4236,0.3%,922,0.7%,1565,0.0%,1641,0.5%
Original,4276,0.3%,962,0.6%,1565,0.0%,1641,0.5%
Original,4322,0.3%,999,0.6%,1574,0.0%,1641,0.5%
Original,4342,0.3%,1013,0.6%,1580,0.0%,1641,0.5%
Original,4356,0.3%,1019,0.6%,1586,0.0%,1643,0.5%
Original,4365,0.3%,1025,0.6%,1589,0.0%,1643,0.5%
Original,4389,0.3%,1043,0.6%,1591,0.0%,1647,0.5%
Original,4409,0.3%,1052,0.6%,1602,0.0%,1647,0.5%
Original,4438,0.3%,1065,0.6%,1618,0.0%,1647,0.5%
Original,4469,0.3%,1079,0.6%,1624,0.0%,1658,0.5%
Original,4481,0.3%,1081,0.6%,1625,0.0%,1658,0.5%
Original,4486,0.3%,1082,0.6%,1627,0.0%,1660,0.5%
Original,4491,0.3%,1085,0.6%,1629,0.0%,1660,0.5%
Original,4505,0.3%,1096,0.5%,1630,0.0%,1662,0.5%
Original,4512,0.3%,1103,0.5%,1630,0.0%,1662,0.5%
Original,4519,0.3%,1108,0.5%,1631,0.0%,1663,0.5%
Original,4534,0.3%,1114,0.5%,1632,0.0%,1671,0.5%
Original,4546,0.3%,1123,0.5%,1635,0.0%,1671,0.5%
Original,4582,0.3%,1150,0.5%,1639,0.0%,1676,0.5%
Original,4602,0.3%,1163,0.5%,1642,0.0%,1680,0.5%
Original,4624,0.3%,1175,0.5%,1652,0.0%,1680,0.5%
Original,4645,0.3%,1196,0.5%,1652,0.0%,1680,0.5%
Original,4663,0.3%,1212,0.5%,1654,0.0%,1680,0.5%
Original,4665,0.3%,1214,0.5%,1654,0.0%,1680,0.5%
Original,4669,0.3%,1216,0.5%,1656,0.0%,1680,0.5%
Original,4673,0.3%,1220,0.5%,1656,0.0%,1680,0.5%
Original,4686,0.3%,1226,0.5%,1656,0.0%,1687,0.5%
Original,4688,0.3%,1228,0.5%,1656,0.0%,1687,0.5%
Original,4724,0.3%,1261,0.5%,1656,0.0%,1690,0.5%
Original,4759,0.3%,1292,0.5%,1656,0.0%,1694,0.5%
Original,4910,0.5%,1332,0.5%,1662,0.0%,1798,1.1%
Original,5015,0.5%,1351,0.4%,1664,0.0%,1877,1.1%
Original,5050,0.5%,1368,0.4%,1667,0.0%,1892,1.1%
Original,5092,0.5%,1382,0.4%,1667,0.0%,1919,1.0%
Original,5107,0.5%,1388,0.4%,1669,0.0%,1926,1.0%
Original,5136,0.5%,1407,0.4%,1669,0.0%,1936,1.0%
Original,5168,0.5%,1433,0.4%,1674,0.0%,1936,1.0%
Original,5202,0.5%,1464,0.4%,1674,0.0%,1939,1.0%
Original,5217,0.5%,1474,0.4%,1679,0.0%,1939,1.0%
Original,5250,0.5%,1495,0.4%,1682,0.0%,1946,1.0%
Original,5264,0.5%,1507,0.4%,1682,0.0%,1948,1.0%
Original,5268,0.5%,1511,0.4%,1682,0.0%,1948,1.0%
Original,5270,0.5%,1513,0.4%,1682,0.0%,1948,1.0%
Original,5293,0.5%,1526,0.4%,1692,0.0%,1948,1.0%
Original,5303,0.5%,1536,0.4%,1692,0.0%,1948,1.0%
Original,5327,0.5%,1545,0.4%,1692,0.0%,1963,1.0%
Original,5379,0.5%,1574,0.4%,1692,0.0%,1986,1.0%
Original,5400,0.5%,1581,0.4%,1705,0.0%,1986,1.0%
Original,5420,0.5%,1592,0.4%,1708,0.0%,1992,1.0%
Original,5434,0.5%,1606,0.4%,1708,0.0%,1992,1.0%
