Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,8,20,93,0,2,22,34,0,0,4
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),22 (12; 35.3%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),22 (12; 35.3%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),22 (12; 35.3%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),23 (11; 32.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),36 (57; 61.3%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
Original,7 (1; 12.5%),16 (4; 20.0%),37 (56; 60.2%),0 (0; 0.0%),1 (1; 50.0%),19 (3; 13.6%),24 (10; 29.4%),0 (0; 0.0%),0 (0; 0.0%),4 (0; 0.0%)
