Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,183,1.3469945355191257,15,2.6666666666666665,93,1.478494623655914
Original,59 (124),2.0338983050847457 (-0.6869037695656199),12 (3),6.0 (-3.3333333333333335),17 (76),4.588235294117647 (-3.1097406704617327)
Original,94 (89),2.856382978723404 (-1.5093884432042783),12 (3),9.0 (-6.333333333333334),31 (62),4.67741935483871 (-3.198924731182796)
Original,59 (124),4.101694915254237 (-2.7547003797351115),12 (3),12.0 (-9.333333333333334),17 (76),9.176470588235293 (-7.6979759645793795)
Original,94 (89),4.617021276595745 (-3.2700267410766193),12 (3),15.0 (-12.333333333333334),31 (62),7.645161290322581 (-6.166666666666667)
Original,131 (52),5.083969465648855 (-3.7369749301297297),12 (3),18.0 (-15.333333333333334),47 (46),6.9787234042553195 (-5.5002287805994055)
Original,164 (19),5.746951219512195 (-4.39995668399307),12 (3),21.0 (-18.333333333333332),47 (46),8.51063829787234 (-7.032143674216426)
Original,176 (7),6.826704545454546 (-5.47971000993542),15 (0),19.733333333333334 (-17.066666666666666),93 (0),6.483870967741935 (-5.005376344086021)
Original,148 (35),7.699324324324325 (-6.352329788805199),15 (0),22.4 (-19.73333333333333),79 (14),8.132911392405063 (-6.654416768749149)
Original,111 (72),8.50900900900901 (-7.162014473489884),15 (0),25.066666666666666 (-22.4),63 (30),10.34920634920635 (-8.870711725550436)
Original,59 (124),11.177966101694915 (-9.830971566175789),12 (3),33.0 (-30.333333333333332),17 (76),25.235294117647058 (-23.756799493991146)
