Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,295,183,15,93,4
Original,90 (205; 69.5%),59 (124; 67.8%),12 (3; 20.0%),17 (76; 81.7%),2 (2; 50.0%)
Original,139 (156; 52.9%),94 (89; 48.6%),12 (3; 20.0%),31 (62; 66.7%),2 (2; 50.0%)
Original,90 (205; 69.5%),59 (124; 67.8%),12 (3; 20.0%),17 (76; 81.7%),2 (2; 50.0%)
Original,139 (156; 52.9%),94 (89; 48.6%),12 (3; 20.0%),31 (62; 66.7%),2 (2; 50.0%)
Original,192 (103; 34.9%),131 (52; 28.4%),12 (3; 20.0%),47 (46; 49.5%),2 (2; 50.0%)
Original,225 (70; 23.7%),164 (19; 10.4%),12 (3; 20.0%),47 (46; 49.5%),2 (2; 50.0%)
Original,288 (7; 2.4%),176 (7; 3.8%),15 (0; 0.0%),93 (0; 0.0%),4 (0; 0.0%)
Original,246 (49; 16.6%),148 (35; 19.1%),15 (0; 0.0%),79 (14; 15.1%),4 (0; 0.0%)
Original,193 (102; 34.6%),111 (72; 39.3%),15 (0; 0.0%),63 (30; 32.3%),4 (0; 0.0%)
Original,90 (205; 69.5%),59 (124; 67.8%),12 (3; 20.0%),17 (76; 81.7%),2 (2; 50.0%)
