Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,295, ,183, ,15, ,93
Original,90,0.0%,59,0.0%,12,0.0%,17,0.0%
Original,139,0.0%,94,0.0%,12,0.0%,31,0.0%
Original,90,0.0%,59,0.0%,12,0.0%,17,0.0%
Original,139,0.0%,94,0.0%,12,0.0%,31,0.0%
Original,192,0.0%,131,0.0%,12,0.0%,47,0.0%
Original,225,0.0%,164,0.0%,12,0.0%,47,0.0%
Original,288,0.0%,176,0.0%,15,0.0%,93,0.0%
Original,246,0.0%,148,0.0%,15,0.0%,79,0.0%
Original,193,0.0%,111,0.0%,15,0.0%,63,0.0%
Original,90,0.0%,59,0.0%,12,0.0%,17,0.0%
