Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,10 of 11,35 of 35,17 of 17
Original,10 (0),30 (5),12 (5)
Original,9 (1),29 (6),12 (5)
Original,9 (1),29 (6),12 (5)
Original,9 (1),29 (6),12 (5)
Original,9 (1),28 (7),11 (6)
Original,10 (0),31 (4),12 (5)
Original,10 (0),34 (1),14 (3)
Original,10 (0),34 (1),14 (3)
Original,10 (0),34 (1),14 (3)
Original,10 (0),33 (2),13 (4)
Original,10 (0),33 (2),13 (4)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),13 (4)
Original,10 (0),33 (2),13 (4)
Original,10 (0),33 (2),13 (4)
Original,10 (0),34 (1),14 (3)
Original,10 (0),34 (1),14 (3)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),35 (0),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),34 (1),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),33 (2),14 (3)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),16 (1)
Original,10 (0),33 (2),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),34 (1),16 (1)
Original,10 (0),33 (2),15 (2)
Original,10 (0),33 (2),15 (2)
Original,10 (0),34 (1),16 (1)
Original,10 (0),35 (0),17 (0)
Original,10 (0),35 (0),17 (0)
