Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,4768,1.710989932885906,1819,1.4310060472787245,2483,1.5398711236407572
Original,374 (4394),2.7085561497326203 (-0.9975662168467143),1495 (324),2.5725752508361204 (-1.1415692035573959),1498 (985),2.7997329773030706 (-1.2598618536623134)
Original,418 (4350),3.8636363636363638 (-2.152646430750458),1495 (324),3.8588628762541806 (-2.427856828975456),1498 (985),4.201602136181576 (-2.6617310125408187)
Original,458 (4310),4.923580786026201 (-3.212590853140295),1496 (323),5.141711229946524 (-3.7107051826677995),1498 (985),5.60347129506008 (-4.063600171419323)
Original,468 (4300),6.139957264957265 (-4.428967332071359),1496 (323),6.427139037433155 (-4.996132990154431),1498 (985),7.005340453938585 (-5.465469330297828)
Original,486 (4282),7.209876543209877 (-5.498886610323971),1496 (323),7.712566844919786 (-6.2815607976410615),1498 (985),8.40720961281709 (-6.8673384891763325)
Original,526 (4242),8.000950570342205 (-6.289960637456299),1496 (323),8.997994652406417 (-7.566988605127692),1498 (985),9.809078771695594 (-8.269207648054836)
Original,603 (4165),8.520729684908789 (-6.809739752022883),1502 (317),10.264980026631159 (-8.833973979352434),1498 (985),11.210947930574099 (-9.67107680693334)
Original,605 (4163),9.824793388429752 (-8.113803455543845),1505 (314),11.548172757475083 (-10.117166710196358),1498 (985),12.612817089452603 (-11.072945965811845)
Original,638 (4130),10.746081504702195 (-9.035091571816288),1505 (314),12.84451827242525 (-11.413512225146524),1498 (985),14.014686248331108 (-12.47481512469035)
Original,661 (4107),11.785930408472012 (-10.074940475586107),1505 (314),14.140863787375416 (-12.709857740096691),1534 (949),15.101043024771839 (-13.56117190113108)
Original,727 (4041),12.229711141678129 (-10.518721208792222),1510 (309),15.40860927152318 (-13.977603224244454),1534 (949),16.49315514993481 (-14.953284026294053)
Original,734 (4034),13.536103542234333 (-11.825113609348428),1510 (309),16.711920529801326 (-15.2809144825226),1534 (949),17.885267275097785 (-16.345396151457027)
Original,786 (3982),14.248091603053435 (-12.53710167016753),1510 (309),18.015231788079472 (-16.584225740800747),1537 (946),19.246258945998697 (-17.70638782235794)
Original,821 (3947),15.150426309378807 (-13.4394363764929),1510 (309),19.318543046357615 (-17.88753699907889),1537 (946),20.638906961613532 (-19.099035837972774)
Original,834 (3934),16.39148681055156 (-14.680496877665654),1510 (309),20.62185430463576 (-19.190848257357036),1537 (946),22.031554977228367 (-20.49168385358761)
Original,856 (3912),17.457943925233646 (-15.746953992347741),1510 (309),21.925165562913907 (-20.494159515635182),1552 (931),23.223582474226806 (-21.683711350586048)
Original,873 (3895),18.584765177548682 (-16.873775244662777),1511 (308),23.214427531436137 (-21.78342148415741),1572 (911),24.334923664122137 (-22.79505254048138)
Original,929 (3839),19.096878363832076 (-17.38588843094617),1511 (308),24.517538054268694 (-23.08653200698997),1580 (903),25.609177215189874 (-24.069306091549116)
Original,940 (3828),20.40159574468085 (-18.690605811794946),1515 (304),25.76303630363036 (-24.332030256351636),1580 (903),26.999683544303796 (-25.459812420663038)
Original,950 (3818),21.743684210526315 (-20.03269427764041),1517 (302),27.036255767963084 (-25.60524972068436),1580 (903),28.39018987341772 (-26.850318749776964)
Original,959 (3809),23.079770594369133 (-21.36878066148323),1517 (302),28.343441001977588 (-26.912434954698863),1585 (898),29.691798107255522 (-28.151926983614764)
Original,964 (3804),24.481327800829874 (-22.77033786794397),1518 (301),29.631093544137023 (-28.2000874968583),1610 (873),30.63944099378882 (-29.099569870148063)
Original,986 (3782),25.47768762677485 (-23.766697693888943),1518 (301),30.93741765480896 (-29.506411607530236),1610 (873),32.03975155279503 (-30.499880429154274)
Original,1013 (3755),26.363770977295164 (-24.65278104440926),1518 (301),32.2437417654809 (-30.812735718202173),1626 (857),33.13007380073801 (-31.590202677097253)
Original,1047 (3721),27.053486150907354 (-25.34249621802145),1518 (301),33.550065876152836 (-32.119059828874114),1631 (852),34.43378295524218 (-32.89391183160142)
Original,1065 (3703),28.131455399061032 (-26.420465466175127),1518 (301),34.856389986824766 (-33.425383939546045),1631 (852),35.83721643163703 (-34.297345307996274)
Original,1080 (3688),29.28935185185185 (-27.578361918965946),1518 (301),36.1627140974967 (-34.73170805021798),1644 (839),36.967457420924575 (-35.42758629728382)
Original,1096 (3672),30.38594890510949 (-28.674958972223585),1526 (293),37.29882044560944 (-35.867814398330715),1646 (837),38.32928311057108 (-36.789411986930325)
Original,1145 (3623),30.649781659388648 (-28.938791726502743),1528 (291),38.56609947643979 (-37.13509342916107),1646 (837),39.73602673147023 (-38.196155607829475)
Original,1165 (3603),31.671244635193133 (-29.96025470230723),1528 (291),39.87958115183246 (-38.44857510455374),1646 (837),41.14277035236938 (-39.602899228728624)
Original,1198 (3570),32.36477462437396 (-30.653784691488053),1528 (291),41.193062827225134 (-39.76205677994641),1669 (814),41.95536249251049 (-40.41549136886973)
Original,1223 (3545),33.26124284546198 (-31.550252912576074),1532 (287),42.41057441253264 (-40.97956836525392),1672 (811),43.30322966507177 (-41.76335854143101)
Original,1234 (3534),34.500405186385734 (-32.789415253499826),1534 (285),43.67470664928292 (-42.243700602004196),1681 (802),44.49226650803094 (-42.95239538439018)
Original,1272 (3496),35.06603773584906 (-33.35504780296315),1534 (285),44.99413298565841 (-43.56312693837969),1693 (790),45.60484347312463 (-44.064972349483874)
Original,1292 (3476),36.08010835913313 (-34.36911842624722),1534 (285),46.313559322033896 (-44.882553274755175),1693 (790),47.02421736562315 (-45.484346241982394)
Original,1317 (3451),36.952543659832955 (-35.241553726947046),1540 (279),47.45649350649351 (-46.02548745921479),1693 (790),48.44359125812168 (-46.90372013448092)
Original,1340 (3428),37.8910447761194 (-36.18005484323349),1543 (276),48.681140635126376 (-47.250134587847654),1704 (779),49.571596244131456 (-48.0317251204907)
Original,1408 (3360),37.72372159090909 (-36.012731658023185),1543 (276),49.99773169151005 (-48.566725644231326),1743 (740),49.90304073436604 (-48.36316961072528)
Original,1412 (3356),39.19298866855524 (-37.48199873566933),1543 (276),51.31432274789371 (-49.88331670061499),1751 (732),51.10394060536836 (-49.5640694817276)
Original,1419 (3349),40.56835799859056 (-38.85736806570465),1543 (276),52.630913804277384 (-51.19990775699866),1751 (732),52.52826956025128 (-50.988398436610524)
Original,1435 (3333),41.54390243902439 (-39.832912506138484),1543 (276),53.94750486066105 (-52.51649881338233),1751 (732),53.952598515134206 (-52.41272739149345)
Original,1445 (3323),42.82768166089966 (-41.11669172801375),1544 (275),55.22830310880829 (-53.79729706152957),1751 (732),55.37692747001714 (-53.83705634637638)
Original,1461 (3307),43.96406570841889 (-42.253075775532984),1545 (274),56.511650485436896 (-55.080644438158174),1817 (666),54.847550908090255 (-53.3076797844495)
Original,1485 (3283),44.86094276094276 (-43.149952828056854),1556 (263),57.44119537275064 (-56.01018932547192),1843 (640),55.54612045577862 (-54.00624933213786)
Original,1543 (3225),44.60304601425794 (-42.89205608137203),1556 (263),58.76060411311054 (-57.32959806583182),1843 (640),56.98860553445469 (-55.448734410813934)
Original,1608 (3160),43.82493781094527 (-42.11394787805936),1563 (256),59.775111964171465 (-58.344105916892744),1843 (640),58.43109061313076 (-56.891219489490005)
Original,1625 (3143),44.93630769230769 (-43.225317759421785),1563 (256),61.102687140115165 (-59.671681092836444),1843 (640),59.873575691806835 (-58.33370456816608)
Original,1659 (3109),45.62778782399035 (-43.916797891104444),1567 (252),62.279834077855774 (-60.84882803057705),1843 (640),61.316060770482906 (-59.77618964684215)
Original,1669 (3099),46.939784301977234 (-45.228794369091325),1567 (252),63.60912571793236 (-62.178119670653636),1843 (640),62.75854584915898 (-61.21867472551822)
Original,1697 (3071),47.746317030053035 (-46.03532709716713),1567 (252),64.93841735800893 (-63.50741131073021),1843 (640),64.20103092783505 (-62.66115980419429)
Original,1714 (3054),48.81563593932322 (-47.104646006437314),1567 (252),66.26770899808551 (-64.83670295080678),1843 (640),65.64351600651112 (-64.10364488287037)
Original,1748 (3020),49.401887871853546 (-47.69089793896764),1567 (252),67.59700063816209 (-66.16599459088336),1843 (640),67.08600108518719 (-65.54612996154644)
Original,1773 (2995),50.2927241962775 (-48.58173426339159),1570 (249),68.80987261146497 (-67.37886656418624),1843 (640),68.52848616386326 (-66.98861504022251)
Original,1777 (2991),51.74563871693866 (-50.03464878405275),1570 (249),70.14426751592357 (-68.71326146864484),1858 (625),69.42761033369214 (-67.8877392100514)
Original,1790 (2978),52.95586592178771 (-51.2448759889018),1570 (249),71.47866242038216 (-70.04765637310344),1858 (625),70.86921420882669 (-69.32934308518594)
Original,1817 (2951),53.78398458998349 (-52.07299465709758),1570 (249),72.81305732484077 (-71.38205127756204),1858 (625),72.31081808396125 (-70.7709469603205)
Original,1842 (2926),54.4400108577633 (-52.72902092487739),1570 (249),74.14745222929936 (-72.71644618202063),1858 (625),73.7524219590958 (-72.21255083545505)
Original,1896 (2872),54.36603375527426 (-52.65504382238835),1570 (249),75.48184713375797 (-74.05084108647924),1858 (625),75.19402583423036 (-73.65415471058961)
Original,2185 (2583),48.64302059496568 (-46.93203066207977),1575 (244),76.57936507936508 (-75.14835903208635),1887 (596),75.32061473237944 (-73.78074360873869)
Original,2268 (2500),48.46186067019401 (-46.7508707373081),1579 (240),77.72450918302724 (-76.29350313574851),1887 (596),76.76205617382088 (-75.22218505018013)
Original,2292 (2476),49.43673647469459 (-47.72574654180868),1587 (232),78.67769376181475 (-77.24668771453602),1892 (591),77.46723044397463 (-75.92735932033388)
Original,2398 (2370),48.83882402001668 (-47.12783408713077),1609 (210),78.96270975761342 (-77.5317037103347),1892 (591),78.91199788583509 (-77.37212676219434)
Original,2435 (2333),49.53305954825462 (-47.82206961536871),1610 (209),80.25465838509317 (-78.82365233781444),1892 (591),80.35676532769556 (-78.8168942040548)
Original,2484 (2284),50.143115942028984 (-48.432126009143076),1611 (208),81.54624456859094 (-80.11523852131221),1892 (591),81.80153276955602 (-80.26166164591527)
Original,2493 (2275),51.46389891696751 (-49.7529089840816),1611 (208),82.88702669149596 (-81.45602064421723),1892 (591),83.2463002114165 (-81.70642908777575)
Original,2526 (2242),52.37391132224862 (-50.66292138936271),1611 (208),84.22780881440099 (-82.79680276712226),1892 (591),84.69106765327696 (-83.15119652963621)
Original,2534 (2234),53.774072612470405 (-52.0630826795845),1611 (208),85.35661080074487 (-83.92560475346615),1892 (591),86.13583509513742 (-84.59596397149667)
Original,2549 (2219),54.84366418203217 (-53.13267424914626),1611 (208),86.6973929236499 (-85.26638687637117),1892 (591),87.58060253699789 (-86.04073141335714)
Original,2559 (2209),56.20066432200078 (-54.489674389114874),1611 (208),88.03817504655494 (-86.60716899927621),1892 (591),89.02536997885835 (-87.4854988552176)
Original,2565 (2203),57.63430799220273 (-55.92331805931682),1611 (208),89.37895716945997 (-87.94795112218124),1892 (591),90.47013742071881 (-88.93026629707806)
Original,2569 (2199),59.105877773452704 (-57.394887840566795),1611 (208),90.71973929236499 (-89.28873324508626),1892 (591),91.91490486257928 (-90.37503373893853)
Original,2570 (2198),60.644163424124514 (-58.933173491238605),1614 (205),91.89312267657992 (-90.46211662930119),1892 (591),93.35967230443974 (-91.81980118079899)
Original,2589 (2179),61.655658555426804 (-59.944668622540895),1618 (201),93.01885043263287 (-91.58784438535415),1908 (575),94.02410901467505 (-92.4842378910343)
Original,2592 (2176),63.12808641975309 (-61.41709648686718),1619 (200),94.30543545398395 (-92.87442940670522),1916 (567),95.09342379958247 (-93.55355267594172)
Original,2593 (2175),64.62880833011955 (-62.917818397233646),1619 (200),95.63218035824583 (-94.2011743109671),1916 (567),96.54566805845512 (-95.00579693481437)
Original,2622 (2146),65.44126620900076 (-63.73027627611485),1620 (199),96.91635802469136 (-95.48535197741263),1916 (567),97.99791231732776 (-96.45804119368701)
Original,2627 (2141),66.88066235249333 (-65.16967241960742),1622 (197),98.1464241676942 (-96.71541812041548),1916 (567),99.45015657620041 (-97.91028545255966)
Original,2633 (2135),68.29301177364223 (-66.58202184075633),1622 (197),99.49198520345253 (-98.0609791561738),1916 (567),100.90240083507307 (-99.36252971143232)
Original,2637 (2131),69.71141448615852 (-68.00042455327261),1622 (197),100.83754623921085 (-99.40654019193212),1916 (567),102.35464509394572 (-100.81477397030497)
Original,2638 (2130),71.2147460197119 (-69.50375608682599),1622 (197),102.18310727496917 (-100.75210122769045),1916 (567),103.80688935281837 (-102.26701822917762)
Original,2650 (2118),72.44528301886793 (-70.73429308598202),1625 (194),103.34246153846154 (-101.9114554911828),1916 (567),105.25913361169103 (-103.71926248805028)
Original,2656 (2112),73.31231174698796 (-71.60132181410205),1625 (194),104.688 (-103.25699395272127),1916 (567),106.71137787056368 (-105.17150674692293)
Original,2674 (2094),74.31637995512341 (-72.6053900222375),1625 (194),106.03353846153846 (-104.60253241425973),1916 (567),108.16362212943632 (-106.62375100579557)
Original,2720 (2048),74.58143382352941 (-72.8704438906435),1625 (194),107.37907692307692 (-105.9480708757982),1917 (566),109.55868544600939 (-108.01881432236864)
Original,2731 (2037),75.8636030757964 (-74.1526131429105),1625 (194),108.72461538461539 (-107.29360933733666),1917 (566),111.01017214397496 (-109.4703010203342)
Original,2746 (2022),76.9701383831027 (-75.25914845021678),1628 (191),109.87346437346437 (-108.44245832618564),1922 (561),112.1690946930281 (-110.62922356938735)
Original,2782 (1986),77.46063982746226 (-75.74964989457635),1628 (191),111.2195945945946 (-109.78858854731587),1922 (561),113.61680541103017 (-112.07693428738942)
Original,2817 (1951),77.93414980475683 (-76.22315987187092),1628 (191),112.56572481572482 (-111.13471876844609),1924 (559),114.94802494802495 (-113.4081538243842)
Original,2845 (1923),78.70878734622144 (-76.99779741333553),1637 (182),113.30879657910812 (-111.87779053182939),1924 (559),116.39579002079002 (-114.85591889714927)
Original,2971 (1797),76.9683608212723 (-75.25737088838639),1654 (165),113.54232164449819 (-112.11131559721946),1926 (557),117.72326064382139 (-116.18338952018064)
Original,2976 (1792),78.4260752688172 (-76.71508533593129),1654 (165),114.91324062877872 (-113.4822345815),1927 (556),119.10871821484173 (-117.56884709120098)
Original,2981 (1787),79.88577658503858 (-78.17478665215268),1657 (162),116.07483403741702 (-114.64382799013829),1931 (552),120.31589849818747 (-118.77602737454671)
Original,2984 (1784),81.41554959785523 (-79.70455966496932),1657 (162),117.44387447193724 (-116.0128684246585),1931 (552),121.76462972553081 (-120.22475860189006)
Original,2985 (1783),82.99782244556114 (-81.28683251267523),1658 (161),118.74728588661037 (-117.31627983933164),1941 (542),122.59814528593509 (-121.05827416229434)
Original,2985 (1783),84.60636515912898 (-82.89537522624308),1662 (157),119.83543922984356 (-118.40443318256483),1944 (539),123.85879629629629 (-122.31892517265554)
