Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,9179,4768,1819,2483,109
Original,3436 (5743; 62.6%),374 (4394; 92.2%),1495 (324; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3480 (5699; 62.1%),418 (4350; 91.2%),1495 (324; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3521 (5658; 61.6%),458 (4310; 90.4%),1496 (323; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3531 (5648; 61.5%),468 (4300; 90.2%),1496 (323; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3549 (5630; 61.3%),486 (4282; 89.8%),1496 (323; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3589 (5590; 60.9%),526 (4242; 89.0%),1496 (323; 17.8%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3672 (5507; 60.0%),603 (4165; 87.4%),1502 (317; 17.4%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3677 (5502; 59.9%),605 (4163; 87.3%),1505 (314; 17.3%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3710 (5469; 59.6%),638 (4130; 86.6%),1505 (314; 17.3%),1498 (985; 39.7%),69 (40; 36.7%)
Original,3769 (5410; 58.9%),661 (4107; 86.1%),1505 (314; 17.3%),1534 (949; 38.2%),69 (40; 36.7%)
Original,3840 (5339; 58.2%),727 (4041; 84.8%),1510 (309; 17.0%),1534 (949; 38.2%),69 (40; 36.7%)
Original,3847 (5332; 58.1%),734 (4034; 84.6%),1510 (309; 17.0%),1534 (949; 38.2%),69 (40; 36.7%)
Original,3902 (5277; 57.5%),786 (3982; 83.5%),1510 (309; 17.0%),1537 (946; 38.1%),69 (40; 36.7%)
Original,3937 (5242; 57.1%),821 (3947; 82.8%),1510 (309; 17.0%),1537 (946; 38.1%),69 (40; 36.7%)
Original,3950 (5229; 57.0%),834 (3934; 82.5%),1510 (309; 17.0%),1537 (946; 38.1%),69 (40; 36.7%)
Original,3996 (5183; 56.5%),856 (3912; 82.0%),1510 (309; 17.0%),1552 (931; 37.5%),78 (31; 28.4%)
Original,4038 (5141; 56.0%),873 (3895; 81.7%),1511 (308; 16.9%),1572 (911; 36.7%),82 (27; 24.8%)
Original,4102 (5077; 55.3%),929 (3839; 80.5%),1511 (308; 16.9%),1580 (903; 36.4%),82 (27; 24.8%)
Original,4117 (5062; 55.1%),940 (3828; 80.3%),1515 (304; 16.7%),1580 (903; 36.4%),82 (27; 24.8%)
Original,4129 (5050; 55.0%),950 (3818; 80.1%),1517 (302; 16.6%),1580 (903; 36.4%),82 (27; 24.8%)
Original,4143 (5036; 54.9%),959 (3809; 79.9%),1517 (302; 16.6%),1585 (898; 36.2%),82 (27; 24.8%)
Original,4182 (4997; 54.4%),964 (3804; 79.8%),1518 (301; 16.5%),1610 (873; 35.2%),90 (19; 17.4%)
Original,4205 (4974; 54.2%),986 (3782; 79.3%),1518 (301; 16.5%),1610 (873; 35.2%),91 (18; 16.5%)
Original,4249 (4930; 53.7%),1013 (3755; 78.8%),1518 (301; 16.5%),1626 (857; 34.5%),92 (17; 15.6%)
Original,4288 (4891; 53.3%),1047 (3721; 78.0%),1518 (301; 16.5%),1631 (852; 34.3%),92 (17; 15.6%)
Original,4306 (4873; 53.1%),1065 (3703; 77.7%),1518 (301; 16.5%),1631 (852; 34.3%),92 (17; 15.6%)
Original,4334 (4845; 52.8%),1080 (3688; 77.3%),1518 (301; 16.5%),1644 (839; 33.8%),92 (17; 15.6%)
Original,4360 (4819; 52.5%),1096 (3672; 77.0%),1526 (293; 16.1%),1646 (837; 33.7%),92 (17; 15.6%)
Original,4412 (4767; 51.9%),1145 (3623; 76.0%),1528 (291; 16.0%),1646 (837; 33.7%),93 (16; 14.7%)
Original,4432 (4747; 51.7%),1165 (3603; 75.6%),1528 (291; 16.0%),1646 (837; 33.7%),93 (16; 14.7%)
Original,4488 (4691; 51.1%),1198 (3570; 74.9%),1528 (291; 16.0%),1669 (814; 32.8%),93 (16; 14.7%)
Original,4520 (4659; 50.8%),1223 (3545; 74.3%),1532 (287; 15.8%),1672 (811; 32.7%),93 (16; 14.7%)
Original,4543 (4636; 50.5%),1234 (3534; 74.1%),1534 (285; 15.7%),1681 (802; 32.3%),94 (15; 13.8%)
Original,4593 (4586; 50.0%),1272 (3496; 73.3%),1534 (285; 15.7%),1693 (790; 31.8%),94 (15; 13.8%)
Original,4613 (4566; 49.7%),1292 (3476; 72.9%),1534 (285; 15.7%),1693 (790; 31.8%),94 (15; 13.8%)
Original,4644 (4535; 49.4%),1317 (3451; 72.4%),1540 (279; 15.3%),1693 (790; 31.8%),94 (15; 13.8%)
Original,4682 (4497; 49.0%),1340 (3428; 71.9%),1543 (276; 15.2%),1704 (779; 31.4%),95 (14; 12.8%)
Original,4791 (4388; 47.8%),1408 (3360; 70.5%),1543 (276; 15.2%),1743 (740; 29.8%),97 (12; 11.0%)
Original,4803 (4376; 47.7%),1412 (3356; 70.4%),1543 (276; 15.2%),1751 (732; 29.5%),97 (12; 11.0%)
Original,4810 (4369; 47.6%),1419 (3349; 70.2%),1543 (276; 15.2%),1751 (732; 29.5%),97 (12; 11.0%)
Original,4826 (4353; 47.4%),1435 (3333; 69.9%),1543 (276; 15.2%),1751 (732; 29.5%),97 (12; 11.0%)
Original,4837 (4342; 47.3%),1445 (3323; 69.7%),1544 (275; 15.1%),1751 (732; 29.5%),97 (12; 11.0%)
Original,4920 (4259; 46.4%),1461 (3307; 69.4%),1545 (274; 15.1%),1817 (666; 26.8%),97 (12; 11.0%)
Original,4981 (4198; 45.7%),1485 (3283; 68.9%),1556 (263; 14.5%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5039 (4140; 45.1%),1543 (3225; 67.6%),1556 (263; 14.5%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5111 (4068; 44.3%),1608 (3160; 66.3%),1563 (256; 14.1%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5128 (4051; 44.1%),1625 (3143; 65.9%),1563 (256; 14.1%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5166 (4013; 43.7%),1659 (3109; 65.2%),1567 (252; 13.9%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5176 (4003; 43.6%),1669 (3099; 65.0%),1567 (252; 13.9%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5204 (3975; 43.3%),1697 (3071; 64.4%),1567 (252; 13.9%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5221 (3958; 43.1%),1714 (3054; 64.1%),1567 (252; 13.9%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5255 (3924; 42.7%),1748 (3020; 63.3%),1567 (252; 13.9%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5283 (3896; 42.4%),1773 (2995; 62.8%),1570 (249; 13.7%),1843 (640; 25.8%),97 (12; 11.0%)
Original,5302 (3877; 42.2%),1777 (2991; 62.7%),1570 (249; 13.7%),1858 (625; 25.2%),97 (12; 11.0%)
Original,5315 (3864; 42.1%),1790 (2978; 62.5%),1570 (249; 13.7%),1858 (625; 25.2%),97 (12; 11.0%)
Original,5342 (3837; 41.8%),1817 (2951; 61.9%),1570 (249; 13.7%),1858 (625; 25.2%),97 (12; 11.0%)
Original,5367 (3812; 41.5%),1842 (2926; 61.4%),1570 (249; 13.7%),1858 (625; 25.2%),97 (12; 11.0%)
Original,5422 (3757; 40.9%),1896 (2872; 60.2%),1570 (249; 13.7%),1858 (625; 25.2%),98 (11; 10.1%)
Original,5746 (3433; 37.4%),2185 (2583; 54.2%),1575 (244; 13.4%),1887 (596; 24.0%),99 (10; 9.2%)
Original,5833 (3346; 36.5%),2268 (2500; 52.4%),1579 (240; 13.2%),1887 (596; 24.0%),99 (10; 9.2%)
Original,5870 (3309; 36.0%),2292 (2476; 51.9%),1587 (232; 12.8%),1892 (591; 23.8%),99 (10; 9.2%)
Original,5999 (3180; 34.6%),2398 (2370; 49.7%),1609 (210; 11.5%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6037 (3142; 34.2%),2435 (2333; 48.9%),1610 (209; 11.5%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6087 (3092; 33.7%),2484 (2284; 47.9%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
Original,6096 (3083; 33.6%),2493 (2275; 47.7%),1611 (208; 11.4%),1892 (591; 23.8%),100 (9; 8.3%)
