Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,9179, ,4768, ,1819, ,2483
Original,3436,0.1%,374,0.0%,1495,0.0%,1498,0.1%
Original,3480,0.1%,418,0.0%,1495,0.0%,1498,0.1%
Original,3521,0.1%,458,0.0%,1496,0.0%,1498,0.1%
Original,3531,0.1%,468,0.0%,1496,0.0%,1498,0.1%
Original,3549,0.1%,486,0.0%,1496,0.0%,1498,0.1%
Original,3589,0.1%,526,0.0%,1496,0.0%,1498,0.1%
Original,3672,0.1%,603,0.0%,1502,0.0%,1498,0.1%
Original,3677,0.1%,605,0.0%,1505,0.0%,1498,0.1%
Original,3710,0.1%,638,0.0%,1505,0.0%,1498,0.1%
Original,3769,0.1%,661,0.0%,1505,0.0%,1534,0.1%
Original,3840,0.2%,727,0.6%,1510,0.0%,1534,0.1%
Original,3847,0.2%,734,0.5%,1510,0.0%,1534,0.1%
Original,3902,0.2%,786,0.8%,1510,0.0%,1537,0.1%
Original,3937,0.2%,821,0.7%,1510,0.0%,1537,0.1%
Original,3950,0.2%,834,0.7%,1510,0.0%,1537,0.1%
Original,3996,0.2%,856,0.7%,1510,0.0%,1552,0.1%
Original,4038,0.2%,873,0.7%,1511,0.0%,1572,0.1%
Original,4102,0.2%,929,0.8%,1511,0.0%,1580,0.1%
Original,4117,0.2%,940,0.7%,1515,0.0%,1580,0.1%
Original,4129,0.2%,950,0.7%,1517,0.0%,1580,0.1%
Original,4143,0.2%,959,0.7%,1517,0.0%,1585,0.1%
Original,4182,0.2%,964,0.7%,1518,0.0%,1610,0.1%
Original,4205,0.2%,986,0.8%,1518,0.0%,1610,0.1%
Original,4249,0.2%,1013,0.8%,1518,0.0%,1626,0.1%
Original,4288,0.3%,1047,0.9%,1518,0.0%,1631,0.2%
Original,4306,0.3%,1065,0.8%,1518,0.0%,1631,0.2%
Original,4334,0.3%,1080,0.8%,1518,0.0%,1644,0.3%
Original,4360,0.3%,1096,0.8%,1526,0.0%,1646,0.3%
Original,4412,0.3%,1145,0.8%,1528,0.0%,1646,0.3%
Original,4432,0.3%,1165,0.8%,1528,0.0%,1646,0.3%
Original,4488,0.3%,1198,0.8%,1528,0.0%,1669,0.3%
Original,4520,0.3%,1223,0.7%,1532,0.0%,1672,0.3%
Original,4543,0.3%,1234,0.7%,1534,0.0%,1681,0.3%
Original,4593,0.3%,1272,0.7%,1534,0.0%,1693,0.3%
Original,4613,0.3%,1292,0.7%,1534,0.0%,1693,0.3%
Original,4644,0.3%,1317,0.7%,1540,0.0%,1693,0.3%
Original,4682,0.3%,1340,0.7%,1543,0.0%,1704,0.3%
Original,4791,0.3%,1408,0.6%,1543,0.0%,1743,0.3%
Original,4803,0.3%,1412,0.6%,1543,0.0%,1751,0.3%
Original,4810,0.3%,1419,0.6%,1543,0.0%,1751,0.3%
Original,4826,0.2%,1435,0.5%,1543,0.0%,1751,0.3%
Original,4837,0.2%,1445,0.5%,1544,0.0%,1751,0.3%
Original,4920,0.2%,1461,0.5%,1545,0.0%,1817,0.3%
Original,4981,0.2%,1485,0.5%,1556,0.0%,1843,0.3%
Original,5039,0.3%,1543,0.5%,1556,0.0%,1843,0.3%
Original,5111,0.3%,1608,0.5%,1563,0.0%,1843,0.3%
Original,5128,0.3%,1625,0.5%,1563,0.0%,1843,0.3%
Original,5166,0.3%,1659,0.5%,1567,0.0%,1843,0.3%
Original,5176,0.3%,1669,0.5%,1567,0.0%,1843,0.3%
Original,5204,0.3%,1697,0.5%,1567,0.0%,1843,0.3%
Original,5221,0.2%,1714,0.5%,1567,0.0%,1843,0.3%
Original,5255,0.2%,1748,0.5%,1567,0.0%,1843,0.3%
Original,5283,0.2%,1773,0.5%,1570,0.0%,1843,0.3%
Original,5302,0.2%,1777,0.5%,1570,0.0%,1858,0.3%
Original,5315,0.2%,1790,0.4%,1570,0.0%,1858,0.3%
Original,5342,0.2%,1817,0.4%,1570,0.0%,1858,0.3%
Original,5367,0.2%,1842,0.4%,1570,0.0%,1858,0.3%
Original,5422,0.3%,1896,0.5%,1570,0.0%,1858,0.3%
Original,5746,0.2%,2185,0.5%,1575,0.0%,1887,0.2%
Original,5833,0.2%,2268,0.4%,1579,0.0%,1887,0.2%
Original,5870,0.2%,2292,0.4%,1587,0.0%,1892,0.2%
Original,5999,0.2%,2398,0.4%,1609,0.0%,1892,0.2%
Original,6037,0.2%,2435,0.4%,1610,0.0%,1892,0.2%
Original,6087,0.2%,2484,0.4%,1611,0.0%,1892,0.2%
Original,6096,0.2%,2493,0.4%,1611,0.0%,1892,0.2%
Original,6129,0.2%,2526,0.4%,1611,0.0%,1892,0.2%
Original,6137,0.2%,2534,0.4%,1611,0.0%,1892,0.2%
Original,6152,0.2%,2549,0.4%,1611,0.0%,1892,0.2%
Original,6162,0.2%,2559,0.4%,1611,0.0%,1892,0.2%
