Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,5,16,43,0,4,15,24,0,0,2
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
Original,0 (5; 100.0%),16 (0; 0.0%),18 (25; 58.1%),0 (0; 0.0%),2 (2; 50.0%),14 (1; 6.7%),17 (7; 29.2%),0 (0; 0.0%),0 (0; 0.0%),2 (0; 0.0%)
