Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
Original,5, ,16, ,43, ,0, ,4, ,15, ,24, ,0, ,0, ,2
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,18,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,27,0.0%,0,0.0%,2,0.0%,14,0.0%,17,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,30,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,30,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,30,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,30,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,30,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,0,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,1,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,38,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,39,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,39,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,39,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,39,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,40,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,40,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,40,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,40,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,18,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,2,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,20,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,2,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,3,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
Original,5,0.0%,16,0.0%,41,0.0%,0,0.0%,3,0.0%,14,0.0%,21,0.0%,0,0.0%,0,0.0%,2,0.0%
