Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,133,1.2518796992481203,14,1.8214285714285714,8,2.875
Original,65 (68),3.276923076923077 (-2.0250433776749563),11 (3),4.363636363636363 (-2.542207792207792),8 (0),5.75 (-2.875)
Original,45 (88),4.611111111111111 (-3.3592314118629902),6 (8),3.0 (-1.1785714285714286),8 (0),8.625 (-5.75)
Original,65 (68),6.007692307692308 (-4.755812608444187),11 (3),7.090909090909091 (-5.26948051948052),8 (0),11.5 (-8.625)
Original,45 (88),7.7444444444444445 (-6.492564745196324),6 (8),5.0 (-3.178571428571429),8 (0),14.375 (-11.5)
Original,83 (50),5.855421686746988 (-4.6035419874988674),6 (8),6.0 (-4.178571428571429),8 (0),17.25 (-14.375)
Original,45 (88),10.855555555555556 (-9.603675856307436),6 (8),7.0 (-5.178571428571429),8 (0),20.125 (-17.25)
Original,102 (31),7.916666666666667 (-6.6647869674185465),11 (3),10.909090909090908 (-9.087662337662337),8 (0),23.0 (-20.125)
Original,83 (50),9.283132530120483 (-8.031252830872363),6 (8),9.0 (-7.178571428571429),8 (0),25.875 (-23.0)
Original,45 (88),15.444444444444445 (-14.192564745196325),6 (8),10.0 (-8.178571428571429),8 (0),28.75 (-25.875)
Original,83 (50),11.421686746987952 (-10.169807047739832),6 (8),11.0 (-9.178571428571429),8 (0),31.625 (-28.75)
Original,45 (88),18.555555555555557 (-17.303675856307436),6 (8),12.0 (-10.178571428571429),8 (0),34.5 (-31.625)
