Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,156,133,14,8,1
Original,85 (71; 45.5%),65 (68; 51.1%),11 (3; 21.4%),8 (0; 0.0%),1 (0; 0.0%)
Original,59 (97; 62.2%),45 (88; 66.2%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,85 (71; 45.5%),65 (68; 51.1%),11 (3; 21.4%),8 (0; 0.0%),1 (0; 0.0%)
Original,59 (97; 62.2%),45 (88; 66.2%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,97 (59; 37.8%),83 (50; 37.6%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,59 (97; 62.2%),45 (88; 66.2%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,122 (34; 21.8%),102 (31; 23.3%),11 (3; 21.4%),8 (0; 0.0%),1 (0; 0.0%)
Original,97 (59; 37.8%),83 (50; 37.6%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,59 (97; 62.2%),45 (88; 66.2%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,97 (59; 37.8%),83 (50; 37.6%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
Original,59 (97; 62.2%),45 (88; 66.2%),6 (8; 57.1%),8 (0; 0.0%),0 (1; 100.0%)
