Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,156, ,133, ,14, ,8
Original,85,0.0%,65,0.0%,11,0.0%,8,0.0%
Original,59,0.0%,45,0.0%,6,0.0%,8,0.0%
Original,85,0.0%,65,0.0%,11,0.0%,8,0.0%
Original,59,0.0%,45,0.0%,6,0.0%,8,0.0%
Original,97,0.0%,83,0.0%,6,0.0%,8,0.0%
Original,59,0.0%,45,0.0%,6,0.0%,8,0.0%
Original,122,0.0%,102,0.0%,11,0.0%,8,0.0%
Original,97,0.0%,83,0.0%,6,0.0%,8,0.0%
Original,59,0.0%,45,0.0%,6,0.0%,8,0.0%
Original,97,0.0%,83,0.0%,6,0.0%,8,0.0%
Original,59,0.0%,45,0.0%,6,0.0%,8,0.0%
