Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,11 of 11,35 of 35,17 of 17
Original,9 (2),32 (3),15 (2)
Original,9 (2),32 (3),15 (2)
Original,9 (2),32 (3),15 (2)
Original,9 (2),27 (8),12 (5)
Original,9 (2),26 (9),11 (6)
Original,9 (2),27 (8),11 (6)
Original,9 (2),28 (7),11 (6)
Original,9 (2),26 (9),11 (6)
Original,9 (2),27 (8),11 (6)
Original,9 (2),30 (5),13 (4)
Original,10 (1),30 (5),13 (4)
Original,9 (2),27 (8),12 (5)
Original,9 (2),31 (4),13 (4)
Original,10 (1),34 (1),16 (1)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),31 (4),13 (4)
Original,9 (2),32 (3),14 (3)
Original,9 (2),33 (2),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),33 (2),15 (2)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),33 (2),15 (2)
Original,9 (2),32 (3),14 (3)
Original,9 (2),32 (3),14 (3)
Original,9 (2),31 (4),13 (4)
Original,9 (2),31 (4),13 (4)
Original,9 (2),31 (4),14 (3)
Original,9 (2),31 (4),14 (3)
Original,11 (0),32 (3),15 (2)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),32 (3),14 (3)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),16 (1)
Original,10 (1),33 (2),16 (1)
Original,10 (1),33 (2),16 (1)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),33 (2),15 (2)
Original,10 (1),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),35 (0),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),35 (0),17 (0)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),16 (1)
Original,11 (0),33 (2),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),16 (1)
Original,11 (0),33 (2),16 (1)
Original,11 (0),33 (2),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),35 (0),16 (1)
Original,11 (0),34 (1),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),34 (1),16 (1)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
Original,11 (0),33 (2),15 (2)
