Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,7057,1.751239903641774,4715,1.8866383881230118,14085,1.9762513312034078
Original,970 (6087),3.268041237113402 (-1.516801333471628),3152 (1563),3.8705583756345177 (-1.983919987511506),3188 (10897),3.3746863237139273 (-1.3984349925105195)
Original,1025 (6032),4.784878048780488 (-3.033638145138714),3154 (1561),5.8040583386176285 (-3.917419950494617),3350 (10735),4.956865671641791 (-2.980614340438383)
Original,1038 (6019),6.416666666666667 (-4.665426763024893),3157 (1558),7.7377256889452015 (-5.85108730082219),3442 (10643),6.606478791400349 (-4.6302274601969415)
Original,1084 (5973),7.86070110701107 (-6.109461203369296),3163 (1552),9.660132785330383 (-7.773494397207371),3491 (10594),8.256373531939273 (-6.280122200735866)
Original,1126 (5931),9.323712255772646 (-7.572472352130872),3164 (1551),11.590233881163085 (-9.703595493040073),3580 (10505),9.811173184357543 (-7.834921853154135)
Original,1140 (5917),10.942982456140351 (-9.191742552498576),3168 (1547),13.512626262626263 (-11.62598787450325),3662 (10423),11.360868377935555 (-9.384617046732147)
Original,1185 (5872),12.244303797468355 (-10.49306389382658),3180 (1535),15.395440251572326 (-13.508801863449314),3823 (10262),12.646874182579126 (-10.670622851375718)
Original,1224 (5833),13.570669934640524 (-11.819430030998749),3189 (1526),17.289902790843524 (-15.403264402720511),3900 (10185),14.178461538461539 (-12.202210207258132)
Original,1245 (5812),15.055823293172692 (-13.304583389530917),3197 (1518),19.17907413199875 (-17.29243574387574),3935 (10150),15.817916137229988 (-13.84166480602658)
Original,1327 (5730),15.825546345139411 (-14.074306441497637),3203 (1512),21.075554167967532 (-19.18891577984452),3941 (10144),17.55341283938087 (-15.577161508177461)
Original,1357 (5700),17.127487103905676 (-15.3762472002639),3216 (1499),22.928482587064675 (-21.041844198941664),4008 (10077),18.97380239520958 (-16.997551064006174)
Original,1391 (5666),18.39000718907261 (-16.638767285430834),3227 (1488),24.785714285714285 (-22.899075897591274),4014 (10071),20.703537618335826 (-18.72728628713242)
Original,1449 (5608),19.312629399585923 (-17.561389495944148),3237 (1478),26.623880135928328 (-24.737241747805317),4097 (9988),22.021845252623873 (-20.045593921420465)
Original,1596 (5461),19.223997493734334 (-17.47275759009256),3276 (1439),28.25442612942613 (-26.36778774130312),4247 (9838),23.05898281139628 (-21.082731480192873)
Original,1660 (5397),20.206626506024097 (-18.455386602382323),3288 (1427),30.085614355231144 (-28.198975967108133),4308 (9777),24.49524141132776 (-22.518990080124354)
Original,1685 (5372),21.56053412462908 (-19.809294220987304),3297 (1418),31.940097057931453 (-30.053458669808442),4384 (9701),25.841583029197082 (-23.865331697993675)
Original,1727 (5330),22.686160972785178 (-20.934921069143403),3302 (1413),33.82238037552998 (-31.93574198740697),4411 (9674),27.40308320108819 (-25.426831869884783)
Original,1774 (5283),23.766347237880495 (-22.01510733423872),3304 (1411),35.72972154963681 (-33.843083161513796),4415 (9670),29.14722536806342 (-27.170974036860013)
Original,1799 (5258),25.10561423012785 (-23.354374326486074),3312 (1403),37.57140700483092 (-35.684768616707906),4471 (9614),30.563296801610377 (-28.58704547040697)
Original,1818 (5239),26.523927392739274 (-24.7726874890975),3316 (1399),39.45476477683957 (-37.56812638871656),4545 (9540),31.868096809680967 (-29.89184547847756)
Original,1869 (5188),27.401284109149277 (-25.650044205507502),3320 (1395),41.29578313253012 (-39.40914474440711),4750 (9335),32.339263157894734 (-30.363011826691327)
Original,1909 (5148),28.493190151911996 (-26.74195024827022),3325 (1390),43.15894736842105 (-41.27230898029804),4773 (9312),33.86381730567777 (-31.887565974474363)
Original,1999 (5058),28.905952976488244 (-27.15471307284647),3344 (1371),44.82236842105263 (-42.93573003292962),5046 (9039),33.790824415378516 (-31.81457308417511)
Original,2037 (5020),30.07756504663721 (-28.326325142995437),3367 (1348),46.44342144342144 (-44.55678305529843),5066 (9019),35.46693643900513 (-33.490685107801724)
Original,2101 (4956),30.826273203236553 (-29.07503329959478),3371 (1344),48.30703055473153 (-46.42039216660852),5258 (8827),35.96044123240776 (-33.98418990120435)
Original,2116 (4941),32.31450850661626 (-30.563268602974482),3371 (1344),50.225749035894395 (-48.339110647771385),5292 (8793),37.53505291005291 (-35.558801578849504)
Original,2242 (4815),32.19736842105263 (-30.446128517410855),3383 (1332),51.96792787466745 (-50.08128948654444),5300 (8785),39.289811320754715 (-37.31355998955131)
Original,2291 (4766),33.08664338716718 (-31.335403483525404),3398 (1317),53.63978811065333 (-51.75314972253032),5467 (8618),39.82723614413755 (-37.85098481293414)
