Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,26581,7057,4715,14085,724
Original,7679 (18902; 71.1%),970 (6087; 86.3%),3152 (1563; 33.1%),3188 (10897; 77.4%),369 (355; 49.0%)
Original,7898 (18683; 70.3%),1025 (6032; 85.5%),3154 (1561; 33.1%),3350 (10735; 76.2%),369 (355; 49.0%)
Original,8007 (18574; 69.9%),1038 (6019; 85.3%),3157 (1558; 33.0%),3442 (10643; 75.6%),370 (354; 48.9%)
Original,8108 (18473; 69.5%),1084 (5973; 84.6%),3163 (1552; 32.9%),3491 (10594; 75.2%),370 (354; 48.9%)
Original,8240 (18341; 69.0%),1126 (5931; 84.0%),3164 (1551; 32.9%),3580 (10505; 74.6%),370 (354; 48.9%)
Original,8341 (18240; 68.6%),1140 (5917; 83.8%),3168 (1547; 32.8%),3662 (10423; 74.0%),371 (353; 48.8%)
Original,8567 (18014; 67.8%),1185 (5872; 83.2%),3180 (1535; 32.6%),3823 (10262; 72.9%),379 (345; 47.7%)
Original,8692 (17889; 67.3%),1224 (5833; 82.7%),3189 (1526; 32.4%),3900 (10185; 72.3%),379 (345; 47.7%)
Original,8756 (17825; 67.1%),1245 (5812; 82.4%),3197 (1518; 32.2%),3935 (10150; 72.1%),379 (345; 47.7%)
Original,8851 (17730; 66.7%),1327 (5730; 81.2%),3203 (1512; 32.1%),3941 (10144; 72.0%),380 (344; 47.5%)
Original,8961 (17620; 66.3%),1357 (5700; 80.8%),3216 (1499; 31.8%),4008 (10077; 71.5%),380 (344; 47.5%)
Original,9012 (17569; 66.1%),1391 (5666; 80.3%),3227 (1488; 31.6%),4014 (10071; 71.5%),380 (344; 47.5%)
Original,9165 (17416; 65.5%),1449 (5608; 79.5%),3237 (1478; 31.3%),4097 (9988; 70.9%),382 (342; 47.2%)
Original,9504 (17077; 64.2%),1596 (5461; 77.4%),3276 (1439; 30.5%),4247 (9838; 69.8%),385 (339; 46.8%)
Original,9642 (16939; 63.7%),1660 (5397; 76.5%),3288 (1427; 30.3%),4308 (9777; 69.4%),386 (338; 46.7%)
Original,9757 (16824; 63.3%),1685 (5372; 76.1%),3297 (1418; 30.1%),4384 (9701; 68.9%),391 (333; 46.0%)
Original,9831 (16750; 63.0%),1727 (5330; 75.5%),3302 (1413; 30.0%),4411 (9674; 68.7%),391 (333; 46.0%)
Original,9885 (16696; 62.8%),1774 (5283; 74.9%),3304 (1411; 29.9%),4415 (9670; 68.7%),392 (332; 45.9%)
Original,9979 (16602; 62.5%),1799 (5258; 74.5%),3312 (1403; 29.8%),4471 (9614; 68.3%),397 (327; 45.2%)
Original,10077 (16504; 62.1%),1818 (5239; 74.2%),3316 (1399; 29.7%),4545 (9540; 67.7%),398 (326; 45.0%)
Original,10339 (16242; 61.1%),1869 (5188; 73.5%),3320 (1395; 29.6%),4750 (9335; 66.3%),400 (324; 44.8%)
Original,10407 (16174; 60.8%),1909 (5148; 72.9%),3325 (1390; 29.5%),4773 (9312; 66.1%),400 (324; 44.8%)
Original,10798 (15783; 59.4%),1999 (5058; 71.7%),3344 (1371; 29.1%),5046 (9039; 64.2%),409 (315; 43.5%)
Original,10880 (15701; 59.1%),2037 (5020; 71.1%),3367 (1348; 28.6%),5066 (9019; 64.0%),410 (314; 43.4%)
Original,11141 (15440; 58.1%),2101 (4956; 70.2%),3371 (1344; 28.5%),5258 (8827; 62.7%),411 (313; 43.2%)
Original,11190 (15391; 57.9%),2116 (4941; 70.0%),3371 (1344; 28.5%),5292 (8793; 62.4%),411 (313; 43.2%)
Original,11340 (15241; 57.3%),2242 (4815; 68.2%),3383 (1332; 28.3%),5300 (8785; 62.4%),415 (309; 42.7%)
Original,11577 (15004; 56.4%),2291 (4766; 67.5%),3398 (1317; 27.9%),5467 (8618; 61.2%),421 (303; 41.9%)
Original,11718 (14863; 55.9%),2321 (4736; 67.1%),3405 (1310; 27.8%),5568 (8517; 60.5%),424 (300; 41.4%)
Original,11799 (14782; 55.6%),2338 (4719; 66.9%),3418 (1297; 27.5%),5613 (8472; 60.1%),430 (294; 40.6%)
Original,11962 (14619; 55.0%),2365 (4692; 66.5%),3418 (1297; 27.5%),5741 (8344; 59.2%),438 (286; 39.5%)
Original,12092 (14489; 54.5%),2429 (4628; 65.6%),3424 (1291; 27.4%),5792 (8293; 58.9%),447 (277; 38.3%)
Original,12291 (14290; 53.8%),2565 (4492; 63.7%),3433 (1282; 27.2%),5846 (8239; 58.5%),447 (277; 38.3%)
Original,12381 (14200; 53.4%),2583 (4474; 63.4%),3438 (1277; 27.1%),5910 (8175; 58.0%),450 (274; 37.8%)
Original,12555 (14026; 52.8%),2627 (4430; 62.8%),3441 (1274; 27.0%),6037 (8048; 57.1%),450 (274; 37.8%)
Original,12586 (13995; 52.7%),2657 (4400; 62.3%),3441 (1274; 27.0%),6038 (8047; 57.1%),450 (274; 37.8%)
Original,12734 (13847; 52.1%),2672 (4385; 62.1%),3441 (1274; 27.0%),6168 (7917; 56.2%),453 (271; 37.4%)
Original,12756 (13825; 52.0%),2691 (4366; 61.9%),3444 (1271; 27.0%),6168 (7917; 56.2%),453 (271; 37.4%)
Original,12769 (13812; 52.0%),2700 (4357; 61.7%),3444 (1271; 27.0%),6172 (7913; 56.2%),453 (271; 37.4%)
Original,12803 (13778; 51.8%),2726 (4331; 61.4%),3452 (1263; 26.8%),6172 (7913; 56.2%),453 (271; 37.4%)
Original,12821 (13760; 51.8%),2738 (4319; 61.2%),3452 (1263; 26.8%),6175 (7910; 56.2%),456 (268; 37.0%)
Original,12844 (13737; 51.7%),2753 (4304; 61.0%),3454 (1261; 26.7%),6175 (7910; 56.2%),462 (262; 36.2%)
Original,12984 (13597; 51.2%),2799 (4258; 60.3%),3460 (1255; 26.6%),6263 (7822; 55.5%),462 (262; 36.2%)
Original,13003 (13578; 51.1%),2814 (4243; 60.1%),3462 (1253; 26.6%),6265 (7820; 55.5%),462 (262; 36.2%)
Original,13184 (13397; 50.4%),2871 (4186; 59.3%),3468 (1247; 26.4%),6382 (7703; 54.7%),463 (261; 36.0%)
Original,13296 (13285; 50.0%),2912 (4145; 58.7%),3472 (1243; 26.4%),6449 (7636; 54.2%),463 (261; 36.0%)
Original,13301 (13280; 50.0%),2917 (4140; 58.7%),3472 (1243; 26.4%),6449 (7636; 54.2%),463 (261; 36.0%)
Original,13309 (13272; 49.9%),2925 (4132; 58.6%),3472 (1243; 26.4%),6449 (7636; 54.2%),463 (261; 36.0%)
Original,13431 (13150; 49.5%),2957 (4100; 58.1%),3475 (1240; 26.3%),6528 (7557; 53.7%),471 (253; 34.9%)
Original,13464 (13117; 49.3%),2982 (4075; 57.7%),3479 (1236; 26.2%),6532 (7553; 53.6%),471 (253; 34.9%)
Original,13469 (13112; 49.3%),2987 (4070; 57.7%),3479 (1236; 26.2%),6532 (7553; 53.6%),471 (253; 34.9%)
Original,13677 (12904; 48.5%),3033 (4024; 57.0%),3512 (1203; 25.5%),6650 (7435; 52.8%),482 (242; 33.4%)
Original,13691 (12890; 48.5%),3042 (4015; 56.9%),3517 (1198; 25.4%),6650 (7435; 52.8%),482 (242; 33.4%)
Original,13772 (12809; 48.2%),3085 (3972; 56.3%),3526 (1189; 25.2%),6679 (7406; 52.6%),482 (242; 33.4%)
Original,13849 (12732; 47.9%),3101 (3956; 56.1%),3530 (1185; 25.1%),6734 (7351; 52.2%),484 (240; 33.1%)
Original,13918 (12663; 47.6%),3124 (3933; 55.7%),3531 (1184; 25.1%),6779 (7306; 51.9%),484 (240; 33.1%)
Original,13928 (12653; 47.6%),3126 (3931; 55.7%),3531 (1184; 25.1%),6787 (7298; 51.8%),484 (240; 33.1%)
