Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,26581, ,7057, ,4715, ,14085
Original,7679,0.0%,970,0.1%,3152,0.0%,3188,0.0%
Original,7898,0.0%,1025,0.1%,3154,0.0%,3350,0.0%
Original,8007,0.0%,1038,0.1%,3157,0.0%,3442,0.0%
Original,8108,0.0%,1084,0.1%,3163,0.0%,3491,0.1%
Original,8240,0.1%,1126,0.1%,3164,0.0%,3580,0.1%
Original,8341,0.1%,1140,0.1%,3168,0.0%,3662,0.1%
Original,8567,0.1%,1185,0.1%,3180,0.0%,3823,0.1%
Original,8692,0.1%,1224,0.1%,3189,0.0%,3900,0.1%
Original,8756,0.1%,1245,0.1%,3197,0.0%,3935,0.1%
Original,8851,0.2%,1327,0.9%,3203,0.0%,3941,0.1%
Original,8961,0.2%,1357,0.9%,3216,0.0%,4008,0.1%
Original,9012,0.2%,1391,0.9%,3227,0.0%,4014,0.1%
Original,9165,0.2%,1449,0.9%,3237,0.0%,4097,0.1%
Original,9504,0.2%,1596,0.9%,3276,0.0%,4247,0.1%
Original,9642,0.2%,1660,0.9%,3288,0.0%,4308,0.1%
Original,9757,0.2%,1685,0.9%,3297,0.0%,4384,0.1%
Original,9831,0.2%,1727,0.9%,3302,0.0%,4411,0.1%
Original,9885,0.2%,1774,0.8%,3304,0.0%,4415,0.1%
Original,9979,0.2%,1799,0.8%,3312,0.0%,4471,0.1%
Original,10077,0.2%,1818,0.8%,3316,0.0%,4545,0.1%
Original,10339,0.2%,1869,0.9%,3320,0.0%,4750,0.1%
Original,10407,0.2%,1909,0.8%,3325,0.0%,4773,0.1%
Original,10798,0.2%,1999,0.8%,3344,0.0%,5046,0.1%
Original,10880,0.2%,2037,0.8%,3367,0.0%,5066,0.1%
Original,11141,0.2%,2101,0.8%,3371,0.0%,5258,0.1%
Original,11190,0.2%,2116,0.8%,3371,0.0%,5292,0.1%
Original,11340,0.2%,2242,0.8%,3383,0.0%,5300,0.1%
Original,11577,0.2%,2291,0.7%,3398,0.0%,5467,0.1%
Original,11718,0.2%,2321,0.7%,3405,0.0%,5568,0.1%
Original,11799,0.2%,2338,0.7%,3418,0.0%,5613,0.1%
Original,11962,0.2%,2365,0.7%,3418,0.0%,5741,0.1%
Original,12092,0.2%,2429,0.7%,3424,0.0%,5792,0.1%
Original,12291,0.2%,2565,0.7%,3433,0.0%,5846,0.1%
Original,12381,0.2%,2583,0.7%,3438,0.0%,5910,0.1%
Original,12555,0.2%,2627,0.8%,3441,0.0%,6037,0.1%
Original,12586,0.2%,2657,0.8%,3441,0.0%,6038,0.1%
Original,12734,0.2%,2672,0.7%,3441,0.0%,6168,0.1%
Original,12756,0.2%,2691,0.8%,3444,0.0%,6168,0.1%
Original,12769,0.1%,2700,0.4%,3444,0.0%,6172,0.1%
Original,12803,0.1%,2726,0.4%,3452,0.0%,6172,0.1%
Original,12821,0.1%,2738,0.4%,3452,0.0%,6175,0.1%
Original,12844,0.1%,2753,0.4%,3454,0.0%,6175,0.1%
Original,12984,0.1%,2799,0.4%,3460,0.0%,6263,0.1%
