Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
Original,35, ,93, ,347, ,0, ,9, ,88, ,135, ,0, ,0, ,17
Original,32,0.0%,90,0.0%,91,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,90,0.0%,91,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,90,0.0%,92,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,90,0.0%,92,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,90,0.0%,92,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,91,0.0%,92,0.0%,0,0.0%,2,0.0%,76,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,5,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,77,0.0%,73,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,78,0.0%,74,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,99,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,100,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,105,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,105,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,106,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,111,0.0%,0,0.0%,2,0.0%,79,0.0%,76,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,111,0.0%,0,0.0%,2,0.0%,79,0.0%,77,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,111,0.0%,0,0.0%,2,0.0%,79,0.0%,79,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,111,0.0%,0,0.0%,2,0.0%,79,0.0%,79,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,120,0.0%,0,0.0%,2,0.0%,79,0.0%,79,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,121,0.0%,0,0.0%,2,0.0%,79,0.0%,79,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,121,0.0%,0,0.0%,2,0.0%,79,0.0%,80,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,121,0.0%,0,0.0%,2,0.0%,79,0.0%,80,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,125,0.0%,0,0.0%,2,0.0%,79,0.0%,80,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,91,0.0%,127,0.0%,0,0.0%,2,0.0%,79,0.0%,84,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,128,0.0%,0,0.0%,2,0.0%,79,0.0%,85,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,134,0.0%,0,0.0%,2,0.0%,79,0.0%,85,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,142,0.0%,0,0.0%,2,0.0%,79,0.0%,85,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,86,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,86,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,89,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,89,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,89,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,92,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,92,0.0%,0,0.0%,0,0.0%,6,0.0%
Original,32,0.0%,92,0.0%,150,0.0%,0,0.0%,2,0.0%,79,0.0%,92,0.0%,0,0.0%,0,0.0%,6,0.0%
