Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,9 of 11,34 of 35,16 of 17
Original,7 (2),22 (12),8 (8)
Original,7 (2),29 (5),11 (5)
Original,8 (1),31 (3),11 (5)
Original,8 (1),30 (4),12 (4)
Original,9 (0),30 (4),12 (4)
Original,9 (0),30 (4),12 (4)
Original,8 (1),29 (5),13 (3)
Original,8 (1),28 (6),12 (4)
Original,8 (1),27 (7),12 (4)
Original,8 (1),28 (6),12 (4)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),29 (5),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),30 (4),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),30 (4),13 (3)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,9 (0),30 (4),12 (4)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),10 (6)
Original,8 (1),29 (5),11 (5)
Original,8 (1),29 (5),11 (5)
Original,8 (1),29 (5),11 (5)
Original,8 (1),28 (6),10 (6)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),12 (4)
Original,9 (0),30 (4),12 (4)
Original,9 (0),30 (4),12 (4)
Original,9 (0),30 (4),12 (4)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
Original,8 (1),28 (6),11 (5)
