Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1834,1.757360959651036,469,1.8528784648187633,2365,1.4881606765327695
Original,169 (1665),2.7218934911242605 (-0.9645325314732245),337 (132),3.0949554896142435 (-1.2420770247954802),310 (2055),3.5903225806451613 (-2.102161904112392)
Original,479 (1355),3.6972860125260962 (-1.9399250528750602),338 (131),4.634615384615385 (-2.7817369197966215),375 (1990),5.102666666666667 (-3.6145059901338974)
Original,536 (1298),5.144589552238806 (-3.3872285925877694),338 (131),6.180473372781065 (-4.327594907962301),375 (1990),6.912 (-5.423839323467231)
Original,689 (1145),6.111030478955008 (-4.353669519303971),340 (129),7.698529411764706 (-5.845650946945942),381 (1984),8.594488188976378 (-7.106327512443608)
Original,831 (1003),7.099879663056559 (-5.342518703405522),340 (129),9.244117647058824 (-7.39123918224006),472 (1893),8.707627118644067 (-7.2194664421112975)
Original,951 (883),8.203995793901157 (-6.446634834250121),353 (116),10.542492917847026 (-8.689614453028263),487 (1878),10.094455852156058 (-8.606295175623288)
Original,960 (874),9.9 (-8.142639040348964),353 (116),12.11614730878187 (-10.263268843963106),487 (1878),11.700205338809035 (-10.212044662276265)
Original,972 (862),11.570987654320987 (-9.813626694669951),353 (116),13.689801699716714 (-11.83692323489795),487 (1878),13.305954825462011 (-11.817794148929242)
Original,973 (861),13.322713257965056 (-11.56535229831402),353 (116),15.263456090651559 (-13.410577625832795),487 (1878),14.91170431211499 (-13.42354363558222)
Original,1012 (822),14.618577075098814 (-12.861216115447778),365 (104),16.475342465753425 (-14.622464000934661),585 (1780),14.165811965811965 (-12.677651289279195)
Original,1039 (795),16.045717035611165 (-14.28835607596013),365 (104),18.10958904109589 (-16.25671057627713),592 (1773),15.556587837837839 (-14.068427161305069)
Original,1012 (822),18.145750988142293 (-16.38839002849126),365 (104),19.743835616438357 (-17.890957151619595),585 (1780),17.264957264957264 (-15.776796588424494)
Original,1024 (810),19.70068359375 (-17.943322634098966),366 (103),21.31967213114754 (-19.46679366632878),587 (1778),18.750425894378193 (-17.262265217845425)
Original,1034 (800),21.278046421663444 (-19.52068546201241),366 (103),22.94945355191257 (-21.096575087093807),588 (1777),20.260204081632654 (-18.772043405099886)
Original,1081 (753),22.15263644773358 (-20.395275488082547),366 (103),24.579234972677597 (-22.726356507858835),588 (1777),21.80187074829932 (-20.31371007176655)
Original,1095 (739),23.617808219178084 (-21.86044725952705),366 (103),26.209016393442624 (-24.356137928623863),589 (1776),23.31409168081494 (-21.82593100428217)
Original,1085 (749),25.523041474654377 (-23.765680515003343),366 (103),27.838797814207652 (-25.98591934938889),588 (1777),24.900510204081634 (-23.412349527548866)
Original,1038 (796),28.177745664739884 (-26.42038470508885),366 (103),29.468579234972676 (-27.615700770153914),588 (1777),26.447278911564627 (-24.95911823503186)
Original,1024 (810),30.24169921875 (-28.484338259098966),366 (103),31.098360655737704 (-29.245482190918942),587 (1778),28.01618398637138 (-26.528023309838613)
Original,1034 (800),31.759187620889747 (-30.001826661238713),366 (103),32.728142076502735 (-30.875263611683973),588 (1777),29.510204081632654 (-28.022043405099886)
Original,1024 (810),33.75537109375 (-31.998010134098966),366 (103),34.35792349726776 (-32.505045032449),587 (1778),31.104770017035776 (-29.616609340503008)
Original,1071 (763),34.26470588235294 (-32.507344922701904),366 (103),35.98770491803279 (-34.134826453214025),587 (1778),32.64906303236797 (-31.1609023558352)
Original,1024 (810),37.26904296875 (-35.51168200909896),366 (103),37.61748633879781 (-35.764607873979045),587 (1778),34.19335604770017 (-32.7051953711674)
Original,1050 (784),38.121428571428574 (-36.364067611777536),368 (101),39.04483695652174 (-37.19195849170298),587 (1778),35.737649063032364 (-34.24948838649959)
Original,1024 (810),40.78271484375 (-39.02535388409896),366 (103),40.877049180327866 (-39.0241707155091),587 (1778),37.281942078364565 (-35.793781401831794)
Original,1038 (796),42.0650289017341 (-40.307667942083064),366 (103),42.506830601092894 (-40.65395213627413),588 (1777),38.785714285714285 (-37.29755360918151)
Original,1024 (810),44.29638671875 (-42.53902575909896),366 (103),44.13661202185792 (-42.283733557039156),587 (1778),40.37052810902896 (-38.88236743249619)
Original,1073 (761),44.09179869524697 (-42.334437735595934),366 (103),45.76639344262295 (-43.913514977804184),587 (1778),41.91482112436116 (-40.42666044782839)
Original,1024 (810),47.80712890625 (-46.04976794659896),366 (103),47.39617486338798 (-45.54329639856921),587 (1778),43.459114139693355 (-41.97095346316058)
Original,1032 (802),49.19476744186046 (-47.437406482209425),368 (101),48.78125 (-46.928371535181235),587 (1778),45.003407155025556 (-43.515246478492784)
Original,1024 (810),51.32080078125 (-49.56343982159896),366 (103),50.65573770491803 (-48.80285924009927),587 (1778),46.54770017035775 (-45.05953949382498)
Original,1041 (793),52.25504322766571 (-50.49768226801467),366 (103),52.28551912568306 (-50.432640660864294),589 (1776),47.94397283531409 (-46.45581215878132)
Original,1024 (810),54.83447265625 (-53.07711169659896),366 (103),53.91530054644809 (-52.06242208162932),587 (1778),49.636286201022145 (-48.14812552448937)
Original,1041 (793),55.73342939481268 (-53.97606843516164),366 (103),55.545081967213115 (-53.69220350239435),589 (1776),51.02971137521222 (-49.54155069867945)
Original,1024 (810),58.34814453125 (-56.59078357159896),366 (103),57.17486338797814 (-55.32198492315938),587 (1778),52.72487223168654 (-51.23671155515377)
Original,1048 (786),58.76765267175573 (-57.01029171210469),368 (101),58.50679347826087 (-56.6539150134421),662 (1703),48.2416918429003 (-46.75353116636753)
Original,1066 (768),59.51969981238274 (-57.7623388527317),371 (98),59.679245283018865 (-57.8263668182001),683 (1682),48.21595900439239 (-46.72779832785962)
Original,1042 (792),62.591650671785025 (-60.83428971213399),369 (100),61.60027100271003 (-59.747392537891265),608 (1757),55.49753289473684 (-54.00937221820407)
Original,1024 (810),65.37353515625 (-63.61617419659896),366 (103),63.69398907103825 (-61.84111060621949),587 (1778),58.90204429301533 (-57.41388361648256)
Original,1059 (775),65.03635505193579 (-63.27899409228475),368 (101),65.01222826086956 (-63.1593497960508),662 (1703),53.83987915407855 (-52.35171847754578)
