Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,4744,1834,469,2365,76
Original,853 (3891; 82.0%),169 (1665; 90.8%),337 (132; 28.1%),310 (2055; 86.9%),37 (39; 51.3%)
Original,1233 (3511; 74.0%),479 (1355; 73.9%),338 (131; 27.9%),375 (1990; 84.1%),41 (35; 46.1%)
Original,1290 (3454; 72.8%),536 (1298; 70.8%),338 (131; 27.9%),375 (1990; 84.1%),41 (35; 46.1%)
Original,1456 (3288; 69.3%),689 (1145; 62.4%),340 (129; 27.5%),381 (1984; 83.9%),46 (30; 39.5%)
Original,1693 (3051; 64.3%),831 (1003; 54.7%),340 (129; 27.5%),472 (1893; 80.0%),50 (26; 34.2%)
Original,1841 (2903; 61.2%),951 (883; 48.1%),353 (116; 24.7%),487 (1878; 79.4%),50 (26; 34.2%)
Original,1850 (2894; 61.0%),960 (874; 47.7%),353 (116; 24.7%),487 (1878; 79.4%),50 (26; 34.2%)
Original,1862 (2882; 60.8%),972 (862; 47.0%),353 (116; 24.7%),487 (1878; 79.4%),50 (26; 34.2%)
Original,1863 (2881; 60.7%),973 (861; 46.9%),353 (116; 24.7%),487 (1878; 79.4%),50 (26; 34.2%)
Original,2012 (2732; 57.6%),1012 (822; 44.8%),365 (104; 22.2%),585 (1780; 75.3%),50 (26; 34.2%)
Original,2046 (2698; 56.9%),1039 (795; 43.3%),365 (104; 22.2%),592 (1773; 75.0%),50 (26; 34.2%)
Original,2012 (2732; 57.6%),1012 (822; 44.8%),365 (104; 22.2%),585 (1780; 75.3%),50 (26; 34.2%)
Original,2027 (2717; 57.3%),1024 (810; 44.2%),366 (103; 22.0%),587 (1778; 75.2%),50 (26; 34.2%)
Original,2038 (2706; 57.0%),1034 (800; 43.6%),366 (103; 22.0%),588 (1777; 75.1%),50 (26; 34.2%)
Original,2085 (2659; 56.0%),1081 (753; 41.1%),366 (103; 22.0%),588 (1777; 75.1%),50 (26; 34.2%)
Original,2100 (2644; 55.7%),1095 (739; 40.3%),366 (103; 22.0%),589 (1776; 75.1%),50 (26; 34.2%)
Original,2089 (2655; 56.0%),1085 (749; 40.8%),366 (103; 22.0%),588 (1777; 75.1%),50 (26; 34.2%)
Original,2042 (2702; 57.0%),1038 (796; 43.4%),366 (103; 22.0%),588 (1777; 75.1%),50 (26; 34.2%)
