Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,4744, ,1834, ,469, ,2365
Original,853,0.0%,169,0.0%,337,0.0%,310,0.0%
Original,1233,0.2%,479,0.4%,338,0.0%,375,0.0%
Original,1290,0.2%,536,0.4%,338,0.0%,375,0.0%
Original,1456,0.1%,689,0.1%,340,0.0%,381,0.0%
Original,1693,0.1%,831,0.1%,340,0.0%,472,0.0%
Original,1841,0.1%,951,0.1%,353,0.0%,487,0.0%
Original,1850,0.1%,960,0.1%,353,0.0%,487,0.0%
Original,1862,0.1%,972,0.1%,353,0.0%,487,0.0%
Original,1863,0.1%,973,0.1%,353,0.0%,487,0.0%
Original,2012,0.0%,1012,0.0%,365,0.0%,585,0.0%
Original,2046,0.0%,1039,0.0%,365,0.0%,592,0.0%
Original,2012,0.0%,1012,0.0%,365,0.0%,585,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2038,0.0%,1034,0.0%,366,0.0%,588,0.0%
Original,2085,0.0%,1081,0.0%,366,0.0%,588,0.0%
Original,2100,0.0%,1095,0.0%,366,0.0%,589,0.0%
Original,2089,0.0%,1085,0.0%,366,0.0%,588,0.0%
Original,2042,0.0%,1038,0.0%,366,0.0%,588,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2038,0.0%,1034,0.0%,366,0.0%,588,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2074,0.0%,1071,0.0%,366,0.0%,587,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2055,0.0%,1050,0.0%,368,0.0%,587,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2042,0.0%,1038,0.0%,366,0.0%,588,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2076,0.0%,1073,0.0%,366,0.0%,587,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2037,0.0%,1032,0.0%,368,0.0%,587,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2046,0.0%,1041,0.0%,366,0.0%,589,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2046,0.0%,1041,0.0%,366,0.0%,589,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2139,0.0%,1048,0.0%,368,0.0%,662,0.0%
Original,2181,0.0%,1066,0.0%,371,0.0%,683,0.0%
Original,2069,0.0%,1042,0.0%,369,0.0%,608,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2150,0.0%,1059,0.0%,368,0.0%,662,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2130,0.0%,1094,0.0%,373,0.0%,613,0.0%
Original,2192,0.0%,1101,0.0%,379,0.0%,661,0.0%
Original,2130,0.0%,1094,0.0%,373,0.0%,613,0.0%
Original,2172,0.0%,1134,0.0%,375,0.0%,613,0.0%
Original,2130,0.0%,1094,0.0%,373,0.0%,613,0.0%
Original,2027,0.0%,1024,0.0%,366,0.0%,587,0.0%
Original,2012,0.0%,1012,0.0%,365,0.0%,585,0.0%
Original,2124,0.0%,1036,0.0%,367,0.0%,660,0.0%
Original,2135,0.0%,1047,0.0%,367,0.0%,660,0.0%
Original,2148,0.0%,1053,0.0%,367,0.0%,667,0.0%
Original,2170,0.0%,1066,0.0%,368,0.0%,675,0.0%
Original,2190,0.0%,1071,0.0%,370,0.0%,688,0.0%
Original,2196,0.0%,1077,0.0%,370,0.0%,688,0.0%
Original,2217,0.0%,1079,0.0%,370,0.0%,707,0.0%
Original,2259,0.0%,1121,0.0%,370,0.0%,707,0.0%
Original,2269,0.0%,1131,0.0%,370,0.0%,707,0.0%
Original,2280,0.0%,1142,0.0%,370,0.0%,707,0.0%
Original,2316,0.0%,1162,0.0%,379,0.0%,714,0.0%
Original,2349,0.0%,1167,0.0%,381,0.0%,740,0.0%
Original,2354,0.0%,1172,0.0%,381,0.0%,740,0.0%
Original,2363,0.0%,1181,0.0%,381,0.0%,740,0.0%
Original,2392,0.0%,1201,0.0%,390,0.0%,740,0.0%
Original,2400,0.0%,1207,0.0%,390,0.0%,742,0.0%
Original,2411,0.0%,1218,0.0%,390,0.0%,742,0.0%
Original,2680,0.0%,1260,0.0%,410,0.0%,949,0.0%
Original,2691,0.0%,1260,0.0%,412,0.0%,957,0.0%
Original,2806,0.0%,1268,0.0%,412,0.0%,1063,0.0%
Original,2815,0.0%,1268,0.0%,421,0.0%,1063,0.0%
Original,2870,0.0%,1271,0.0%,425,0.0%,1111,0.0%
Original,2952,0.0%,1289,0.0%,433,0.0%,1167,0.0%
Original,2996,0.0%,1291,0.0%,433,0.0%,1209,0.0%
Original,3054,0.0%,1297,0.0%,433,0.0%,1260,0.0%
Original,3180,0.0%,1300,0.0%,433,0.0%,1383,0.0%
Original,3187,0.0%,1305,0.0%,435,0.0%,1383,0.0%
Original,3192,0.0%,1309,0.0%,435,0.0%,1384,0.0%
