Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
Original,16, ,8, ,19, ,0, ,0, ,6, ,24, ,0, ,0, ,3
Original,8,0.0%,7,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,5,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,11,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,5,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,11,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,5,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,5,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,18,0.0%,0,0.0%,0,0.0%,6,0.0%,10,0.0%,0,0.0%,0,0.0%,3,0.0%
Original,16,0.0%,8,0.0%,18,0.0%,0,0.0%,0,0.0%,6,0.0%,10,0.0%,0,0.0%,0,0.0%,3,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
Original,16,0.0%,8,0.0%,11,0.0%,0,0.0%,0,0.0%,5,0.0%,9,0.0%,0,0.0%,0,0.0%,1,0.0%
