Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,7 of 11,28 of 35,12 of 17
Original,5 (2),9 (19),3 (9)
Original,5 (2),17 (11),5 (7)
Original,5 (2),9 (19),3 (9)
Original,5 (2),10 (18),4 (8)
Original,5 (2),8 (20),1 (11)
Original,5 (2),9 (19),2 (10)
Original,5 (2),8 (20),1 (11)
Original,5 (2),10 (18),4 (8)
Original,5 (2),8 (20),1 (11)
Original,6 (1),15 (13),5 (7)
Original,5 (2),8 (20),1 (11)
Original,5 (2),10 (18),4 (8)
Original,5 (2),8 (20),1 (11)
Original,7 (0),14 (14),5 (7)
Original,6 (1),14 (14),5 (7)
Original,6 (1),16 (12),6 (6)
Original,6 (1),17 (11),7 (5)
Original,6 (1),16 (12),6 (6)
Original,6 (1),21 (7),6 (6)
Original,6 (1),21 (7),6 (6)
Original,6 (1),24 (4),7 (5)
Original,6 (1),24 (4),7 (5)
Original,6 (1),24 (4),8 (4)
Original,6 (1),24 (4),8 (4)
Original,6 (1),25 (3),8 (4)
Original,6 (1),25 (3),8 (4)
Original,6 (1),24 (4),7 (5)
Original,6 (1),24 (4),7 (5)
Original,6 (1),24 (4),7 (5)
Original,6 (1),24 (4),7 (5)
Original,6 (1),20 (8),7 (5)
Original,6 (1),17 (11),6 (6)
Original,6 (1),13 (15),5 (7)
Original,6 (1),13 (15),5 (7)
Original,6 (1),13 (15),5 (7)
Original,6 (1),13 (15),4 (8)
Original,6 (1),13 (15),4 (8)
Original,6 (1),13 (15),4 (8)
Original,5 (2),8 (20),1 (11)
