Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,412,1.4866504854368932,87,2.4080459770114944,31,1.967741935483871
Original,41 (371),3.2439024390243905 (-1.7572519535874973),32 (55),3.625 (-1.2169540229885056),25 (6),3.36 (-1.3922580645161289)
Original,109 (303),3.3944954128440368 (-1.9078449274071436),40 (47),5.475 (-3.0669540229885053),25 (6),5.04 (-3.072258064516129)
Original,41 (371),6.512195121951219 (-5.025544636514326),32 (55),7.25 (-4.841954022988506),25 (6),6.72 (-4.752258064516129)
Original,109 (303),5.435779816513762 (-3.9491293310768683),40 (47),8.9375 (-6.529454022988506),25 (6),8.4 (-6.432258064516129)
Original,41 (371),9.78048780487805 (-8.293837319441156),32 (55),10.875 (-8.466954022988507),25 (6),10.08 (-8.11225806451613)
Original,48 (364),10.6875 (-9.200849514563107),32 (55),12.6875 (-10.279454022988507),26 (5),11.346153846153847 (-9.378411910669975)
Original,41 (371),13.048780487804878 (-11.562130002367985),32 (55),14.5 (-12.091954022988507),25 (6),13.44 (-11.47225806451613)
Original,74 (338),8.85135135135135 (-7.3647008659144575),37 (50),15.243243243243244 (-12.835197266231749),25 (6),15.12 (-13.152258064516129)
Original,41 (371),16.29268292682927 (-14.806032441392375),32 (55),18.125 (-15.716954022988507),25 (6),16.8 (-14.832258064516129)
Original,52 (360),14.48076923076923 (-12.994118745332337),32 (55),19.9375 (-17.529454022988507),25 (6),18.48 (-16.51225806451613)
Original,41 (371),19.536585365853657 (-18.049934880416764),32 (55),21.75 (-19.341954022988507),25 (6),20.16 (-18.19225806451613)
Original,109 (303),11.146788990825687 (-9.660138505388794),40 (47),21.1 (-18.691954022988508),25 (6),21.84 (-19.872258064516128)
Original,41 (371),22.804878048780488 (-21.318227563343594),32 (55),25.375 (-22.966954022988507),25 (6),23.52 (-21.552258064516128)
Original,111 (301),10.567567567567568 (-9.080917082130675),32 (55),27.1875 (-24.779454022988507),28 (3),23.5 (-21.532258064516128)
Original,135 (277),10.344444444444445 (-8.857793959007552),32 (55),29.0 (-26.591954022988507),28 (3),25.5 (-23.532258064516128)
Original,148 (264),10.760135135135135 (-9.273484649698242),42 (45),24.904761904761905 (-22.49671592775041),28 (3),27.5 (-25.532258064516128)
Original,180 (232),10.48611111111111 (-8.999460625674217),42 (45),27.0 (-24.591954022988507),28 (3),29.5 (-27.532258064516128)
Original,190 (222),11.35 (-9.863349514563106),42 (45),29.095238095238095 (-26.6871921182266),28 (3),31.5 (-29.532258064516128)
Original,207 (205),11.86231884057971 (-10.375668355142817),42 (45),31.19047619047619 (-28.782430213464696),28 (3),33.5 (-31.532258064516128)
Original,258 (154),11.348837209302326 (-9.862186723865433),54 (33),27.51851851851852 (-25.110472541507026),28 (3),35.5 (-33.53225806451613)
Original,269 (143),12.425650557620818 (-10.939000072183925),54 (33),29.962962962962962 (-27.55491698595147),28 (3),37.5 (-35.53225806451613)
Original,277 (135),13.570397111913357 (-12.083746626476463),60 (27),29.583333333333332 (-27.17528735632184),28 (3),39.5 (-37.53225806451613)
Original,285 (127),14.692982456140351 (-13.206331970703458),69 (18),28.369565217391305 (-25.96151924037981),28 (3),41.5 (-39.53225806451613)
Original,287 (125),16.038327526132406 (-14.551677040695512),69 (18),30.73913043478261 (-28.331084457771116),28 (3),43.5 (-41.53225806451613)
Original,293 (119),17.353242320819113 (-15.86659183538222),69 (18),33.108695652173914 (-30.70064967516242),29 (2),43.98275862068966 (-42.01501668520579)
Original,349 (63),17.001432664756447 (-15.514782179319553),77 (10),33.253246753246756 (-30.845200776235263),29 (2),45.93103448275862 (-43.96329254727475)
Original,359 (53),16.856545961002787 (-15.369895475565894),82 (5),33.55487804878049 (-31.146832071768994),31 (0),45.08064516129032 (-43.11290322580645)
Original,350 (62),18.341428571428573 (-16.85477808599168),74 (13),34.108108108108105 (-31.70006213109661),31 (0),47.04838709677419 (-45.08064516129032)
Original,323 (89),19.404024767801857 (-17.917374282364964),74 (13),36.304054054054056 (-33.89600807704256),31 (0),49.016129032258064 (-47.04838709677419)
Original,312 (100),21.110576923076923 (-19.62392643764003),74 (13),38.5 (-36.0919540229885),31 (0),50.983870967741936 (-49.016129032258064)
Original,266 (146),21.42669172932331 (-19.940041243886416),62 (25),39.346774193548384 (-36.93872821653689),31 (0),52.95161290322581 (-50.983870967741936)
Original,251 (161),23.382470119521912 (-21.89581963408502),62 (25),41.25806451612903 (-38.850018539117535),31 (0),54.91935483870968 (-52.95161290322581)
Original,240 (172),25.09375 (-23.607099514563107),62 (25),43.16935483870968 (-40.76130886169818),31 (0),56.88709677419355 (-54.91935483870968)
Original,217 (195),27.640552995391705 (-26.15390250995481),45 (42),52.111111111111114 (-49.70306513409962),31 (0),58.854838709677416 (-56.887096774193544)
Original,215 (197),29.27674418604651 (-27.790093700609617),45 (42),53.955555555555556 (-51.54750957854406),31 (0),60.82258064516129 (-58.854838709677416)
Original,213 (199),31.056338028169016 (-29.569687542732122),45 (42),55.8 (-53.3919540229885),31 (0),62.79032258064516 (-60.82258064516129)
Original,207 (205),31.852657004830917 (-30.366006519394023),45 (42),57.644444444444446 (-55.23639846743295),30 (1),66.66666666666667 (-64.6989247311828)
Original,148 (264),36.733108108108105 (-35.246457622671215),37 (50),62.013513513513516 (-59.60546753650202),30 (1),68.68333333333334 (-66.71559139784947)
Original,41 (371),64.8048780487805 (-63.318227563343605),32 (55),72.5 (-70.0919540229885),25 (6),67.2 (-65.23225806451613)
