Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,533,412,87,31,3
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,175 (358; 67.2%),109 (303; 73.5%),40 (47; 54.0%),25 (6; 19.4%),1 (2; 66.7%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,175 (358; 67.2%),109 (303; 73.5%),40 (47; 54.0%),25 (6; 19.4%),1 (2; 66.7%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,108 (425; 79.7%),48 (364; 88.3%),32 (55; 63.2%),26 (5; 16.1%),2 (1; 33.3%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,138 (395; 74.1%),74 (338; 82.0%),37 (50; 57.5%),25 (6; 19.4%),2 (1; 33.3%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,110 (423; 79.4%),52 (360; 87.4%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,175 (358; 67.2%),109 (303; 73.5%),40 (47; 54.0%),25 (6; 19.4%),1 (2; 66.7%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
Original,172 (361; 67.7%),111 (301; 73.1%),32 (55; 63.2%),28 (3; 9.7%),1 (2; 66.7%)
Original,196 (337; 63.2%),135 (277; 67.2%),32 (55; 63.2%),28 (3; 9.7%),1 (2; 66.7%)
Original,219 (314; 58.9%),148 (264; 64.1%),42 (45; 51.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,251 (282; 52.9%),180 (232; 56.3%),42 (45; 51.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,261 (272; 51.0%),190 (222; 53.9%),42 (45; 51.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,278 (255; 47.8%),207 (205; 49.8%),42 (45; 51.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,341 (192; 36.0%),258 (154; 37.4%),54 (33; 37.9%),28 (3; 9.7%),1 (2; 66.7%)
Original,352 (181; 34.0%),269 (143; 34.7%),54 (33; 37.9%),28 (3; 9.7%),1 (2; 66.7%)
Original,366 (167; 31.3%),277 (135; 32.8%),60 (27; 31.0%),28 (3; 9.7%),1 (2; 66.7%)
Original,383 (150; 28.1%),285 (127; 30.8%),69 (18; 20.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,385 (148; 27.8%),287 (125; 30.3%),69 (18; 20.7%),28 (3; 9.7%),1 (2; 66.7%)
Original,393 (140; 26.3%),293 (119; 28.9%),69 (18; 20.7%),29 (2; 6.5%),2 (1; 33.3%)
Original,457 (76; 14.3%),349 (63; 15.3%),77 (10; 11.5%),29 (2; 6.5%),2 (1; 33.3%)
Original,474 (59; 11.1%),359 (53; 12.9%),82 (5; 5.7%),31 (0; 0.0%),2 (1; 33.3%)
Original,457 (76; 14.3%),350 (62; 15.0%),74 (13; 14.9%),31 (0; 0.0%),2 (1; 33.3%)
Original,430 (103; 19.3%),323 (89; 21.6%),74 (13; 14.9%),31 (0; 0.0%),2 (1; 33.3%)
Original,419 (114; 21.4%),312 (100; 24.3%),74 (13; 14.9%),31 (0; 0.0%),2 (1; 33.3%)
Original,361 (172; 32.3%),266 (146; 35.4%),62 (25; 28.7%),31 (0; 0.0%),2 (1; 33.3%)
Original,346 (187; 35.1%),251 (161; 39.1%),62 (25; 28.7%),31 (0; 0.0%),2 (1; 33.3%)
Original,335 (198; 37.1%),240 (172; 41.7%),62 (25; 28.7%),31 (0; 0.0%),2 (1; 33.3%)
Original,295 (238; 44.7%),217 (195; 47.3%),45 (42; 48.3%),31 (0; 0.0%),2 (1; 33.3%)
Original,293 (240; 45.0%),215 (197; 47.8%),45 (42; 48.3%),31 (0; 0.0%),2 (1; 33.3%)
Original,291 (242; 45.4%),213 (199; 48.3%),45 (42; 48.3%),31 (0; 0.0%),2 (1; 33.3%)
Original,283 (250; 46.9%),207 (205; 49.8%),45 (42; 48.3%),30 (1; 3.2%),1 (2; 66.7%)
Original,216 (317; 59.5%),148 (264; 64.1%),37 (50; 57.5%),30 (1; 3.2%),1 (2; 66.7%)
Original,99 (434; 81.4%),41 (371; 90.0%),32 (55; 63.2%),25 (6; 19.4%),1 (2; 66.7%)
