Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,533, ,412, ,87, ,31
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,175,0.0%,109,0.0%,40,0.0%,25,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,175,0.0%,109,0.0%,40,0.0%,25,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,108,0.0%,48,0.0%,32,0.0%,26,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,138,0.0%,74,0.0%,37,0.0%,25,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,110,0.0%,52,0.0%,32,0.0%,25,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,175,0.0%,109,0.0%,40,0.0%,25,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
Original,172,0.0%,111,0.0%,32,0.0%,28,0.0%
Original,196,0.0%,135,0.0%,32,0.0%,28,0.0%
Original,219,0.0%,148,0.0%,42,0.0%,28,0.0%
Original,251,0.0%,180,0.0%,42,0.0%,28,0.0%
Original,261,0.0%,190,0.0%,42,0.0%,28,0.0%
Original,278,0.0%,207,0.0%,42,0.0%,28,0.0%
Original,341,0.0%,258,0.0%,54,0.0%,28,0.0%
Original,352,0.0%,269,0.0%,54,0.0%,28,0.0%
Original,366,0.0%,277,0.0%,60,0.0%,28,0.0%
Original,383,0.0%,285,0.0%,69,0.0%,28,0.0%
Original,385,0.0%,287,0.0%,69,0.0%,28,0.0%
Original,393,0.0%,293,0.0%,69,0.0%,29,0.0%
Original,457,0.0%,349,0.0%,77,0.0%,29,0.0%
Original,474,0.0%,359,0.0%,82,0.0%,31,0.0%
Original,457,0.0%,350,0.0%,74,0.0%,31,0.0%
Original,430,0.2%,323,0.3%,74,0.0%,31,0.0%
Original,419,0.0%,312,0.0%,74,0.0%,31,0.0%
Original,361,0.0%,266,0.0%,62,0.0%,31,0.0%
Original,346,0.0%,251,0.0%,62,0.0%,31,0.0%
Original,335,0.0%,240,0.0%,62,0.0%,31,0.0%
Original,295,0.0%,217,0.0%,45,0.0%,31,0.0%
Original,293,0.0%,215,0.0%,45,0.0%,31,0.0%
Original,291,0.0%,213,0.0%,45,0.0%,31,0.0%
Original,283,0.0%,207,0.0%,45,0.0%,30,0.0%
Original,216,0.0%,148,0.0%,37,0.0%,30,0.0%
Original,99,0.0%,41,0.0%,32,0.0%,25,0.0%
