Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,10 of 11,34 of 35,17 of 17
Original,9 (1),22 (12),11 (6)
Original,9 (1),22 (12),11 (6)
Original,9 (1),22 (12),11 (6)
Original,8 (2),22 (12),10 (7)
Original,8 (2),21 (13),9 (8)
Original,8 (2),21 (13),8 (9)
Original,8 (2),21 (13),8 (9)
Original,7 (3),20 (14),8 (9)
Original,8 (2),23 (11),10 (7)
Original,8 (2),24 (10),11 (6)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,9 (1),24 (10),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),23 (11),10 (7)
Original,8 (2),24 (10),10 (7)
Original,8 (2),25 (9),11 (6)
Original,8 (2),25 (9),11 (6)
Original,8 (2),25 (9),11 (6)
Original,8 (2),24 (10),10 (7)
Original,8 (2),24 (10),10 (7)
Original,8 (2),24 (10),10 (7)
Original,8 (2),26 (8),11 (6)
Original,8 (2),26 (8),11 (6)
Original,8 (2),26 (8),11 (6)
Original,8 (2),26 (8),11 (6)
Original,8 (2),26 (8),11 (6)
Original,9 (1),28 (6),12 (5)
Original,9 (1),28 (6),12 (5)
Original,10 (0),29 (5),12 (5)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,10 (0),31 (3),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),13 (4)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),30 (4),13 (4)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),12 (5)
Original,9 (1),29 (5),13 (4)
Original,9 (1),29 (5),13 (4)
Original,9 (1),29 (5),13 (4)
Original,9 (1),31 (3),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,10 (0),31 (3),13 (4)
Original,10 (0),31 (3),13 (4)
Original,10 (0),31 (3),13 (4)
Original,10 (0),31 (3),14 (3)
Original,9 (1),30 (4),14 (3)
Original,9 (1),30 (4),14 (3)
Original,9 (1),30 (4),13 (4)
Original,9 (1),31 (3),14 (3)
Original,9 (1),31 (3),14 (3)
Original,9 (1),31 (3),14 (3)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,10 (0),31 (3),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,9 (1),30 (4),13 (4)
Original,10 (0),31 (3),13 (4)
Original,10 (0),33 (1),15 (2)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),34 (0),17 (0)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),17 (0)
Original,10 (0),33 (1),17 (0)
Original,10 (0),33 (1),17 (0)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
Original,10 (0),33 (1),16 (1)
