Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,6060,1.645957095709571,1820,1.870879120879121,5196,1.4750769822940724
Original,329 (5731),2.2188449848024314 (-0.5728878890928604),1167 (653),3.2964867180805486 (-1.4256075972014277),979 (4217),3.1726251276813073 (-1.697548145387235)
Original,379 (5681),3.2493403693931397 (-1.6033832736835687),1169 (651),4.93798118049615 (-3.0671020596170293),996 (4200),4.698293172690763 (-3.2232161903966903)
Original,382 (5678),4.407068062827225 (-2.761110967117654),1171 (649),6.576430401366354 (-4.705551280487233),1002 (4194),6.256986027944111 (-4.781909045650039)
Original,422 (5638),5.260663507109005 (-3.6147064113994336),1177 (643),8.225573491928632 (-6.354694371049511),1002 (4194),7.830838323353293 (-6.355761341059221)
Original,430 (5630),6.3930232558139535 (-4.747066160104382),1186 (634),9.870151770657673 (-7.999272649778552),1010 (4186),9.347029702970296 (-7.871952720676224)
Original,447 (5613),7.378076062639821 (-5.73211896693025),1186 (634),11.547639123102867 (-9.676760002223746),1030 (4166),10.739320388349515 (-9.264243406055442)
Original,475 (5585),8.3 (-6.65404290429043),1186 (634),13.22512647554806 (-11.35424735466894),1044 (4152),12.168582375478927 (-10.693505393184854)
Original,523 (5537),8.946462715105163 (-7.300505619395592),1186 (634),14.902613827993255 (-13.031734707114135),1045 (4151),13.712918660287082 (-12.23784167799301)
Original,559 (5501),9.713774597495528 (-8.067817501785957),1190 (630),16.527731092436976 (-14.656851971557856),1050 (4146),15.205238095238096 (-13.730161112944025)
Original,594 (5466),10.51936026936027 (-8.873403173650699),1190 (630),18.20126050420168 (-16.33038138332256),1050 (4146),16.75761904761905 (-15.282542065324975)
Original,607 (5453),11.608731466227347 (-9.962774370517776),1190 (630),19.874789915966385 (-18.003910795087265),1051 (4145),18.294481446241676 (-16.819404463947603)
Original,618 (5442),12.699838187702266 (-11.053881091992695),1190 (630),21.548319327731093 (-19.677440206851973),1051 (4145),19.846336822074214 (-18.37125983978014)
Original,621 (5439),13.932367149758454 (-12.286410054048883),1190 (630),23.221848739495798 (-21.350969618616677),1051 (4145),21.398192197906756 (-19.923115215612683)
Original,627 (5433),15.107655502392344 (-13.461698406682773),1195 (625),24.80794979079498 (-22.937070669915858),1051 (4145),22.950047573739297 (-21.474970591445224)
Original,636 (5424),16.22248427672956 (-14.576527181019989),1205 (615),26.280497925311202 (-24.409618804432082),1072 (4124),24.05643656716418 (-22.581359584870107)
Original,660 (5400),16.98409090909091 (-15.338133813381338),1207 (613),27.903893951946976 (-26.033014831067856),1085 (4111),25.31336405529954 (-23.838287073005468)
Original,686 (5374),17.62536443148688 (-15.979407335777308),1207 (613),29.570836785418393 (-27.699957664539273),1092 (4104),26.69322344322344 (-25.21814646092937)
Original,694 (5366),18.731268011527376 (-17.085310915817807),1208 (612),31.211920529801326 (-29.341041408922205),1094 (4102),28.177787934186473 (-26.7027109518924)
Original,698 (5362),19.92048710601719 (-18.274530010307622),1213 (607),32.74361088211047 (-30.872731761231346),1095 (4101),29.684018264840184 (-28.20894128254611)
Original,706 (5354),20.98441926345609 (-19.33846216774652),1213 (607),34.40313272877164 (-32.532253607892514),1095 (4101),31.21598173515982 (-29.740904752865745)
Original,719 (5341),21.908901251738527 (-20.262944156028958),1218 (602),35.939244663382595 (-34.06836554250347),1095 (4101),32.74794520547945 (-31.27286822318538)
Original,748 (5312),22.420454545454547 (-20.774497449744977),1218 (602),37.60426929392447 (-35.73339017304534),1102 (4094),34.07395644283122 (-32.59887946053715)
Original,798 (5262),22.505012531328322 (-20.85905543561875),1218 (602),39.26929392446634 (-37.398414803587215),1102 (4094),35.60208711433757 (-34.1270101320435)
Original,801 (5259),23.775280898876403 (-22.129323803166834),1219 (601),40.905660377358494 (-39.03478125647937),1116 (4080),36.689516129032256 (-35.21443914673819)
Original,804 (5256),25.059701492537314 (-23.413744396827745),1219 (601),42.57178014766202 (-40.700901026782894),1129 (4067),37.79495128432241 (-36.31987430202834)
Original,807 (5253),26.337050805452293 (-24.691093709742724),1219 (601),44.23789991796554 (-42.36702079708642),1129 (4067),39.312223206377325 (-37.837146224083256)
Original,828 (5232),27.06159420289855 (-25.415637107188978),1222 (598),45.814238952536826 (-43.9433598316577),1134 (4062),40.65917107583774 (-39.18409409354367)
Original,837 (5223),28.147550776583035 (-26.501593680873462),1222 (598),47.48772504091653 (-45.616845920037406),1141 (4055),41.94741454864154 (-40.47233756634747)
Original,861 (5199),28.76596980255517 (-27.1200127068456),1240 (580),48.48306451612903 (-46.61218539524991),1142 (4054),43.43957968476357 (-41.9645027024695)
Original,890 (5170),29.212359550561796 (-27.566402454852224),1241 (579),50.1116035455278 (-48.240724424648675),1172 (4024),43.92320819112628 (-42.44813120883221)
Original,899 (5161),30.278642936596217 (-28.632685840886644),1241 (579),51.77921031426269 (-49.90833119338357),1189 (4007),44.844407064760304 (-43.369330082466234)
Original,939 (5121),30.41160809371672 (-28.765650998007146),1244 (576),53.33561093247589 (-51.464731811596764),1197 (3999),46.081453634085214 (-44.606376651791145)
Original,939 (5121),31.771033013844516 (-30.125075918134947),1244 (576),55.008038585209 (-53.137159464329876),1201 (3995),47.460865945045796 (-45.98578896275173)
Original,948 (5112),32.83227848101266 (-31.18632138530309),1249 (571),56.47758206565252 (-54.606702944773396),1205 (3991),48.838589211618256 (-47.363512229324186)
Original,960 (5100),33.78125 (-32.13529290429043),1249 (571),58.15532425940753 (-56.284445138528405),1206 (3990),50.3304311774461 (-48.85535419515203)
Original,966 (5094),34.94151138716356 (-33.29555429145399),1251 (569),59.7501998401279 (-57.879320719248774),1206 (3990),51.86235489220564 (-50.38727790991157)
Original,994 (5066),35.38732394366197 (-33.7413668479524),1263 (557),60.909738717339664 (-59.03885959646054),1206 (3990),53.39427860696517 (-51.9192016246711)
Original,1051 (5009),34.89724072312084 (-33.25128362741127),1263 (557),62.60807600950119 (-60.737196888622066),1227 (3969),53.97718011409943 (-52.50210313180536)
Original,1055 (5005),36.135545023696686 (-34.48958792798712),1263 (557),64.3064133016627 (-62.43553418078358),1234 (3962),55.189222042139384 (-53.714145059845315)
