Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,13228,6060,1820,5196,152
Original,2539 (10689; 80.8%),329 (5731; 94.6%),1167 (653; 35.9%),979 (4217; 81.2%),64 (88; 57.9%)
Original,2608 (10620; 80.3%),379 (5681; 93.7%),1169 (651; 35.8%),996 (4200; 80.8%),64 (88; 57.9%)
Original,2619 (10609; 80.2%),382 (5678; 93.7%),1171 (649; 35.7%),1002 (4194; 80.7%),64 (88; 57.9%)
Original,2665 (10563; 79.9%),422 (5638; 93.0%),1177 (643; 35.3%),1002 (4194; 80.7%),64 (88; 57.9%)
Original,2697 (10531; 79.6%),430 (5630; 92.9%),1186 (634; 34.8%),1010 (4186; 80.6%),71 (81; 53.3%)
Original,2734 (10494; 79.3%),447 (5613; 92.6%),1186 (634; 34.8%),1030 (4166; 80.2%),71 (81; 53.3%)
Original,2776 (10452; 79.0%),475 (5585; 92.2%),1186 (634; 34.8%),1044 (4152; 79.9%),71 (81; 53.3%)
Original,2825 (10403; 78.6%),523 (5537; 91.4%),1186 (634; 34.8%),1045 (4151; 79.9%),71 (81; 53.3%)
Original,2870 (10358; 78.3%),559 (5501; 90.8%),1190 (630; 34.6%),1050 (4146; 79.8%),71 (81; 53.3%)
Original,2905 (10323; 78.0%),594 (5466; 90.2%),1190 (630; 34.6%),1050 (4146; 79.8%),71 (81; 53.3%)
Original,2919 (10309; 77.9%),607 (5453; 90.0%),1190 (630; 34.6%),1051 (4145; 79.8%),71 (81; 53.3%)
Original,2930 (10298; 77.9%),618 (5442; 89.8%),1190 (630; 34.6%),1051 (4145; 79.8%),71 (81; 53.3%)
Original,2933 (10295; 77.8%),621 (5439; 89.8%),1190 (630; 34.6%),1051 (4145; 79.8%),71 (81; 53.3%)
Original,2944 (10284; 77.7%),627 (5433; 89.7%),1195 (625; 34.3%),1051 (4145; 79.8%),71 (81; 53.3%)
Original,2985 (10243; 77.4%),636 (5424; 89.5%),1205 (615; 33.8%),1072 (4124; 79.4%),72 (80; 52.6%)
Original,3024 (10204; 77.1%),660 (5400; 89.1%),1207 (613; 33.7%),1085 (4111; 79.1%),72 (80; 52.6%)
Original,3057 (10171; 76.9%),686 (5374; 88.7%),1207 (613; 33.7%),1092 (4104; 79.0%),72 (80; 52.6%)
Original,3068 (10160; 76.8%),694 (5366; 88.5%),1208 (612; 33.6%),1094 (4102; 78.9%),72 (80; 52.6%)
Original,3078 (10150; 76.7%),698 (5362; 88.5%),1213 (607; 33.4%),1095 (4101; 78.9%),72 (80; 52.6%)
Original,3086 (10142; 76.7%),706 (5354; 88.3%),1213 (607; 33.4%),1095 (4101; 78.9%),72 (80; 52.6%)
Original,3104 (10124; 76.5%),719 (5341; 88.1%),1218 (602; 33.1%),1095 (4101; 78.9%),72 (80; 52.6%)
Original,3140 (10088; 76.3%),748 (5312; 87.7%),1218 (602; 33.1%),1102 (4094; 78.8%),72 (80; 52.6%)
Original,3190 (10038; 75.9%),798 (5262; 86.8%),1218 (602; 33.1%),1102 (4094; 78.8%),72 (80; 52.6%)
Original,3208 (10020; 75.7%),801 (5259; 86.8%),1219 (601; 33.0%),1116 (4080; 78.5%),72 (80; 52.6%)
Original,3224 (10004; 75.6%),804 (5256; 86.7%),1219 (601; 33.0%),1129 (4067; 78.3%),72 (80; 52.6%)
Original,3227 (10001; 75.6%),807 (5253; 86.7%),1219 (601; 33.0%),1129 (4067; 78.3%),72 (80; 52.6%)
Original,3256 (9972; 75.4%),828 (5232; 86.3%),1222 (598; 32.9%),1134 (4062; 78.2%),72 (80; 52.6%)
Original,3272 (9956; 75.3%),837 (5223; 86.2%),1222 (598; 32.9%),1141 (4055; 78.0%),72 (80; 52.6%)
Original,3315 (9913; 74.9%),861 (5199; 85.8%),1240 (580; 31.9%),1142 (4054; 78.0%),72 (80; 52.6%)
Original,3375 (9853; 74.5%),890 (5170; 85.3%),1241 (579; 31.8%),1172 (4024; 77.4%),72 (80; 52.6%)
Original,3401 (9827; 74.3%),899 (5161; 85.2%),1241 (579; 31.8%),1189 (4007; 77.1%),72 (80; 52.6%)
Original,3452 (9776; 73.9%),939 (5121; 84.5%),1244 (576; 31.6%),1197 (3999; 77.0%),72 (80; 52.6%)
Original,3456 (9772; 73.9%),939 (5121; 84.5%),1244 (576; 31.6%),1201 (3995; 76.9%),72 (80; 52.6%)
Original,3474 (9754; 73.7%),948 (5112; 84.4%),1249 (571; 31.4%),1205 (3991; 76.8%),72 (80; 52.6%)
Original,3487 (9741; 73.6%),960 (5100; 84.2%),1249 (571; 31.4%),1206 (3990; 76.8%),72 (80; 52.6%)
Original,3495 (9733; 73.6%),966 (5094; 84.1%),1251 (569; 31.3%),1206 (3990; 76.8%),72 (80; 52.6%)
Original,3535 (9693; 73.3%),994 (5066; 83.6%),1263 (557; 30.6%),1206 (3990; 76.8%),72 (80; 52.6%)
Original,3613 (9615; 72.7%),1051 (5009; 82.7%),1263 (557; 30.6%),1227 (3969; 76.4%),72 (80; 52.6%)
Original,3624 (9604; 72.6%),1055 (5005; 82.6%),1263 (557; 30.6%),1234 (3962; 76.3%),72 (80; 52.6%)
Original,3740 (9488; 71.7%),1055 (5005; 82.6%),1263 (557; 30.6%),1348 (3848; 74.1%),74 (78; 51.3%)
Original,3772 (9456; 71.5%),1065 (4995; 82.4%),1267 (553; 30.4%),1366 (3830; 73.7%),74 (78; 51.3%)
Original,3802 (9426; 71.3%),1084 (4976; 82.1%),1267 (553; 30.4%),1377 (3819; 73.5%),74 (78; 51.3%)
Original,3808 (9420; 71.2%),1090 (4970; 82.0%),1267 (553; 30.4%),1377 (3819; 73.5%),74 (78; 51.3%)
Original,3837 (9391; 71.0%),1111 (4949; 81.7%),1267 (553; 30.4%),1385 (3811; 73.3%),74 (78; 51.3%)
Original,3850 (9378; 70.9%),1124 (4936; 81.5%),1267 (553; 30.4%),1385 (3811; 73.3%),74 (78; 51.3%)
Original,3900 (9328; 70.5%),1169 (4891; 80.7%),1269 (551; 30.3%),1388 (3808; 73.3%),74 (78; 51.3%)
Original,3954 (9274; 70.1%),1212 (4848; 80.0%),1269 (551; 30.3%),1399 (3797; 73.1%),74 (78; 51.3%)
Original,3971 (9257; 70.0%),1226 (4834; 79.8%),1269 (551; 30.3%),1400 (3796; 73.1%),76 (76; 50.0%)
Original,3980 (9248; 69.9%),1231 (4829; 79.7%),1273 (547; 30.1%),1400 (3796; 73.1%),76 (76; 50.0%)
Original,3996 (9232; 69.8%),1239 (4821; 79.6%),1273 (547; 30.1%),1408 (3788; 72.9%),76 (76; 50.0%)
Original,4028 (9200; 69.5%),1263 (4797; 79.2%),1273 (547; 30.1%),1416 (3780; 72.7%),76 (76; 50.0%)
Original,4039 (9189; 69.5%),1268 (4792; 79.1%),1275 (545; 29.9%),1419 (3777; 72.7%),77 (75; 49.3%)
Original,4060 (9168; 69.3%),1282 (4778; 78.8%),1275 (545; 29.9%),1426 (3770; 72.6%),77 (75; 49.3%)
Original,4141 (9087; 68.7%),1327 (4733; 78.1%),1281 (539; 29.6%),1456 (3740; 72.0%),77 (75; 49.3%)
Original,4158 (9070; 68.6%),1331 (4729; 78.0%),1282 (538; 29.6%),1468 (3728; 71.7%),77 (75; 49.3%)
Original,4213 (9015; 68.2%),1374 (4686; 77.3%),1282 (538; 29.6%),1480 (3716; 71.5%),77 (75; 49.3%)
Original,4341 (8887; 67.2%),1458 (4602; 75.9%),1288 (532; 29.2%),1518 (3678; 70.8%),77 (75; 49.3%)
Original,4364 (8864; 67.0%),1481 (4579; 75.6%),1288 (532; 29.2%),1518 (3678; 70.8%),77 (75; 49.3%)
Original,4377 (8851; 66.9%),1487 (4573; 75.5%),1295 (525; 28.8%),1518 (3678; 70.8%),77 (75; 49.3%)
Original,4408 (8820; 66.7%),1506 (4554; 75.1%),1306 (514; 28.2%),1518 (3678; 70.8%),78 (74; 48.7%)
Original,4439 (8789; 66.4%),1521 (4539; 74.9%),1306 (514; 28.2%),1533 (3663; 70.5%),79 (73; 48.0%)
Original,4463 (8765; 66.3%),1525 (4535; 74.8%),1308 (512; 28.1%),1550 (3646; 70.2%),80 (72; 47.4%)
Original,4479 (8749; 66.1%),1536 (4524; 74.7%),1313 (507; 27.9%),1550 (3646; 70.2%),80 (72; 47.4%)
Original,4523 (8705; 65.8%),1575 (4485; 74.0%),1314 (506; 27.8%),1554 (3642; 70.1%),80 (72; 47.4%)
Original,4612 (8616; 65.1%),1635 (4425; 73.0%),1321 (499; 27.4%),1576 (3620; 69.7%),80 (72; 47.4%)
Original,4619 (8609; 65.1%),1642 (4418; 72.9%),1321 (499; 27.4%),1576 (3620; 69.7%),80 (72; 47.4%)
Original,4728 (8500; 64.3%),1677 (4383; 72.3%),1326 (494; 27.1%),1644 (3552; 68.4%),81 (71; 46.7%)
Original,4784 (8444; 63.8%),1715 (4345; 71.7%),1326 (494; 27.1%),1662 (3534; 68.0%),81 (71; 46.7%)
Original,4797 (8431; 63.7%),1718 (4342; 71.7%),1326 (494; 27.1%),1672 (3524; 67.8%),81 (71; 46.7%)
Original,4812 (8416; 63.6%),1725 (4335; 71.5%),1326 (494; 27.1%),1680 (3516; 67.7%),81 (71; 46.7%)
Original,4832 (8396; 63.5%),1735 (4325; 71.4%),1329 (491; 27.0%),1687 (3509; 67.5%),81 (71; 46.7%)
Original,4842 (8386; 63.4%),1744 (4316; 71.2%),1330 (490; 26.9%),1687 (3509; 67.5%),81 (71; 46.7%)
Original,4860 (8368; 63.3%),1747 (4313; 71.2%),1330 (490; 26.9%),1702 (3494; 67.2%),81 (71; 46.7%)
Original,4894 (8334; 63.0%),1765 (4295; 70.9%),1340 (480; 26.4%),1706 (3490; 67.2%),83 (69; 45.4%)
Original,4926 (8302; 62.8%),1781 (4279; 70.6%),1340 (480; 26.4%),1722 (3474; 66.9%),83 (69; 45.4%)
Original,4946 (8282; 62.6%),1794 (4266; 70.4%),1341 (479; 26.3%),1728 (3468; 66.7%),83 (69; 45.4%)
Original,4975 (8253; 62.4%),1805 (4255; 70.2%),1347 (473; 26.0%),1740 (3456; 66.5%),83 (69; 45.4%)
Original,5013 (8215; 62.1%),1816 (4244; 70.0%),1347 (473; 26.0%),1767 (3429; 66.0%),83 (69; 45.4%)
Original,5044 (8184; 61.9%),1844 (4216; 69.6%),1347 (473; 26.0%),1770 (3426; 65.9%),83 (69; 45.4%)
Original,5069 (8159; 61.7%),1861 (4199; 69.3%),1347 (473; 26.0%),1777 (3419; 65.8%),84 (68; 44.7%)
Original,5117 (8111; 61.3%),1898 (4162; 68.7%),1351 (469; 25.8%),1784 (3412; 65.7%),84 (68; 44.7%)
Original,5147 (8081; 61.1%),1926 (4134; 68.2%),1351 (469; 25.8%),1786 (3410; 65.6%),84 (68; 44.7%)
Original,5169 (8059; 60.9%),1940 (4120; 68.0%),1351 (469; 25.8%),1794 (3402; 65.5%),84 (68; 44.7%)
Original,5204 (8024; 60.7%),1959 (4101; 67.7%),1358 (462; 25.4%),1803 (3393; 65.3%),84 (68; 44.7%)
Original,5228 (8000; 60.5%),1983 (4077; 67.3%),1358 (462; 25.4%),1803 (3393; 65.3%),84 (68; 44.7%)
Original,5246 (7982; 60.3%),1995 (4065; 67.1%),1358 (462; 25.4%),1809 (3387; 65.2%),84 (68; 44.7%)
Original,5265 (7963; 60.2%),2003 (4057; 66.9%),1365 (455; 25.0%),1813 (3383; 65.1%),84 (68; 44.7%)
Original,5298 (7930; 59.9%),2025 (4035; 66.6%),1365 (455; 25.0%),1824 (3372; 64.9%),84 (68; 44.7%)
Original,5385 (7843; 59.3%),2095 (3965; 65.4%),1365 (455; 25.0%),1841 (3355; 64.6%),84 (68; 44.7%)
Original,5477 (7751; 58.6%),2152 (3908; 64.5%),1375 (445; 24.5%),1865 (3331; 64.1%),85 (67; 44.1%)
Original,5493 (7735; 58.5%),2161 (3899; 64.3%),1375 (445; 24.5%),1869 (3327; 64.0%),88 (64; 42.1%)
Original,5500 (7728; 58.4%),2168 (3892; 64.2%),1375 (445; 24.5%),1869 (3327; 64.0%),88 (64; 42.1%)
Original,5532 (7696; 58.2%),2187 (3873; 63.9%),1375 (445; 24.5%),1882 (3314; 63.8%),88 (64; 42.1%)
Original,5576 (7652; 57.8%),2224 (3836; 63.3%),1375 (445; 24.5%),1889 (3307; 63.6%),88 (64; 42.1%)
Original,5640 (7588; 57.4%),2273 (3787; 62.5%),1388 (432; 23.7%),1891 (3305; 63.6%),88 (64; 42.1%)
Original,5688 (7540; 57.0%),2312 (3748; 61.8%),1388 (432; 23.7%),1900 (3296; 63.4%),88 (64; 42.1%)
Original,6115 (7113; 53.8%),2553 (3507; 57.9%),1432 (388; 21.3%),2042 (3154; 60.7%),88 (64; 42.1%)
Original,6953 (6275; 47.4%),2731 (3329; 54.9%),1455 (365; 20.1%),2660 (2536; 48.8%),107 (45; 29.6%)
Original,6965 (6263; 47.3%),2743 (3317; 54.7%),1455 (365; 20.1%),2660 (2536; 48.8%),107 (45; 29.6%)
Original,6966 (6262; 47.3%),2743 (3317; 54.7%),1455 (365; 20.1%),2661 (2535; 48.8%),107 (45; 29.6%)
Original,6999 (6229; 47.1%),2766 (3294; 54.4%),1455 (365; 20.1%),2671 (2525; 48.6%),107 (45; 29.6%)
Original,7034 (6194; 46.8%),2780 (3280; 54.1%),1461 (359; 19.7%),2686 (2510; 48.3%),107 (45; 29.6%)
Original,7038 (6190; 46.8%),2784 (3276; 54.1%),1461 (359; 19.7%),2686 (2510; 48.3%),107 (45; 29.6%)
Original,7051 (6177; 46.7%),2788 (3272; 54.0%),1461 (359; 19.7%),2695 (2501; 48.1%),107 (45; 29.6%)
Original,7059 (6169; 46.6%),2796 (3264; 53.9%),1461 (359; 19.7%),2695 (2501; 48.1%),107 (45; 29.6%)
Original,7069 (6159; 46.6%),2806 (3254; 53.7%),1461 (359; 19.7%),2695 (2501; 48.1%),107 (45; 29.6%)
Original,7071 (6157; 46.5%),2808 (3252; 53.7%),1461 (359; 19.7%),2695 (2501; 48.1%),107 (45; 29.6%)
Original,7078 (6150; 46.5%),2808 (3252; 53.7%),1461 (359; 19.7%),2702 (2494; 48.0%),107 (45; 29.6%)
Original,7325 (5903; 44.6%),2995 (3065; 50.6%),1463 (357; 19.6%),2759 (2437; 46.9%),108 (44; 28.9%)
Original,7351 (5877; 44.4%),3002 (3058; 50.5%),1464 (356; 19.6%),2773 (2423; 46.6%),112 (40; 26.3%)
Original,7366 (5862; 44.3%),3008 (3052; 50.4%),1465 (355; 19.5%),2781 (2415; 46.5%),112 (40; 26.3%)
Original,7462 (5766; 43.6%),3033 (3027; 50.0%),1512 (308; 16.9%),2805 (2391; 46.0%),112 (40; 26.3%)
Original,7500 (5728; 43.3%),3057 (3003; 49.6%),1514 (306; 16.8%),2817 (2379; 45.8%),112 (40; 26.3%)
Original,7628 (5600; 42.3%),3135 (2925; 48.3%),1531 (289; 15.9%),2849 (2347; 45.2%),113 (39; 25.7%)
Original,7701 (5527; 41.8%),3198 (2862; 47.2%),1536 (284; 15.6%),2854 (2342; 45.1%),113 (39; 25.7%)
Original,7716 (5512; 41.7%),3204 (2856; 47.1%),1536 (284; 15.6%),2863 (2333; 44.9%),113 (39; 25.7%)
Original,7776 (5452; 41.2%),3215 (2845; 46.9%),1536 (284; 15.6%),2912 (2284; 44.0%),113 (39; 25.7%)
Original,7781 (5447; 41.2%),3220 (2840; 46.9%),1536 (284; 15.6%),2912 (2284; 44.0%),113 (39; 25.7%)
Original,7818 (5410; 40.9%),3242 (2818; 46.5%),1542 (278; 15.3%),2921 (2275; 43.8%),113 (39; 25.7%)
Original,7836 (5392; 40.8%),3256 (2804; 46.3%),1542 (278; 15.3%),2925 (2271; 43.7%),113 (39; 25.7%)
Original,7878 (5350; 40.4%),3270 (2790; 46.0%),1543 (277; 15.2%),2952 (2244; 43.2%),113 (39; 25.7%)
Original,7900 (5328; 40.3%),3288 (2772; 45.7%),1543 (277; 15.2%),2956 (2240; 43.1%),113 (39; 25.7%)
Original,7922 (5306; 40.1%),3307 (2753; 45.4%),1543 (277; 15.2%),2959 (2237; 43.1%),113 (39; 25.7%)
