Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,13228, ,6060, ,1820, ,5196
Original,2539,0.0%,329,0.0%,1167,0.0%,979,0.0%
Original,2608,0.0%,379,0.0%,1169,0.0%,996,0.0%
Original,2619,0.0%,382,0.0%,1171,0.0%,1002,0.0%
Original,2665,0.0%,422,0.0%,1177,0.0%,1002,0.0%
Original,2697,0.0%,430,0.0%,1186,0.0%,1010,0.0%
Original,2734,0.0%,447,0.0%,1186,0.0%,1030,0.0%
Original,2776,0.0%,475,0.0%,1186,0.0%,1044,0.0%
Original,2825,0.0%,523,0.0%,1186,0.0%,1045,0.0%
Original,2870,0.0%,559,0.0%,1190,0.0%,1050,0.0%
Original,2905,0.0%,594,0.0%,1190,0.0%,1050,0.0%
Original,2919,0.0%,607,0.0%,1190,0.0%,1051,0.0%
Original,2930,0.0%,618,0.0%,1190,0.0%,1051,0.0%
Original,2933,0.0%,621,0.0%,1190,0.0%,1051,0.0%
Original,2944,0.0%,627,0.0%,1195,0.0%,1051,0.0%
Original,2985,0.0%,636,0.0%,1205,0.0%,1072,0.0%
Original,3024,0.0%,660,0.0%,1207,0.0%,1085,0.0%
Original,3057,0.1%,686,0.0%,1207,0.0%,1092,0.2%
Original,3068,0.1%,694,0.1%,1208,0.0%,1094,0.2%
Original,3078,0.1%,698,0.1%,1213,0.0%,1095,0.2%
Original,3086,0.1%,706,0.1%,1213,0.0%,1095,0.2%
Original,3104,0.1%,719,0.1%,1218,0.0%,1095,0.2%
Original,3140,0.1%,748,0.1%,1218,0.0%,1102,0.2%
Original,3190,0.1%,798,0.3%,1218,0.0%,1102,0.2%
Original,3208,0.2%,801,0.2%,1219,0.0%,1116,0.3%
Original,3224,0.2%,804,0.2%,1219,0.0%,1129,0.3%
Original,3227,0.2%,807,0.2%,1219,0.0%,1129,0.3%
Original,3256,0.2%,828,0.2%,1222,0.0%,1134,0.3%
Original,3272,0.2%,837,0.2%,1222,0.0%,1141,0.3%
Original,3315,0.2%,861,0.2%,1240,0.0%,1142,0.3%
Original,3375,0.1%,890,0.2%,1241,0.0%,1172,0.3%
Original,3401,0.1%,899,0.2%,1241,0.0%,1189,0.3%
Original,3452,0.1%,939,0.2%,1244,0.0%,1197,0.3%
Original,3456,0.2%,939,0.2%,1244,0.0%,1201,0.4%
Original,3474,0.2%,948,0.2%,1249,0.0%,1205,0.4%
Original,3487,0.2%,960,0.2%,1249,0.0%,1206,0.4%
Original,3495,0.2%,966,0.2%,1251,0.0%,1206,0.4%
Original,3535,0.2%,994,0.2%,1263,0.0%,1206,0.4%
Original,3613,0.2%,1051,0.2%,1263,0.0%,1227,0.4%
Original,3624,0.2%,1055,0.3%,1263,0.0%,1234,0.4%
Original,3740,0.2%,1055,0.3%,1263,0.0%,1348,0.4%
Original,3772,0.3%,1065,0.3%,1267,0.0%,1366,0.5%
Original,3802,0.3%,1084,0.3%,1267,0.0%,1377,0.5%
Original,3808,0.3%,1090,0.3%,1267,0.0%,1377,0.5%
Original,3837,0.3%,1111,0.3%,1267,0.0%,1385,0.5%
Original,3850,0.3%,1124,0.3%,1267,0.0%,1385,0.5%
Original,3900,0.5%,1169,1.2%,1269,0.0%,1388,0.5%
Original,3954,0.5%,1212,1.2%,1269,0.0%,1399,0.5%
Original,3971,0.6%,1226,1.3%,1269,0.0%,1400,0.5%
Original,3980,0.6%,1231,1.3%,1273,0.0%,1400,0.5%
Original,3996,0.6%,1239,1.3%,1273,0.0%,1408,0.5%
Original,4028,0.6%,1263,1.3%,1273,0.0%,1416,0.5%
Original,4039,0.6%,1268,1.3%,1275,0.0%,1419,0.5%
Original,4060,0.6%,1282,1.2%,1275,0.0%,1426,0.5%
Original,4141,0.6%,1327,1.2%,1281,0.0%,1456,0.5%
Original,4158,0.6%,1331,1.2%,1282,0.0%,1468,0.5%
Original,4213,0.6%,1374,1.3%,1282,0.0%,1480,0.5%
Original,4341,0.6%,1458,1.2%,1288,0.0%,1518,0.5%
Original,4364,0.6%,1481,1.2%,1288,0.0%,1518,0.5%
Original,4377,0.6%,1487,1.2%,1295,0.0%,1518,0.5%
Original,4408,0.6%,1506,1.2%,1306,0.0%,1518,0.5%
Original,4439,0.6%,1521,1.2%,1306,0.0%,1533,0.5%
Original,4463,0.5%,1525,1.2%,1308,0.0%,1550,0.3%
Original,4479,0.5%,1536,1.2%,1313,0.0%,1550,0.3%
Original,4523,0.5%,1575,1.1%,1314,0.0%,1554,0.2%
Original,4612,0.5%,1635,1.1%,1321,0.0%,1576,0.2%
Original,4619,0.5%,1642,1.1%,1321,0.0%,1576,0.2%
Original,4728,0.4%,1677,1.1%,1326,0.0%,1644,0.2%
Original,4784,0.4%,1715,1.0%,1326,0.0%,1662,0.2%
Original,4797,0.4%,1718,1.0%,1326,0.0%,1672,0.2%
Original,4812,0.4%,1725,1.0%,1326,0.0%,1680,0.2%
Original,4832,0.4%,1735,1.0%,1329,0.0%,1687,0.2%
Original,4842,0.4%,1744,1.0%,1330,0.0%,1687,0.2%
Original,4860,0.4%,1747,1.0%,1330,0.0%,1702,0.2%
Original,4894,0.4%,1765,1.0%,1340,0.0%,1706,0.2%
Original,4926,0.4%,1781,1.0%,1340,0.0%,1722,0.2%
Original,4946,0.4%,1794,1.0%,1341,0.0%,1728,0.2%
Original,4975,0.4%,1805,1.0%,1347,0.0%,1740,0.2%
Original,5013,0.4%,1816,1.0%,1347,0.0%,1767,0.2%
Original,5044,0.4%,1844,1.0%,1347,0.0%,1770,0.2%
Original,5069,0.4%,1861,1.0%,1347,0.0%,1777,0.2%
Original,5117,0.4%,1898,0.9%,1351,0.0%,1784,0.2%
Original,5147,0.4%,1926,0.9%,1351,0.0%,1786,0.2%
Original,5169,0.4%,1940,0.9%,1351,0.0%,1794,0.2%
Original,5204,0.4%,1959,0.9%,1358,0.0%,1803,0.2%
Original,5228,0.4%,1983,0.9%,1358,0.0%,1803,0.2%
Original,5246,0.4%,1995,0.9%,1358,0.0%,1809,0.2%
Original,5265,0.4%,2003,0.9%,1365,0.0%,1813,0.2%
Original,5298,0.4%,2025,0.9%,1365,0.0%,1824,0.2%
Original,5385,0.4%,2095,0.8%,1365,0.0%,1841,0.2%
Original,5477,0.4%,2152,0.8%,1375,0.0%,1865,0.2%
Original,5493,0.4%,2161,0.8%,1375,0.0%,1869,0.2%
Original,5500,0.4%,2168,0.8%,1375,0.0%,1869,0.2%
Original,5532,0.4%,2187,0.8%,1375,0.0%,1882,0.2%
Original,5576,0.4%,2224,0.8%,1375,0.0%,1889,0.2%
Original,5640,0.4%,2273,0.7%,1388,0.0%,1891,0.2%
Original,5688,0.4%,2312,0.7%,1388,0.0%,1900,0.2%
Original,6115,0.3%,2553,0.7%,1432,0.0%,2042,0.1%
Original,6953,0.3%,2731,0.6%,1455,0.0%,2660,0.1%
Original,6965,0.3%,2743,0.6%,1455,0.0%,2660,0.1%
Original,6966,0.3%,2743,0.6%,1455,0.0%,2661,0.1%
Original,6999,0.3%,2766,0.6%,1455,0.0%,2671,0.1%
Original,7034,0.3%,2780,0.6%,1461,0.0%,2686,0.1%
Original,7038,0.3%,2784,0.6%,1461,0.0%,2686,0.1%
Original,7051,0.3%,2788,0.6%,1461,0.0%,2695,0.1%
Original,7059,0.3%,2796,0.6%,1461,0.0%,2695,0.1%
