Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,8,14,32,0,1,19,62,0,0,16
Original,1 (7; 87.5%),11 (3; 21.4%),18 (14; 43.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),18 (14; 43.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),18 (14; 43.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),18 (14; 43.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),25 (7; 21.9%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),15 (47; 75.8%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),15 (4; 21.1%),17 (45; 72.6%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
Original,1 (7; 87.5%),11 (3; 21.4%),26 (6; 18.8%),0 (0; 0.0%),0 (1; 100.0%),16 (3; 15.8%),18 (44; 71.0%),0 (0; 0.0%),0 (0; 0.0%),4 (12; 75.0%)
