Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,9 of 11,31 of 35,14 of 17
Original,7 (2),13 (18),7 (7)
Original,6 (3),15 (16),7 (7)
Original,7 (2),19 (12),8 (6)
Original,7 (2),18 (13),6 (8)
Original,7 (2),16 (15),6 (8)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),22 (9),6 (8)
Original,6 (3),21 (10),5 (9)
Original,7 (2),21 (10),6 (8)
Original,7 (2),22 (9),7 (7)
Original,7 (2),22 (9),7 (7)
Original,7 (2),22 (9),7 (7)
Original,7 (2),22 (9),7 (7)
Original,7 (2),22 (9),7 (7)
Original,7 (2),23 (8),9 (5)
Original,7 (2),25 (6),9 (5)
Original,7 (2),25 (6),9 (5)
Original,7 (2),23 (8),9 (5)
Original,7 (2),22 (9),8 (6)
Original,7 (2),23 (8),7 (7)
Original,7 (2),23 (8),7 (7)
Original,7 (2),23 (8),7 (7)
Original,7 (2),22 (9),7 (7)
Original,7 (2),21 (10),7 (7)
Original,7 (2),21 (10),7 (7)
Original,6 (3),21 (10),5 (9)
Original,6 (3),21 (10),5 (9)
Original,6 (3),22 (9),5 (9)
Original,6 (3),22 (9),5 (9)
Original,6 (3),22 (9),5 (9)
Original,6 (3),22 (9),5 (9)
Original,6 (3),21 (10),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,6 (3),20 (11),5 (9)
Original,7 (2),20 (11),6 (8)
Original,6 (3),20 (11),5 (9)
Original,7 (2),20 (11),6 (8)
Original,6 (3),20 (11),5 (9)
