Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,784,1.569515306122449,163,2.1319018404907975,80,1.51875
Original,214 (570),3.294392523364486 (-1.7248772172420372),118 (45),4.177966101694915 (-2.0460642612041178),69 (11),3.1884057971014492 (-1.6696557971014492)
Original,230 (554),4.852173913043479 (-3.2826586069210295),118 (45),6.266949152542373 (-4.135047312051576),69 (11),4.782608695652174 (-3.263858695652174)
Original,249 (535),6.313253012048193 (-4.743737705925744),118 (45),8.35593220338983 (-6.2240303628990326),69 (11),6.3768115942028984 (-4.858061594202899)
Original,276 (508),7.380434782608695 (-5.810919476486246),119 (44),10.357142857142858 (-8.22524101665206),69 (11),7.971014492753623 (-6.452264492753623)
Original,310 (474),8.359677419354838 (-6.790162113232389),120 (43),12.325 (-10.193098159509201),72 (8),9.25 (-7.73125)
Original,362 (422),8.831491712707182 (-7.261976406584733),123 (40),14.09349593495935 (-11.961594094468552),75 (5),10.453333333333333 (-8.934583333333332)
Original,383 (401),9.988250652741515 (-8.418735346619066),129 (34),15.674418604651162 (-13.542516764160364),75 (5),11.993333333333334 (-10.474583333333333)
Original,453 (331),10.322295805739515 (-8.752780499617066),129 (34),17.76356589147287 (-15.63166405098207),75 (5),13.533333333333333 (-12.014583333333333)
Original,456 (328),11.858552631578947 (-10.289037325456498),129 (34),19.852713178294575 (-17.720811337803777),75 (5),15.073333333333334 (-13.554583333333333)
Original,478 (306),12.990585774058577 (-11.421070467936127),130 (33),21.803846153846155 (-19.671944313355358),75 (5),16.613333333333333 (-15.094583333333333)
Original,495 (289),14.172727272727272 (-12.603211966604823),130 (33),23.892307692307693 (-21.760405851816895),75 (5),18.153333333333332 (-16.63458333333333)
Original,519 (265),15.155105973025048 (-13.585590666902599),132 (31),25.602272727272727 (-23.47037088678193),77 (3),19.337662337662337 (-17.818912337662336)
Original,533 (251),16.364915572232647 (-14.795400266110198),134 (29),27.291044776119403 (-25.159142935628605),77 (3),20.915584415584416 (-19.396834415584415)
Original,541 (243),17.704251386321626 (-16.13473608019918),136 (27),28.91176470588235 (-26.779862865391554),77 (3),22.493506493506494 (-20.974756493506494)
Original,565 (219),18.571681415929202 (-17.002166109806755),136 (27),30.933823529411764 (-28.801921688920967),77 (3),24.071428571428573 (-22.552678571428572)
Original,596 (188),19.267617449664428 (-17.69810214354198),136 (27),32.955882352941174 (-30.823980512450376),77 (3),25.649350649350648 (-24.130600649350647)
Original,631 (153),19.801901743264658 (-18.23238643714221),137 (26),34.72992700729927 (-32.59802516680847),77 (3),27.227272727272727 (-25.708522727272726)
Original,657 (127),20.71385083713851 (-19.14433553101606),137 (26),36.74087591240876 (-34.60897407191796),77 (3),28.805194805194805 (-27.286444805194805)
Original,658 (126),22.298632218844986 (-20.72911691272254),155 (8),35.12903225806452 (-32.99713041757372),77 (3),30.383116883116884 (-28.864366883116883)
Original,660 (124),23.85 (-22.280484693877554),155 (8),37.34516129032258 (-35.21325944983178),77 (3),31.961038961038962 (-30.44228896103896)
Original,693 (91),24.38023088023088 (-22.810715574108432),155 (8),39.561290322580646 (-37.42938848208985),77 (3),33.53896103896104 (-32.020211038961044)
Original,698 (86),25.810171919770774 (-24.240656613648326),155 (8),41.77741935483871 (-39.645517514347915),77 (3),35.116883116883116 (-33.59813311688312)
Original,705 (79),27.160283687943263 (-25.590768381820816),163 (0),41.88343558282209 (-39.75153374233129),79 (1),35.765822784810126 (-34.24707278481013)
Original,712 (72),27.433988764044944 (-25.864473457922497),157 (6),43.39808917197452 (-41.26618733148372),79 (1),37.30379746835443 (-35.785047468354435)
Original,644 (140),28.595496894409937 (-27.02598158828749),157 (6),45.49044585987261 (-43.35854401938181),79 (1),38.84177215189873 (-37.32302215189873)
Original,641 (143),30.128705148205928 (-28.55918984208348),157 (6),47.5828025477707 (-45.4509007072799),79 (1),40.379746835443036 (-38.86099683544304)
Original,620 (164),31.894354838709678 (-30.32483953258723),156 (7),49.75 (-47.6180981595092),79 (1),41.91772151898734 (-40.398971518987345)
Original,599 (185),33.76210350584307 (-32.192588199720625),154 (9),52.39935064935065 (-50.267448808859854),77 (3),43.18181818181818 (-41.66306818181818)
Original,588 (196),35.46258503401361 (-33.89306972789116),152 (11),54.93421052631579 (-52.80230868582499),77 (3),44.68181818181818 (-43.16306818181818)
Original,583 (201),37.12778730703259 (-35.558272000910144),150 (13),57.82 (-55.6880981595092),77 (3),46.18181818181818 (-44.66306818181818)
Original,565 (219),39.30530973451327 (-37.735794428390825),150 (13),59.973333333333336 (-57.84143149284254),77 (3),47.68181818181818 (-46.16306818181818)
Original,537 (247),41.62662942271881 (-40.05711411659636),150 (13),62.126666666666665 (-59.99476482617587),77 (3),49.18181818181818 (-47.66306818181818)
Original,508 (276),43.78248031496063 (-42.21296500883818),150 (13),64.28 (-62.1480981595092),77 (3),50.68181818181818 (-49.16306818181818)
Original,472 (312),45.95762711864407 (-44.38811181252162),149 (14),66.81543624161074 (-64.68353440111994),77 (3),52.18181818181818 (-50.66306818181818)
Original,444 (340),48.265765765765764 (-46.696250459643316),131 (32),69.1145038167939 (-66.9826019763031),77 (3),53.68181818181818 (-52.16306818181818)
Original,442 (342),49.94570135746606 (-48.376186051343616),131 (32),71.05725190839695 (-68.92535006790615),77 (3),55.18181818181818 (-53.66306818181818)
Original,399 (385),54.735588972431074 (-53.16607366630863),131 (32),73.0 (-70.8680981595092),77 (3),56.68181818181818 (-55.16306818181818)
Original,394 (390),56.808375634517766 (-55.23886032839532),131 (32),74.94274809160305 (-72.81084625111225),77 (3),58.18181818181818 (-56.66306818181818)
Original,387 (397),59.082687338501295 (-57.51317203237885),123 (40),81.30081300813008 (-79.16891116763928),75 (5),61.27333333333333 (-59.754583333333336)
