Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,1044,784,163,80,17
Original,416 (628; 60.2%),214 (570; 72.7%),118 (45; 27.6%),69 (11; 13.8%),15 (2; 11.8%)
Original,432 (612; 58.6%),230 (554; 70.7%),118 (45; 27.6%),69 (11; 13.8%),15 (2; 11.8%)
Original,451 (593; 56.8%),249 (535; 68.2%),118 (45; 27.6%),69 (11; 13.8%),15 (2; 11.8%)
Original,479 (565; 54.1%),276 (508; 64.8%),119 (44; 27.0%),69 (11; 13.8%),15 (2; 11.8%)
Original,517 (527; 50.5%),310 (474; 60.5%),120 (43; 26.4%),72 (8; 10.0%),15 (2; 11.8%)
Original,576 (468; 44.8%),362 (422; 53.8%),123 (40; 24.5%),75 (5; 6.2%),16 (1; 5.9%)
Original,604 (440; 42.1%),383 (401; 51.1%),129 (34; 20.9%),75 (5; 6.2%),17 (0; 0.0%)
Original,674 (370; 35.4%),453 (331; 42.2%),129 (34; 20.9%),75 (5; 6.2%),17 (0; 0.0%)
Original,677 (367; 35.2%),456 (328; 41.8%),129 (34; 20.9%),75 (5; 6.2%),17 (0; 0.0%)
Original,700 (344; 33.0%),478 (306; 39.0%),130 (33; 20.2%),75 (5; 6.2%),17 (0; 0.0%)
Original,717 (327; 31.3%),495 (289; 36.9%),130 (33; 20.2%),75 (5; 6.2%),17 (0; 0.0%)
Original,745 (299; 28.6%),519 (265; 33.8%),132 (31; 19.0%),77 (3; 3.8%),17 (0; 0.0%)
Original,761 (283; 27.1%),533 (251; 32.0%),134 (29; 17.8%),77 (3; 3.8%),17 (0; 0.0%)
Original,771 (273; 26.1%),541 (243; 31.0%),136 (27; 16.6%),77 (3; 3.8%),17 (0; 0.0%)
Original,795 (249; 23.9%),565 (219; 27.9%),136 (27; 16.6%),77 (3; 3.8%),17 (0; 0.0%)
Original,826 (218; 20.9%),596 (188; 24.0%),136 (27; 16.6%),77 (3; 3.8%),17 (0; 0.0%)
Original,862 (182; 17.4%),631 (153; 19.5%),137 (26; 16.0%),77 (3; 3.8%),17 (0; 0.0%)
Original,888 (156; 14.9%),657 (127; 16.2%),137 (26; 16.0%),77 (3; 3.8%),17 (0; 0.0%)
Original,907 (137; 13.1%),658 (126; 16.1%),155 (8; 4.9%),77 (3; 3.8%),17 (0; 0.0%)
Original,909 (135; 12.9%),660 (124; 15.8%),155 (8; 4.9%),77 (3; 3.8%),17 (0; 0.0%)
Original,942 (102; 9.8%),693 (91; 11.6%),155 (8; 4.9%),77 (3; 3.8%),17 (0; 0.0%)
Original,947 (97; 9.3%),698 (86; 11.0%),155 (8; 4.9%),77 (3; 3.8%),17 (0; 0.0%)
Original,964 (80; 7.7%),705 (79; 10.1%),163 (0; 0.0%),79 (1; 1.2%),17 (0; 0.0%)
Original,964 (80; 7.7%),712 (72; 9.2%),157 (6; 3.7%),79 (1; 1.2%),16 (1; 5.9%)
Original,896 (148; 14.2%),644 (140; 17.9%),157 (6; 3.7%),79 (1; 1.2%),16 (1; 5.9%)
Original,893 (151; 14.5%),641 (143; 18.2%),157 (6; 3.7%),79 (1; 1.2%),16 (1; 5.9%)
Original,871 (173; 16.6%),620 (164; 20.9%),156 (7; 4.3%),79 (1; 1.2%),16 (1; 5.9%)
Original,846 (198; 19.0%),599 (185; 23.6%),154 (9; 5.5%),77 (3; 3.8%),16 (1; 5.9%)
Original,833 (211; 20.2%),588 (196; 25.0%),152 (11; 6.7%),77 (3; 3.8%),16 (1; 5.9%)
Original,826 (218; 20.9%),583 (201; 25.6%),150 (13; 8.0%),77 (3; 3.8%),16 (1; 5.9%)
Original,808 (236; 22.6%),565 (219; 27.9%),150 (13; 8.0%),77 (3; 3.8%),16 (1; 5.9%)
Original,780 (264; 25.3%),537 (247; 31.5%),150 (13; 8.0%),77 (3; 3.8%),16 (1; 5.9%)
Original,751 (293; 28.1%),508 (276; 35.2%),150 (13; 8.0%),77 (3; 3.8%),16 (1; 5.9%)
Original,714 (330; 31.6%),472 (312; 39.8%),149 (14; 8.6%),77 (3; 3.8%),16 (1; 5.9%)
Original,668 (376; 36.0%),444 (340; 43.4%),131 (32; 19.6%),77 (3; 3.8%),16 (1; 5.9%)
Original,666 (378; 36.2%),442 (342; 43.6%),131 (32; 19.6%),77 (3; 3.8%),16 (1; 5.9%)
Original,623 (421; 40.3%),399 (385; 49.1%),131 (32; 19.6%),77 (3; 3.8%),16 (1; 5.9%)
Original,618 (426; 40.8%),394 (390; 49.7%),131 (32; 19.6%),77 (3; 3.8%),16 (1; 5.9%)
Original,601 (443; 42.4%),387 (397; 50.6%),123 (40; 24.5%),75 (5; 6.2%),16 (1; 5.9%)
Original,599 (445; 42.6%),384 (400; 51.0%),124 (39; 23.9%),75 (5; 6.2%),16 (1; 5.9%)
Original,576 (468; 44.8%),362 (422; 53.8%),123 (40; 24.5%),75 (5; 6.2%),16 (1; 5.9%)
Original,599 (445; 42.6%),384 (400; 51.0%),124 (39; 23.9%),75 (5; 6.2%),16 (1; 5.9%)
Original,576 (468; 44.8%),362 (422; 53.8%),123 (40; 24.5%),75 (5; 6.2%),16 (1; 5.9%)
