Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,1044, ,784, ,163, ,80
Original,416,0.0%,214,0.0%,118,0.0%,69,0.0%
Original,432,0.0%,230,0.0%,118,0.0%,69,0.0%
Original,451,0.0%,249,0.0%,118,0.0%,69,0.0%
Original,479,0.0%,276,0.0%,119,0.0%,69,0.0%
Original,517,0.0%,310,0.0%,120,0.0%,72,0.0%
Original,576,0.0%,362,0.0%,123,0.0%,75,0.0%
Original,604,0.0%,383,0.0%,129,0.0%,75,0.0%
Original,674,0.0%,453,0.0%,129,0.0%,75,0.0%
Original,677,0.0%,456,0.0%,129,0.0%,75,0.0%
Original,700,0.0%,478,0.0%,130,0.0%,75,0.0%
Original,717,0.0%,495,0.0%,130,0.0%,75,0.0%
Original,745,0.0%,519,0.0%,132,0.0%,77,0.0%
Original,761,0.0%,533,0.0%,134,0.0%,77,0.0%
Original,771,0.0%,541,0.0%,136,0.0%,77,0.0%
Original,795,0.0%,565,0.0%,136,0.0%,77,0.0%
Original,826,0.0%,596,0.0%,136,0.0%,77,0.0%
Original,862,0.0%,631,0.0%,137,0.0%,77,0.0%
Original,888,0.0%,657,0.0%,137,0.0%,77,0.0%
Original,907,0.0%,658,0.0%,155,0.0%,77,0.0%
Original,909,0.0%,660,0.0%,155,0.0%,77,0.0%
Original,942,0.0%,693,0.0%,155,0.0%,77,0.0%
Original,947,0.0%,698,0.0%,155,0.0%,77,0.0%
Original,964,0.0%,705,0.0%,163,0.0%,79,0.0%
Original,964,0.0%,712,0.0%,157,0.0%,79,0.0%
Original,896,0.0%,644,0.0%,157,0.0%,79,0.0%
Original,893,0.0%,641,0.0%,157,0.0%,79,0.0%
Original,871,0.0%,620,0.0%,156,0.0%,79,0.0%
Original,846,0.0%,599,0.0%,154,0.0%,77,0.0%
Original,833,0.0%,588,0.0%,152,0.0%,77,0.0%
Original,826,0.0%,583,0.0%,150,0.0%,77,0.0%
Original,808,0.0%,565,0.0%,150,0.0%,77,0.0%
Original,780,0.0%,537,0.0%,150,0.0%,77,0.0%
Original,751,0.0%,508,0.0%,150,0.0%,77,0.0%
Original,714,0.0%,472,0.0%,149,0.0%,77,0.0%
Original,668,0.0%,444,0.0%,131,0.0%,77,0.0%
Original,666,0.0%,442,0.0%,131,0.0%,77,0.0%
Original,623,0.0%,399,0.0%,131,0.0%,77,0.0%
Original,618,0.0%,394,0.0%,131,0.0%,77,0.0%
Original,601,0.0%,387,0.0%,123,0.0%,75,0.0%
Original,599,0.0%,384,0.0%,124,0.0%,75,0.0%
Original,576,0.0%,362,0.0%,123,0.0%,75,0.0%
Original,599,0.0%,384,0.0%,124,0.0%,75,0.0%
Original,576,0.0%,362,0.0%,123,0.0%,75,0.0%
