Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,9,3,3,0,0,1,1,0,0,0
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),0 (1; 100.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),2 (1; 33.3%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
Original,9 (0; 0.0%),3 (0; 0.0%),3 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%),1 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%)
