Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,8 of 11,29 of 35,11 of 17
Original,5 (3),18 (11),5 (6)
Original,6 (2),20 (9),5 (6)
Original,6 (2),20 (9),5 (6)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),7 (4)
Original,7 (1),26 (3),7 (4)
Original,7 (1),26 (3),7 (4)
Original,7 (1),26 (3),7 (4)
Original,7 (1),26 (3),7 (4)
Original,7 (1),26 (3),7 (4)
Original,7 (1),25 (4),7 (4)
Original,8 (0),26 (3),7 (4)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),8 (3)
Original,7 (1),26 (3),10 (1)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,8 (0),27 (2),9 (2)
Original,8 (0),27 (2),9 (2)
Original,8 (0),27 (2),9 (2)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),9 (2)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),8 (3)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),26 (3),9 (2)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),8 (3)
Original,7 (1),25 (4),7 (4)
Original,7 (1),25 (4),7 (4)
