Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,821,1.5560292326431182,171,1.7309941520467835,174,1.2557471264367817
Original,105 (716),3.219047619047619 (-1.663018386404501),89 (82),3.831460674157303 (-2.1004665221105197),125 (49),2.744 (-1.4882528735632186)
Original,186 (635),4.198924731182796 (-2.6428954985396778),93 (78),5.521505376344086 (-3.7905112242973025),128 (46),4.03515625 (-2.7794091235632186)
Original,215 (606),5.269767441860465 (-3.713738209217347),93 (78),7.365591397849462 (-5.634597245802679),132 (42),5.333333333333333 (-4.077586206896552)
Original,270 (551),6.105555555555555 (-4.5495263229124365),93 (78),9.209677419354838 (-7.478683267308055),160 (14),5.91875 (-4.663002873563219)
Original,283 (538),7.406360424028269 (-5.85033119138515),93 (78),11.053763440860216 (-9.322769288813433),160 (14),7.240625 (-5.984877873563218)
Original,284 (537),8.91725352112676 (-7.361224288483642),93 (78),12.897849462365592 (-11.166855310318809),160 (14),8.5625 (-7.306752873563219)
Original,287 (534),10.348432055749129 (-8.792402823106011),101 (70),13.702970297029703 (-11.97197614498292),160 (14),9.884375 (-8.628627873563218)
Original,345 (476),10.334782608695653 (-8.778753376052535),124 (47),12.82258064516129 (-11.091586493114507),160 (14),11.20625 (-9.950502873563218)
Original,355 (466),11.608450704225351 (-10.052421471582234),124 (47),14.370967741935484 (-12.639973589888701),160 (14),12.528125 (-11.272377873563217)
Original,359 (462),13.022284122562674 (-11.466254889919556),124 (47),15.919354838709678 (-14.188360686662895),160 (14),13.85 (-12.594252873563217)
Original,349 (472),14.74785100286533 (-13.191821770222212),124 (47),17.467741935483872 (-15.736747783437089),160 (14),15.171875 (-13.916127873563218)
Original,345 (476),16.346376811594205 (-14.790347578951087),124 (47),19.016129032258064 (-17.28513488021128),160 (14),16.49375 (-15.238002873563216)
Original,320 (501),18.4015625 (-16.84553326735688),124 (47),20.56451612903226 (-18.833521976985477),160 (14),17.815625 (-16.55987787356322)
Original,357 (464),18.144257703081234 (-16.588228470438114),131 (40),21.259541984732824 (-19.52854783268604),160 (14),19.1375 (-17.88175287356322)
Original,320 (501),21.4015625 (-19.84553326735688),124 (47),23.661290322580644 (-21.93029617053386),160 (14),20.459375 (-19.20362787356322)
Original,388 (433),19.266752577319586 (-17.710723344676467),124 (47),25.20967741935484 (-23.478683267308057),163 (11),21.380368098159508 (-20.124620971722727)
Original,320 (501),24.3921875 (-22.83615826735688),124 (47),26.758064516129032 (-25.02707036408225),160 (14),23.103125 (-21.847377873563218)
Original,388 (433),21.95876288659794 (-20.40273365395482),124 (47),28.306451612903224 (-26.57545746085644),163 (11),23.975460122699385 (-22.719712996262604)
Original,431 (390),21.432714617169374 (-19.876685384526255),129 (42),28.8062015503876 (-27.075207398340815),163 (11),25.273006134969325 (-24.017259008532545)
Original,467 (354),21.450749464668093 (-19.894720232024973),131 (40),29.916030534351144 (-28.18503638230436),163 (11),26.570552147239265 (-25.314805020802485)
Original,484 (337),22.28822314049587 (-20.73219390785275),131 (40),31.46564885496183 (-29.734654702915048),163 (11),27.868098159509202 (-26.61235103307242)
Original,489 (332),23.600204498977504 (-22.044175266334385),131 (40),33.01526717557252 (-31.284273023525735),163 (11),29.165644171779142 (-27.909897045342362)
Original,500 (321),24.648 (-23.09197076735688),136 (35),33.5735294117647 (-31.84253525971792),163 (11),30.46319018404908 (-29.2074430576123)
Original,505 (316),25.956435643564358 (-24.40040641092124),136 (35),35.205882352941174 (-33.47488820089439),163 (11),31.76073619631902 (-30.50498906988224)
Original,505 (316),27.492079207920792 (-25.936049975277673),147 (24),34.38775510204081 (-32.65676094999403),163 (11),33.058282208588956 (-31.802535082152176)
Original,474 (347),29.518987341772153 (-27.962958109129033),153 (18),34.53921568627451 (-32.80822153422773),163 (11),34.355828220858896 (-33.100081094422116)
Original,441 (380),31.931972789115648 (-30.375943556472528),153 (18),36.06535947712418 (-34.3343653250774),163 (11),35.65337423312884 (-34.397627106692056)
Original,425 (396),34.08117647058823 (-32.52514723794511),151 (20),38.22185430463576 (-36.49086015258898),163 (11),36.95092024539877 (-35.69517311896199)
Original,420 (401),35.87261904761905 (-34.31658981497593),151 (20),39.9271523178808 (-38.196158165834014),163 (11),38.24846625766871 (-36.99271913123193)
Original,409 (412),37.95354523227384 (-36.39751599963072),151 (20),40.62582781456954 (-38.89483366252276),163 (11),39.54601226993865 (-38.29026514350187)
Original,399 (422),40.1390977443609 (-38.583068511717784),151 (20),42.33112582781457 (-40.600131675767784),163 (11),40.84355828220859 (-39.58781115577181)
Original,399 (422),41.606516290726816 (-40.0504870580837),140 (31),46.05 (-44.319005847953214),163 (11),42.14110429447853 (-40.88535716804175)
Original,320 (501),48.2515625 (-46.69553326735688),124 (47),51.53225806451613 (-49.801263912469345),160 (14),44.253125 (-42.99737787356322)
Original,358 (463),44.685754189944134 (-43.129724957301015),124 (47),53.08064516129032 (-51.34965100924354),160 (14),45.575 (-44.31925287356322)
Original,423 (398),42.801418439716315 (-41.245389207073195),124 (47),54.62903225806452 (-52.89803810601774),163 (11),46.033742331288344 (-44.777995204851564)
Original,358 (463),47.62150837988827 (-46.06547914724515),124 (47),56.17741935483871 (-54.44642520279193),160 (14),48.21875 (-46.96300287356322)
Original,320 (501),54.2359375 (-52.67990826735688),124 (47),57.725806451612904 (-55.99481229956612),160 (14),49.540625 (-48.28487787356322)
Original,388 (433),50.27577319587629 (-48.71974396323317),124 (47),59.274193548387096 (-57.54319939634031),163 (11),49.92638036809816 (-48.67063324166138)
Original,431 (390),48.207656612529 (-46.65162737988588),129 (42),58.95348837209303 (-57.222494220046244),163 (11),51.2239263803681 (-49.96817925393132)
Original,467 (354),47.21841541755889 (-45.66238618491577),131 (40),59.81679389312977 (-58.08579974108299),163 (11),52.52147239263804 (-51.26572526620126)
Original,484 (337),47.54132231404959 (-45.98529308140647),131 (40),61.36641221374046 (-59.63541806169368),163 (11),53.81901840490798 (-52.5632712784712)
Original,489 (332),48.65950920245399 (-47.10347996981087),131 (40),62.916030534351144 (-61.18503638230436),163 (11),55.11656441717791 (-53.86081729074113)
Original,500 (321),49.401 (-47.844970767356884),136 (35),63.35294117647059 (-61.621947024423804),163 (11),56.41411042944785 (-55.15836330301107)
Original,505 (316),50.5960396039604 (-49.04001037131728),136 (35),64.98529411764706 (-63.254299965600275),163 (11),57.71165644171779 (-56.45590931528101)
Original,505 (316),52.13168316831683 (-50.575653935673714),147 (24),63.01020408163265 (-61.27920992958587),163 (11),59.00920245398773 (-57.75345532755095)
Original,474 (347),54.86286919831224 (-53.30683996566912),153 (18),62.81699346405229 (-61.085999312005505),163 (11),60.306748466257666 (-59.051001339820886)
Original,441 (380),58.07823129251701 (-56.52220205987389),153 (18),64.18627450980392 (-62.45528035775714),163 (11),61.604294478527606 (-60.348547352090826)
Original,425 (396),60.77882352941177 (-59.22279429676865),151 (20),66.6887417218543 (-64.95774756980751),163 (11),62.90184049079755 (-61.646093364360766)
Original,420 (401),62.81309523809524 (-61.25706600545212),151 (20),68.39403973509934 (-66.66304558305255),163 (11),64.19938650306749 (-62.943639376630706)
Original,409 (412),65.31418092909536 (-63.75815169645224),151 (20),68.58940397350993 (-66.85840982146314),163 (11),65.49693251533742 (-64.24118538890063)
Original,399 (422),67.97869674185463 (-66.42266750921152),151 (20),70.29470198675497 (-68.56370783470818),163 (11),66.79447852760737 (-65.53873140117058)
Original,399 (422),69.44611528822055 (-67.89008605557744),140 (31),75.08571428571429 (-73.3547201336675),163 (11),68.0920245398773 (-66.83627741344051)
Original,320 (501),78.0953125 (-76.5392832673569),124 (47),82.5 (-80.76900584795321),160 (14),70.690625 (-69.43487787356321)
Original,358 (463),71.75418994413408 (-70.19816071149097),124 (47),84.04838709677419 (-82.3173929447274),160 (14),72.0125 (-70.75675287356322)
Original,423 (398),69.07683215130024 (-67.52080291865713),124 (47),85.59677419354838 (-83.8657800415016),163 (11),71.98466257668711 (-70.72891545025033)
Original,358 (463),74.68994413407822 (-73.1339149014351),124 (47),87.14516129032258 (-85.41416713827579),160 (14),74.65625 (-73.40050287356321)
Original,320 (501),84.0796875 (-82.5236582673569),124 (47),88.69354838709677 (-86.96255423504998),160 (14),75.978125 (-74.72237787356322)
