Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,1177,821,171,174,11
Original,327 (850; 72.2%),105 (716; 87.2%),89 (82; 48.0%),125 (49; 28.2%),8 (3; 27.3%)
Original,415 (762; 64.7%),186 (635; 77.3%),93 (78; 45.6%),128 (46; 26.4%),8 (3; 27.3%)
Original,450 (727; 61.8%),215 (606; 73.8%),93 (78; 45.6%),132 (42; 24.1%),10 (1; 9.1%)
Original,533 (644; 54.7%),270 (551; 67.1%),93 (78; 45.6%),160 (14; 8.0%),10 (1; 9.1%)
Original,546 (631; 53.6%),283 (538; 65.5%),93 (78; 45.6%),160 (14; 8.0%),10 (1; 9.1%)
Original,547 (630; 53.5%),284 (537; 65.4%),93 (78; 45.6%),160 (14; 8.0%),10 (1; 9.1%)
Original,558 (619; 52.6%),287 (534; 65.0%),101 (70; 40.9%),160 (14; 8.0%),10 (1; 9.1%)
Original,639 (538; 45.7%),345 (476; 58.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,649 (528; 44.9%),355 (466; 56.8%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,653 (524; 44.5%),359 (462; 56.3%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,643 (534; 45.4%),349 (472; 57.5%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,639 (538; 45.7%),345 (476; 58.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,658 (519; 44.1%),357 (464; 56.5%),131 (40; 23.4%),160 (14; 8.0%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,685 (492; 41.8%),388 (433; 52.7%),124 (47; 27.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,685 (492; 41.8%),388 (433; 52.7%),124 (47; 27.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,733 (444; 37.7%),431 (390; 47.5%),129 (42; 24.6%),163 (11; 6.3%),10 (1; 9.1%)
Original,771 (406; 34.5%),467 (354; 43.1%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,788 (389; 33.1%),484 (337; 41.0%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,793 (384; 32.6%),489 (332; 40.4%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,809 (368; 31.3%),500 (321; 39.1%),136 (35; 20.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,814 (363; 30.8%),505 (316; 38.5%),136 (35; 20.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,825 (352; 29.9%),505 (316; 38.5%),147 (24; 14.0%),163 (11; 6.3%),10 (1; 9.1%)
Original,800 (377; 32.0%),474 (347; 42.3%),153 (18; 10.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,767 (410; 34.8%),441 (380; 46.3%),153 (18; 10.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,749 (428; 36.4%),425 (396; 48.2%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,744 (433; 36.8%),420 (401; 48.8%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,733 (444; 37.7%),409 (412; 50.2%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,723 (454; 38.6%),399 (422; 51.4%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,712 (465; 39.5%),399 (422; 51.4%),140 (31; 18.1%),163 (11; 6.3%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,652 (525; 44.6%),358 (463; 56.4%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,720 (457; 38.8%),423 (398; 48.5%),124 (47; 27.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,652 (525; 44.6%),358 (463; 56.4%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,685 (492; 41.8%),388 (433; 52.7%),124 (47; 27.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,733 (444; 37.7%),431 (390; 47.5%),129 (42; 24.6%),163 (11; 6.3%),10 (1; 9.1%)
Original,771 (406; 34.5%),467 (354; 43.1%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,788 (389; 33.1%),484 (337; 41.0%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,793 (384; 32.6%),489 (332; 40.4%),131 (40; 23.4%),163 (11; 6.3%),10 (1; 9.1%)
Original,809 (368; 31.3%),500 (321; 39.1%),136 (35; 20.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,814 (363; 30.8%),505 (316; 38.5%),136 (35; 20.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,825 (352; 29.9%),505 (316; 38.5%),147 (24; 14.0%),163 (11; 6.3%),10 (1; 9.1%)
Original,800 (377; 32.0%),474 (347; 42.3%),153 (18; 10.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,767 (410; 34.8%),441 (380; 46.3%),153 (18; 10.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,749 (428; 36.4%),425 (396; 48.2%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,744 (433; 36.8%),420 (401; 48.8%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,733 (444; 37.7%),409 (412; 50.2%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,723 (454; 38.6%),399 (422; 51.4%),151 (20; 11.7%),163 (11; 6.3%),10 (1; 9.1%)
Original,712 (465; 39.5%),399 (422; 51.4%),140 (31; 18.1%),163 (11; 6.3%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,652 (525; 44.6%),358 (463; 56.4%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,720 (457; 38.8%),423 (398; 48.5%),124 (47; 27.5%),163 (11; 6.3%),10 (1; 9.1%)
Original,652 (525; 44.6%),358 (463; 56.4%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
Original,614 (563; 47.8%),320 (501; 61.0%),124 (47; 27.5%),160 (14; 8.0%),10 (1; 9.1%)
