Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,1177, ,821, ,171, ,174
Original,327,0.0%,105,0.0%,89,0.0%,125,0.0%
Original,415,0.0%,186,0.0%,93,0.0%,128,0.0%
Original,450,0.0%,215,0.0%,93,0.0%,132,0.0%
Original,533,0.0%,270,0.0%,93,0.0%,160,0.0%
Original,546,0.0%,283,0.0%,93,0.0%,160,0.0%
Original,547,0.0%,284,0.0%,93,0.0%,160,0.0%
Original,558,0.0%,287,0.0%,101,0.0%,160,0.0%
Original,639,0.0%,345,0.0%,124,0.0%,160,0.0%
Original,649,0.0%,355,0.0%,124,0.0%,160,0.0%
Original,653,0.0%,359,0.0%,124,0.0%,160,0.0%
Original,643,0.0%,349,0.0%,124,0.0%,160,0.0%
Original,639,0.0%,345,0.0%,124,0.0%,160,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,658,0.0%,357,0.0%,131,0.0%,160,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,685,0.0%,388,0.0%,124,0.0%,163,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,685,0.0%,388,0.0%,124,0.0%,163,0.0%
Original,733,0.0%,431,0.0%,129,0.0%,163,0.0%
Original,771,0.0%,467,0.0%,131,0.0%,163,0.0%
Original,788,0.0%,484,0.0%,131,0.0%,163,0.0%
Original,793,0.0%,489,0.0%,131,0.0%,163,0.0%
Original,809,0.0%,500,0.0%,136,0.0%,163,0.0%
Original,814,0.0%,505,0.0%,136,0.0%,163,0.0%
Original,825,0.0%,505,0.0%,147,0.0%,163,0.0%
Original,800,0.0%,474,0.0%,153,0.0%,163,0.0%
Original,767,0.0%,441,0.0%,153,0.0%,163,0.0%
Original,749,0.0%,425,0.0%,151,0.0%,163,0.0%
Original,744,0.0%,420,0.0%,151,0.0%,163,0.0%
Original,733,0.0%,409,0.0%,151,0.0%,163,0.0%
Original,723,0.0%,399,0.0%,151,0.0%,163,0.0%
Original,712,0.0%,399,0.0%,140,0.0%,163,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,652,0.0%,358,0.0%,124,0.0%,160,0.0%
Original,720,0.0%,423,0.0%,124,0.0%,163,0.0%
Original,652,0.0%,358,0.0%,124,0.0%,160,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,685,0.0%,388,0.0%,124,0.0%,163,0.0%
Original,733,0.0%,431,0.0%,129,0.0%,163,0.0%
Original,771,0.0%,467,0.0%,131,0.0%,163,0.0%
Original,788,0.0%,484,0.0%,131,0.0%,163,0.0%
Original,793,0.0%,489,0.0%,131,0.0%,163,0.0%
Original,809,0.0%,500,0.0%,136,0.0%,163,0.0%
Original,814,0.0%,505,0.0%,136,0.0%,163,0.0%
Original,825,0.0%,505,0.0%,147,0.0%,163,0.0%
Original,800,0.0%,474,0.0%,153,0.0%,163,0.0%
Original,767,0.0%,441,0.0%,153,0.0%,163,0.0%
Original,749,0.0%,425,0.0%,151,0.0%,163,0.0%
Original,744,0.0%,420,0.0%,151,0.0%,163,0.0%
Original,733,0.0%,409,0.0%,151,0.0%,163,0.0%
Original,723,0.0%,399,0.0%,151,0.0%,163,0.0%
Original,712,0.0%,399,0.0%,140,0.0%,163,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
Original,652,0.0%,358,0.0%,124,0.0%,160,0.0%
Original,720,0.0%,423,0.0%,124,0.0%,163,0.0%
Original,652,0.0%,358,0.0%,124,0.0%,160,0.0%
Original,614,0.0%,320,0.0%,124,0.0%,160,0.0%
