Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,0,2,2,0,0,0,6,0,0,1
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),5 (1; 16.7%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),5 (1; 16.7%),0 (0; 0.0%),0 (0; 0.0%),0 (1; 100.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (0; 0.0%),1 (1; 50.0%),2 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),6 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
