Package Variant,Practical ROP Exploit,ASLR-Proof Practical ROP Exploit,Simple Turing Completeness
Original,9 of 11,30 of 35,15 of 17
Original,9 (0),29 (1),14 (1)
Original,9 (0),29 (1),14 (1)
Original,9 (0),29 (1),14 (1)
Original,9 (0),28 (2),12 (3)
Original,9 (0),28 (2),12 (3)
Original,9 (0),28 (2),12 (3)
Original,9 (0),28 (2),11 (4)
Original,8 (1),28 (2),13 (2)
Original,8 (1),28 (2),13 (2)
Original,8 (1),28 (2),13 (2)
Original,8 (1),28 (2),12 (3)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),12 (3)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
Original,8 (1),27 (3),11 (4)
