Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
Original,1102,1.590290381125227,384,1.79296875,1282,1.326833073322933
Original,424 (678),2.6179245283018866 (-1.0276341471766597),279 (105),3.121863799283154 (-1.3288950492831542),558 (724),2.6272401433691757 (-1.3004070700462427)
Original,449 (653),3.953229398663697 (-2.36293901753847),282 (102),4.661347517730497 (-2.868378767730497),643 (639),3.774494556765163 (-2.4476614834422303)
Original,492 (610),5.1727642276422765 (-3.5824738465170496),284 (100),6.179577464788732 (-4.386608714788732),658 (624),4.98936170212766 (-3.6625286288047265)
Original,644 (458),5.777950310559007 (-4.18765992943378),339 (45),7.466076696165191 (-5.673107946165191),993 (289),5.061933534743202 (-3.735100461420269)
Original,645 (457),7.224031007751938 (-5.633740626626711),339 (45),9.259587020648967 (-7.466618270648967),996 (286),6.373493975903615 (-5.0466609025806815)
Original,648 (454),8.637345679012345 (-7.047055297887118),339 (45),11.053097345132743 (-9.260128595132743),1036 (246),7.490830115830116 (-6.163997042507183)
Original,678 (424),9.829646017699115 (-8.239355636573888),339 (45),12.84660766961652 (-11.05363891961652),1064 (218),8.638157894736842 (-7.311324821413909)
Original,897 (205),9.351170568561873 (-7.760880187436646),367 (17),13.874659400544958 (-12.081690650544958),1240 (42),8.943548387096774 (-7.616715313773841)
Original,925 (177),10.722162162162162 (-9.131871781036935),370 (14),15.60135135135135 (-13.80838260135135),1246 (36),10.22752808988764 (-8.900695016564708)
Original,897 (205),12.490523968784839 (-10.900233587659612),367 (17),17.539509536784742 (-15.746540786784742),1240 (42),11.602419354838709 (-10.275586281515777)
Original,925 (177),13.832432432432432 (-12.242142051307205),370 (14),19.247297297297298 (-17.454328547297298),1246 (36),12.875601926163723 (-11.54876885284079)
Original,897 (205),15.629877369007804 (-14.039586987882577),367 (17),21.204359673024523 (-19.411390923024523),1240 (42),14.261290322580646 (-12.934457249257713)
Original,939 (163),16.570820021299255 (-14.980529640174028),375 (9),22.545333333333332 (-20.752364583333332),1242 (40),15.56561996779388 (-14.238786894470948)
Original,967 (135),17.868665977249226 (-16.278375596124),377 (7),24.251989389920425 (-22.459020639920425),1248 (34),16.81971153846154 (-15.492878465138608)
Original,939 (163),19.712460063897762 (-18.122169682772537),375 (9),26.132 (-24.33903125),1242 (40),18.220209339774556 (-16.89337626645162)
Original,967 (135),20.982419855222336 (-19.39212947409711),377 (7),27.83023872679045 (-26.03726997679045),1248 (34),19.463541666666668 (-18.136708593343734)
Original,939 (163),22.854100106496272 (-21.263809725371047),375 (9),29.718666666666667 (-27.925697916666667),1242 (40),20.874798711755233 (-19.5479656384323)
Original,982 (120),23.765784114052952 (-22.175493732927727),382 (2),31.00785340314136 (-29.21488465314136),1251 (31),22.05595523581135 (-20.729122162488416)
Original,939 (163),25.995740149094782 (-24.405449767969557),375 (9),33.30533333333333 (-31.51236458333333),1242 (40),23.52938808373591 (-22.202555010412976)
Original,967 (135),27.209927611168563 (-25.619637230043338),377 (7),34.9867374005305 (-33.1937686505305),1248 (34),24.751201923076923 (-23.42436884975399)
Original,939 (163),29.13738019169329 (-27.54708981056806),375 (9),36.892 (-35.09903125),1242 (40),26.183977455716587 (-24.857144382393653)
Original,982 (120),29.917006109979635 (-28.32671572885441),382 (2),38.075916230366495 (-36.282947480366495),1251 (31),27.33173461231015 (-26.004901538987216)
Original,939 (163),32.2790202342918 (-30.68872985316657),375 (9),40.47866666666667 (-38.68569791666667),1242 (40),28.838566827697264 (-27.51173375437433)
Original,897 (205),34.465997770345595 (-32.875707389220366),367 (17),43.19346049046322 (-41.40049174046322),1240 (42),30.21451612903226 (-28.887683055709324)
Original,939 (163),35.3493077742279 (-33.759017393102674),375 (9),44.065333333333335 (-42.272364583333335),1242 (40),31.493156199677937 (-30.166323126355003)
Original,967 (135),36.41882109617373 (-34.8285307150485),377 (7),45.710875331564985 (-43.917906581564985),1248 (34),32.6806891025641 (-31.353856029241168)
Original,940 (162),38.11063829787234 (-36.52034791674711),375 (9),47.78 (-45.98703125),1250 (32),33.9524 (-32.62556692667707)
Original,915 (187),40.049180327868854 (-38.458889946743625),373 (11),49.7372654155496 (-47.9442966655496),1245 (37),35.393574297188756 (-34.066741223865826)
