Package Variant,Total Gadgets,ROP Gadgets,JOP Gadgets,COP Gadgets,Special Purpose Gadgets
Original,2799,1102,384,1282,31
Original,1284 (1515; 54.1%),424 (678; 61.5%),279 (105; 27.3%),558 (724; 56.5%),23 (8; 25.8%)
Original,1397 (1402; 50.1%),449 (653; 59.3%),282 (102; 26.6%),643 (639; 49.8%),23 (8; 25.8%)
Original,1457 (1342; 47.9%),492 (610; 55.4%),284 (100; 26.0%),658 (624; 48.7%),23 (8; 25.8%)
Original,2000 (799; 28.5%),644 (458; 41.6%),339 (45; 11.7%),993 (289; 22.5%),24 (7; 22.6%)
Original,2004 (795; 28.4%),645 (457; 41.5%),339 (45; 11.7%),996 (286; 22.3%),24 (7; 22.6%)
Original,2047 (752; 26.9%),648 (454; 41.2%),339 (45; 11.7%),1036 (246; 19.2%),24 (7; 22.6%)
Original,2105 (694; 24.8%),678 (424; 38.5%),339 (45; 11.7%),1064 (218; 17.0%),24 (7; 22.6%)
Original,2531 (268; 9.6%),897 (205; 18.6%),367 (17; 4.4%),1240 (42; 3.3%),27 (4; 12.9%)
Original,2569 (230; 8.2%),925 (177; 16.1%),370 (14; 3.6%),1246 (36; 2.8%),28 (3; 9.7%)
Original,2531 (268; 9.6%),897 (205; 18.6%),367 (17; 4.4%),1240 (42; 3.3%),27 (4; 12.9%)
Original,2569 (230; 8.2%),925 (177; 16.1%),370 (14; 3.6%),1246 (36; 2.8%),28 (3; 9.7%)
Original,2531 (268; 9.6%),897 (205; 18.6%),367 (17; 4.4%),1240 (42; 3.3%),27 (4; 12.9%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2620 (179; 6.4%),967 (135; 12.3%),377 (7; 1.8%),1248 (34; 2.7%),28 (3; 9.7%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2620 (179; 6.4%),967 (135; 12.3%),377 (7; 1.8%),1248 (34; 2.7%),28 (3; 9.7%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2645 (154; 5.5%),982 (120; 10.9%),382 (2; 0.5%),1251 (31; 2.4%),30 (1; 3.2%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2620 (179; 6.4%),967 (135; 12.3%),377 (7; 1.8%),1248 (34; 2.7%),28 (3; 9.7%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2645 (154; 5.5%),982 (120; 10.9%),382 (2; 0.5%),1251 (31; 2.4%),30 (1; 3.2%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2531 (268; 9.6%),897 (205; 18.6%),367 (17; 4.4%),1240 (42; 3.3%),27 (4; 12.9%)
Original,2583 (216; 7.7%),939 (163; 14.8%),375 (9; 2.3%),1242 (40; 3.1%),27 (4; 12.9%)
Original,2620 (179; 6.4%),967 (135; 12.3%),377 (7; 1.8%),1248 (34; 2.7%),28 (3; 9.7%)
Original,2595 (204; 7.3%),940 (162; 14.7%),375 (9; 2.3%),1250 (32; 2.5%),30 (1; 3.2%)
Original,2562 (237; 8.5%),915 (187; 17.0%),373 (11; 2.9%),1245 (37; 2.9%),29 (2; 6.5%)
