Package Variant,Total Gadgets,Total Introduction Rate,ROP Gadgets,ROP Introduction Rate,JOP Gadgets,JOP Introduction Rate,COP Gadgets,COP Introduction Rate
Original,2799, ,1102, ,384, ,1282
Original,1284,0.5%,424,0.5%,279,0.0%,558,0.9%
Original,1397,0.5%,449,0.4%,282,0.0%,643,0.8%
Original,1457,0.1%,492,0.4%,284,0.0%,658,0.0%
Original,2000,0.1%,644,0.5%,339,0.0%,993,0.0%
Original,2004,0.1%,645,0.5%,339,0.0%,996,0.0%
Original,2047,0.1%,648,0.5%,339,0.0%,1036,0.0%
Original,2105,0.1%,678,0.4%,339,0.0%,1064,0.0%
Original,2531,0.1%,897,0.3%,367,0.0%,1240,0.0%
Original,2569,0.1%,925,0.3%,370,0.0%,1246,0.0%
Original,2531,0.1%,897,0.3%,367,0.0%,1240,0.0%
Original,2569,0.1%,925,0.3%,370,0.0%,1246,0.0%
Original,2531,0.1%,897,0.3%,367,0.0%,1240,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2620,0.1%,967,0.3%,377,0.0%,1248,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2620,0.1%,967,0.3%,377,0.0%,1248,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2645,0.1%,982,0.3%,382,0.0%,1251,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2620,0.1%,967,0.3%,377,0.0%,1248,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2645,0.1%,982,0.3%,382,0.0%,1251,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2531,0.1%,897,0.3%,367,0.0%,1240,0.0%
Original,2583,0.1%,939,0.3%,375,0.0%,1242,0.0%
Original,2620,0.1%,967,0.3%,377,0.0%,1248,0.0%
Original,2595,0.1%,940,0.3%,375,0.0%,1250,0.0%
Original,2562,0.1%,915,0.3%,373,0.0%,1245,0.0%
