Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,1,6,8,0,0,6,9,0,0,1
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),7 (2; 22.2%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),7 (2; 22.2%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),7 (2; 22.2%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),8 (1; 11.1%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),8 (1; 11.1%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),8 (1; 11.1%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),6 (2; 25.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),8 (1; 11.1%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),9 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (2; 33.3%),9 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),3 (3; 50.0%),9 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
Original,0 (1; 100.0%),6 (0; 0.0%),8 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),4 (2; 33.3%),9 (0; 0.0%),0 (0; 0.0%),0 (0; 0.0%),1 (0; 0.0%)
