,ROP,JOP,COP,Special,Total
500.perlbench_r,4834,871,1720,80,7505
505.mcf_r,171,7,76,3,257
508.namd_r,1738,94,32,14,1878
510.parest_r
511.povray_r,4465,387,974,46,5872
519.lbm_r,128,9,0,1,138
520.omnetpp_r,6217,2016,10840,394,19467
523.xalancbmk_r,11756,3716,28197,820,44489
525.x264_r,1757,141,2062,44,4004
526.blender_r
531.deepsjeng_r,414,57,6,1,478
538.imagick_r
541.leela_r,753,50,12,2,817
544.nab_r,796,110,42,8,956
557.xz_r,898,180,877,41,1996
ROP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,4834,4747,1.7997517583781502,4686,3.0616466694249027,4712.5,2.513446421183289
505.mcf_r,171,123,28.070175438596493,57,66.66666666666666,89.99962526199421,47.368640197664206
508.namd_r,1738,1707,1.7836593785960844,1689,2.819332566168015,1695.2857142857142,2.4576689133651257
510.parest_r
511.povray_r,4465,4463,0.04479283314670113,4045,9.40649496080627,4184.333333333333,6.285927584919747
519.lbm_r,128,94,26.5625,37,71.09375,54.3,57.578125
520.omnetpp_r,6217,6059,2.5414186906868252,6033,2.959626829660607,6046.0,2.750522760173723
523.xalancbmk_r,11756,11115,5.452534875808098,11022,6.243620279006464,11098.7,5.59118747873427
525.x264_r,1757,1607,8.537279453614119,928,47.18269778030734,987.3877551020408,43.80263203744788
526.blender_r
531.deepsjeng_r,414,374,9.66183574879227,38,90.82125603864735,164.16352201257862,60.34697535928053
538.imagick_r
541.leela_r,753,615,18.32669322709164,428,43.16069057104914,388.8269099590723,48.36296016479783
544.nab_r,796,490,38.44221105527638,302,62.06030150753769,350.8333333333333,55.92546063651592
557.xz_r,898,784,12.69487750556793,656,26.94877505567929,709.6666666666666,20.97253155159615
JOP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,871,866,0.5740528128587812,860,1.2629161882893243,861.5,1.0907003444316814
505.mcf_r,7,6,14.285714285714292,3,57.142857142857146,4.499948037341302,35.7150280379814
508.namd_r,94,94,0.0,94,0.0,94.0,0.0
510.parest_r
511.povray_r,387,387,0.0,371,4.134366925064597,376.3333333333333,2.7562446167097505
519.lbm_r,9,6,33.33333333333333,1,88.88888888888889,2.5,72.22222222222223
520.omnetpp_r,2016,1975,2.0337301587301653,1972,2.1825396825396837,1973.5,2.1081349206349245
523.xalancbmk_r,3716,3665,1.3724434876210978,3659,1.5339074273412336,3662.3,1.4451022604951618
525.x264_r,141,132,6.38297872340425,34,75.88652482269504,40.0,71.63120567375887
526.blender_r
531.deepsjeng_r,57,52,8.771929824561397,1,98.24561403508773,16.57861635220126,70.91470815403288
538.imagick_r
541.leela_r,50,47,6.0,15,70.0,13.803035470668485,72.39392905866303
544.nab_r,110,87,20.909090909090907,48,56.36363636363637,53.25,51.59090909090909
557.xz_r,180,175,2.7777777777777715,153,15.0,161.0,10.555555555555557
COP,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,1720,1718,0.11627906976744384,1666,3.139534883720927,1677.3333333333333,2.480620155038764
505.mcf_r,76,61,19.736842105263165,0,100.0,22.99959365453758,69.73737677034529
508.namd_r,32,32,0.0,32,0.0,32.0,0.0
510.parest_r
511.povray_r,974,974,0.0,906,6.98151950718686,928.6666666666666,4.654346338124583
519.lbm_r,0,0,100.0,0,100.0,0.0,100.0
520.omnetpp_r,10840,10547,2.70295202952029,10518,2.970479704797043,10532.5,2.8367158671586736
523.xalancbmk_r,28197,27122,3.8124623186863857,27026,4.1529240699365175,27061.7,4.026314856190382
525.x264_r,2062,2054,0.3879728419010604,286,86.12997090203686,369.734693877551,82.0691225083632
526.blender_r
531.deepsjeng_r,6,6,0.0,0,100.0,3.358490566037736,44.0251572327044
538.imagick_r
541.leela_r,12,12,0.0,11,8.333333333333329,11.165416098226467,6.9548658481127745
544.nab_r,42,34,19.04761904761905,32,23.80952380952381,32.75,22.02380952380952
557.xz_r,877,846,3.534777651083232,833,5.017103762827816,838.1111111111111,4.4343088812872224
Special,total,max,min-decrease,min,max-decrease,avg,avg-decrease
500.perlbench_r,80,80,0.0,79,1.25,79.16666666666667,1.0416666666666572
505.mcf_r,3,3,0.0,1,66.66666666666666,1.9999648525082288,33.334504916392376
508.namd_r,14,14,0.0,14,0.0,14.0,0.0
510.parest_r
511.povray_r,46,46,0.0,43,6.521739130434781,44.0,4.347826086956516
519.lbm_r,1,1,0.0,0,100.0,0.3,70.0
520.omnetpp_r,394,388,1.5228426395939039,388,1.5228426395939039,388.0,1.5228426395939039
523.xalancbmk_r,820,795,3.0487804878048763,795,3.0487804878048763,795.0,3.0487804878048763
525.x264_r,44,44,0.0,17,61.36363636363637,18.877551020408163,57.09647495361781
526.blender_r
531.deepsjeng_r,1,1,0.0,0,100.0,0.006289308176100629,99.37106918238993
538.imagick_r
